dataset_split,p_acc,t_acc,p_bal_acc,t_bal_acc,p_stat_par,t_stat_par,p_eq_odds,t_eq_odds
acs_iid10,0.0004663433117221103,-46.2908531150006,0.0013019131670452598,-27.68755509194696,5.434909472454093e-05,135.63948729508252,0.0025336162529501884,-19.829104808339206
acs_iid5,0.0002395016791161588,-64.60523300313054,0.0028440464352963843,-18.71129101166419,0.002268752491584467,20.95880324903014,0.0014309270692614273,-26.407347353307788
acs_state3,5.635570448642903e-05,-133.20259988502735,0.0006046717821868436,-40.648369077544295,0.00416921085854468,15.4387366210712,0.006170200030271239,-12.67165527315093
acs_state5,0.00023594418726291438,-65.09063317868058,0.0005292897433232471,-43.44910219849389,0.0011349040297497358,29.65859162130175,0.0005765113302433908,-41.63017452578532
adult_age3,0.0014034375960121066,-26.665267406079963,0.010570933923734897,-9.648921066781625,0.026825628889051344,-5.9820215316110925,0.05306629781945756,-4.166290947425193
adult_age5,0.028098698722390004,-5.839174724389153,0.005623470512554297,-13.27883805584145,0.02105138119071767,-6.782930059028048,0.05214480816340095,-4.206037306249536
adult_iid10,0.13553095697319026,-2.4320225788087266,0.03966166587802043,-4.870665119153501,0.275577858064485,-1.4861503853205136,0.5547696744295469,-0.7031934968824334
adult_iid5,0.010255190661049738,-9.798682164899523,0.045253944244666916,-4.539724305709833,0.033786769088233776,-5.301506999358507,0.6729896853666004,-0.4893674690417603
bank_age3,0.02859333825871046,-5.786227891553898,0.14126489205297602,-2.3699999918648387,0.6254085833370405,-0.5713524408823206,0.7388583053413196,0.3825856655125307
bank_age5,0.22431256440605293,-1.7381677737311896,0.10068755739098954,-2.908301924743752,0.5479352686201451,-0.7167340015813259,0.47858042320541105,-0.8641723485761917
bank_iid10,0.0574244399541532,-3.991111199887247,0.13291512916989504,-2.461542665144625,0.09073255002592732,-3.0895248987613284,0.4689501485338503,0.8863235417605572
bank_iid5,0.1367736533681264,-2.418274813973324,0.04215165301598422,-4.715360729417615,0.0007303405011885321,-36.982759974951634,0.07545795001230463,-3.4310374847855303
cac_iid10,0.06485619976096338,-3.7330261010295502,0.04990408813196236,-4.3071143207530715,0.12282452618407093,-2.583488267310757,0.17494867251461255,-2.064919369047931
cac_iid5,0.05561567070022831,-4.061384660534493,0.07198466644878591,-3.5228561500669184,0.016621791633291357,-7.659384867032906,0.0007932958011131586,-35.4832923607011
cac_state3,0.062061200526842004,-3.8248057562244555,0.0412150641513296,-4.772158195538565,0.002809000650256437,-18.828149054894773,0.019426826662601367,-7.069661609048987
cac_state5,0.12168993434631972,-2.598076211353321,0.11789357713829407,-2.64831000413664,0.03198749620840184,-5.456220519737314,0.002328957837613178,-20.68519238097895
kdd_age3,0.012000326382435327,-9.04621937836598,0.0004311229985029775,-48.14585941157243,0.0004483631108377008,-47.210541710402616,0.00208870998044364,-21.846394028078226
kdd_age5,0.10244217853578566,-2.878992421217983,0.020107462004520217,-6.9453479899746915,0.06678547019123761,-3.672953841762401,0.04282777709825542,-4.675497145639217
kdd_iid10,6.39044305352022e-05,-125.08743861224764,0.00010119785405476311,-99.39885557763648,0.000463289711086763,-46.4432633972092,0.0011445216612759408,-29.533502040571836
kdd_iid5,0.0417315578927986,-4.740605023963844,7.162002391891083e-06,-373.66329257686414,0.0005030803529291736,-44.56741138871861,6.145355483305296e-06,-403.38941054966256
