dataset_split,p_acc,t_acc,p_bal_acc,t_bal_acc,p_stat_par,t_stat_par,p_eq_odds,t_eq_odds
acs_iid10,0.006254510435440558,-12.58515731544816,0.22920468779625394,-1.7110320039154763,0.01896514949415058,-7.157728817339899,0.01385462928985819,8.40723074215911
acs_iid5,0.004009681958479944,-15.744756053524986,0.46034304386277036,0.9065254488822139,0.30643571319878493,-1.3615424538547127,0.41026643564047793,1.0327035690484192
acs_state3,0.0028670609785075283,-18.63571707537855,0.1342720610227662,-2.446129505007525,0.9218967997068133,-0.11079304692291615,0.8092470229950492,0.2748115167974446
acs_state5,0.00011285948101994458,-94.12266437674317,0.03005443648195823,-5.63742726320485,0.4618795493525417,-0.9028902330268659,0.31928797829835764,1.3141365111465813
adult_age3,0.03633164654183028,-5.102299929142662,0.21646897387278283,-1.783335407905246,0.03975759745976506,4.864418391203357,0.006587513214101434,12.259853358069892
adult_age5,0.012031650449092433,-9.034220655770083,0.02529508805929457,-6.167639077854811,0.32944283460699597,-1.2782920903918145,0.04890585429074892,4.354306227109303
adult_iid10,0.004396308523594386,-15.03212108489528,0.0016981607529409461,-24.235775745342178,0.005034291516541109,-14.040617659978054,0.21331785034825107,-1.8020923587018678
adult_iid5,0.0004654719805333431,-46.33418978310837,0.014199815543394046,-8.302230142764575,0.08129684016037529,-3.289648376806216,0.018432465035062674,7.263384502770023
bank_age3,0.009654288794988013,-10.103629710818257,0.05512601007182245,-4.080983865294821,0.039355150958958675,-4.890774042799289,0.02363365144200517,6.388937830240382
bank_age5,0.010303210096609564,-9.77546515361551,0.009052556559474723,-10.438788490252543,0.022992015743183943,-6.480676976629874,0.15261604198514528,-2.25692204563407
bank_iid10,0.00460664347999591,-14.68260696771543,0.04368910335720204,-4.626031645885412,0.049302278876422995,-4.335397925306774,0.09075567343969076,-3.089071434501294
bank_iid5,0.0088674605010992,-10.548653238122697,0.041032400309872936,-4.783456664560485,0.0006000508411523792,-40.80472525660332,0.7846588431300924,0.3118548482802717
cac_iid10,0.15147186257614315,-2.267786838055361,0.18690795501124674,-1.9752901168926502,0.009169052675880104,-10.37134628768425,0.006690592935760182,-12.164097269117628
cac_iid5,0.004089996689521427,-15.588457268119791,0.001728892020070211,-24.018858314174324,0.01880034299392697,-7.18994183714017,0.057406205529441395,-3.991803501616984
cac_state3,0.17497135267460973,-2.0647416048350564,0.13721908032945265,-2.4133893250911984,0.023196096365165793,-6.4510905402514265,0.020952294667228304,-6.799467832547701
cac_state5,0.12011730987187952,-2.618614682831918,0.11031955122467375,-2.755678935818438,0.28829790684968515,-1.4327763539084457,0.848207591625,-0.21718351918359424
kdd_age3,0.32884394478638257,1.2803687993275474,0.03411912550721187,5.274253745723181,0.17754172224357898,-2.044795413165447,0.019759426185116915,-7.008120021507418
kdd_age5,0.6009055031905538,-0.6155511148715023,0.9849325689350275,-0.021310984589073458,0.5204716296812759,-0.772803579175899,0.10416268508491663,-2.8509364034103912
kdd_iid10,0.0015816538171628286,-25.114736709761072,0.00793343757821153,-11.16023096228355,0.00684428733828407,-12.025346846191022,0.008400882005802536,-10.841458820533736
kdd_iid5,0.004784272913976017,-14.405532803804965,0.000511814018757204,-44.18523336960613,0.0016405242753956403,-24.65890596561552,0.001177966054112154,-29.110499691103357
