round,client,loss,samples,weight
1,client_1,6.963388442993164,2800,0.1
1,client_2,6.926623344421387,2800,0.1
1,client_3,6.842411041259766,2800,0.1
1,client_4,6.849034786224365,2800,0.1
1,client_5,6.956555366516113,2800,0.1
1,client_6,6.926236629486084,2800,0.1
1,client_7,6.922427654266357,2800,0.1
1,client_8,6.910722732543945,2800,0.1
1,client_9,6.9495062828063965,2800,0.1
1,client_10,6.998481750488281,2800,0.1
2,client_1,7.001516819000244,2800,0.1
2,client_2,6.956131935119629,2800,0.1
2,client_3,6.880002021789551,2800,0.1
2,client_4,6.889277458190918,2800,0.1
2,client_5,6.991272926330566,2800,0.1
2,client_6,6.960460186004639,2800,0.1
2,client_7,6.958313941955566,2800,0.1
2,client_8,6.9472336769104,2800,0.1
2,client_9,6.98369026184082,2800,0.1
2,client_10,7.030533790588379,2800,0.1
3,client_1,7.0136847496032715,2800,0.1
3,client_2,6.960234642028809,2800,0.1
3,client_3,6.8924994468688965,2800,0.1
3,client_4,6.904496669769287,2800,0.1
3,client_5,7.000165939331055,2800,0.1
3,client_6,6.969039440155029,2800,0.1
3,client_7,6.9689178466796875,2800,0.1
3,client_8,6.958161354064941,2800,0.1
3,client_9,6.9922380447387695,2800,0.1
3,client_10,7.036619186401367,2800,0.1
4,client_1,7.0789055824279785,2800,0.1
4,client_2,7.017296314239502,2800,0.1
4,client_3,6.957383155822754,2800,0.1
4,client_4,6.972274303436279,2800,0.1
4,client_5,7.062057018280029,2800,0.1
4,client_6,7.030435562133789,2800,0.1
4,client_7,7.032613754272461,2800,0.1
4,client_8,7.021836757659912,2800,0.1
4,client_9,7.053858280181885,2800,0.1
4,client_10,7.095968246459961,2800,0.1
5,client_1,7.1220855712890625,2800,0.1
5,client_2,7.052863597869873,2800,0.1
5,client_3,7.000918388366699,2800,0.1
5,client_4,7.018723011016846,2800,0.1
5,client_5,7.10195255279541,2800,0.1
5,client_6,7.070083141326904,2800,0.1
5,client_7,7.074845314025879,2800,0.1
5,client_8,7.063752174377441,2800,0.1
5,client_9,7.093724250793457,2800,0.1
5,client_10,7.133362293243408,2800,0.1
6,client_1,7.1310834884643555,2800,0.1
6,client_2,7.054995059967041,2800,0.1
6,client_3,7.011112213134766,2800,0.1
6,client_4,7.031829833984375,2800,0.1
6,client_5,7.1077880859375,2800,0.1
6,client_6,7.075918674468994,2800,0.1
6,client_7,7.083540916442871,2800,0.1
6,client_8,7.071883678436279,2800,0.1
6,client_9,7.0998029708862305,2800,0.1
6,client_10,7.136746406555176,2800,0.1
7,client_1,7.132189750671387,2800,0.1
7,client_2,7.049716949462891,2800,0.1
7,client_3,7.013700485229492,2800,0.1
7,client_4,7.037347793579102,2800,0.1
7,client_5,7.105811595916748,2800,0.1
7,client_6,7.0740485191345215,2800,0.1
7,client_7,7.084745407104492,2800,0.1
7,client_8,7.072255611419678,2800,0.1
7,client_9,7.098246097564697,2800,0.1
7,client_10,7.132472515106201,2800,0.1
8,client_1,7.094768524169922,2800,0.1
8,client_2,7.006804466247559,2800,0.1
8,client_3,6.978567123413086,2800,0.1
8,client_4,7.004978656768799,2800,0.1
8,client_5,7.0655198097229,2800,0.1
8,client_6,7.034135341644287,2800,0.1
8,client_7,7.047976493835449,2800,0.1
8,client_8,7.034512996673584,2800,0.1
