round,client,loss,samples,weight
1,client_1,6.998882293701172,4802,0.17149387521874218
1,client_2,7.017216682434082,6409,0.22888468268990395
1,client_3,6.9515180587768555,8458,0.30206064069140387
1,client_4,6.989574909210205,5527,0.1973858076497268
1,client_5,6.897404670715332,2805,0.1001749937502232
2,client_1,6.996338844299316,4802,0.17149387521874218
2,client_2,7.007632732391357,6409,0.22888468268990395
2,client_3,6.943343639373779,8458,0.30206064069140387
2,client_4,6.980889320373535,5527,0.1973858076497268
2,client_5,6.909224033355713,2805,0.1001749937502232
3,client_1,7.022688388824463,4802,0.17149387521874218
3,client_2,7.027057647705078,6409,0.22888468268990395
3,client_3,6.963868618011475,8458,0.30206064069140387
3,client_4,7.000921726226807,5527,0.1973858076497268
3,client_5,6.948974609375,2805,0.1001749937502232
4,client_1,7.1286516189575195,4802,0.17149387521874218
4,client_2,7.1259918212890625,6409,0.22888468268990395
4,client_3,7.063227653503418,8458,0.30206064069140387
4,client_4,7.1002197265625,5527,0.1973858076497268
4,client_5,7.067289352416992,2805,0.1001749937502232
5,client_1,7.342792510986328,4802,0.17149387521874218
5,client_2,7.3328166007995605,6409,0.22888468268990395
5,client_3,7.269587516784668,8458,0.30206064069140387
5,client_4,7.307074546813965,5527,0.1973858076497268
5,client_5,7.292879581451416,2805,0.1001749937502232
6,client_1,7.605835437774658,4802,0.17149387521874218
6,client_2,7.588461875915527,6409,0.22888468268990395
6,client_3,7.524106979370117,8458,0.30206064069140387
6,client_4,7.562256813049316,5527,0.1973858076497268
6,client_5,7.566891193389893,2805,0.1001749937502232
7,client_1,7.921321392059326,4802,0.17149387521874218
7,client_2,7.896388053894043,6409,0.22888468268990395
7,client_3,7.830119609832764,8458,0.30206064069140387
7,client_4,7.869115829467773,5527,0.1973858076497268
7,client_5,7.893065452575684,2805,0.1001749937502232
8,client_1,8.217642784118652,4802,0.17149387521874218
8,client_2,8.185294151306152,6409,0.22888468268990395
8,client_3,8.116656303405762,8458,0.30206064069140387
8,client_4,8.156306266784668,5527,0.1973858076497268
8,client_5,8.199906349182129,2805,0.1001749937502232
9,client_1,8.457793235778809,4802,0.17149387521874218
9,client_2,8.418410301208496,6409,0.22888468268990395
9,client_3,8.34715461730957,8458,0.30206064069140387
9,client_4,8.387150764465332,5527,0.1973858076497268
9,client_5,8.450424194335938,2805,0.1001749937502232
10,client_1,8.687525749206543,4802,0.17149387521874218
10,client_2,8.641229629516602,6409,0.22888468268990395
10,client_3,8.566821098327637,8458,0.30206064069140387
10,client_4,8.607185363769531,5527,0.1973858076497268
10,client_5,8.690123558044434,2805,0.1001749937502232
11,client_1,8.910089492797852,4802,0.17149387521874218
11,client_2,8.85695743560791,6409,0.22888468268990395
11,client_3,8.778849601745605,8458,0.30206064069140387
11,client_4,8.819635391235352,5527,0.1973858076497268
11,client_5,8.922353744506836,2805,0.1001749937502232
12,client_1,9.093320846557617,4802,0.17149387521874218
12,client_2,9.033692359924316,6409,0.22888468268990395
12,client_3,8.951473236083984,8458,0.30206064069140387
12,client_4,8.992502212524414,5527,0.1973858076497268
12,client_5,9.1149263381958,2805,0.1001749937502232
13,client_1,9.233001708984375,4802,0.17149387521874218
13,client_2,9.167305946350098,6409,0.22888468268990395
13,client_3,9.0806303024292,8458,0.30206064069140387
13,client_4,9.12179946899414,5527,0.1973858076497268
13,client_5,9.26346492767334,2805,0.1001749937502232
14,client_1,9.344429969787598,4802,0.17149387521874218
14,client_2,9.273039817810059,6409,0.22888468268990395
14,client_3,9.181544303894043,8458,0.30206064069140387
14,client_4,9.222856521606445,5527,0.1973858076497268
14,client_5,9.383251190185547,2805,0.1001749937502232
15,client_1,9.42270565032959,4802,0.17149387521874218
15,client_2,9.345989227294922,6409,0.22888468268990395
15,client_3,9.249436378479004,8458,0.30206064069140387
15,client_4,9.29086971282959,5527,0.1973858076497268
15,client_5,9.469318389892578,2805,0.1001749937502232
16,client_1,9.488112449645996,4802,0.17149387521874218
16,client_2,9.40626335144043,6409,0.22888468268990395
16,client_3,9.304342269897461,8458,0.30206064069140387
16,client_4,9.345857620239258,5527,0.1973858076497268
