round,client,loss,samples,weight
1,client_1,7.083959579467773,231760,0.20000017259248584
1,client_2,7.081381797790527,231760,0.20000017259248584
1,client_3,7.079591751098633,231760,0.20000017259248584
1,client_4,7.082287311553955,231760,0.20000017259248584
1,client_5,7.082525730133057,231759,0.19999930963005663
2,client_1,7.435602188110352,231760,0.20000017259248584
2,client_2,7.4339189529418945,231760,0.20000017259248584
2,client_3,7.435329437255859,231760,0.20000017259248584
2,client_4,7.435895919799805,231760,0.20000017259248584
2,client_5,7.435124397277832,231759,0.19999930963005663
3,client_1,8.03024673461914,231760,0.20000017259248584
3,client_2,8.027324676513672,231760,0.20000017259248584
3,client_3,8.023565292358398,231760,0.20000017259248584
3,client_4,8.0267333984375,231760,0.20000017259248584
3,client_5,8.030245780944824,231759,0.19999930963005663
4,client_1,8.087388038635254,231760,0.20000017259248584
4,client_2,8.086212158203125,231760,0.20000017259248584
4,client_3,8.095460891723633,231760,0.20000017259248584
4,client_4,8.08977222442627,231760,0.20000017259248584
4,client_5,8.088794708251953,231759,0.19999930963005663
5,client_1,7.315220832824707,231760,0.20000017259248584
5,client_2,7.311683177947998,231760,0.20000017259248584
5,client_3,7.312695503234863,231760,0.20000017259248584
5,client_4,7.310779094696045,231760,0.20000017259248584
5,client_5,7.315034866333008,231759,0.19999930963005663
6,client_1,7.661766052246094,231760,0.20000017259248584
6,client_2,7.6584577560424805,231760,0.20000017259248584
6,client_3,7.656188488006592,231760,0.20000017259248584
6,client_4,7.655601501464844,231760,0.20000017259248584
6,client_5,7.663119316101074,231759,0.19999930963005663
7,client_1,8.27263069152832,231760,0.20000017259248584
7,client_2,8.273390769958496,231760,0.20000017259248584
7,client_3,8.282331466674805,231760,0.20000017259248584
7,client_4,8.273895263671875,231760,0.20000017259248584
7,client_5,8.275178909301758,231759,0.19999930963005663
8,client_1,7.05919885635376,231760,0.20000017259248584
8,client_2,7.054884910583496,231760,0.20000017259248584
8,client_3,7.055295944213867,231760,0.20000017259248584
8,client_4,7.050466537475586,231760,0.20000017259248584
8,client_5,7.059330463409424,231759,0.19999930963005663
9,client_1,7.152202606201172,231760,0.20000017259248584
9,client_2,7.148338317871094,231760,0.20000017259248584
9,client_3,7.147649765014648,231760,0.20000017259248584
9,client_4,7.142498970031738,231760,0.20000017259248584
9,client_5,7.153310775756836,231759,0.19999930963005663
10,client_1,8.075067520141602,231760,0.20000017259248584
10,client_2,8.076251029968262,231760,0.20000017259248584
10,client_3,8.0833101272583,231760,0.20000017259248584
10,client_4,8.076117515563965,231760,0.20000017259248584
10,client_5,8.077309608459473,231759,0.19999930963005663
11,client_1,7.180846214294434,231760,0.20000017259248584
11,client_2,7.177456378936768,231760,0.20000017259248584
11,client_3,7.177151679992676,231760,0.20000017259248584
