round,accuracy,balanced_accuracy,statistical_parity,equalized_odds
1,0.8243333333333334,0.4882158736920579,0.0036841630935668945,0.004442764446139336
2,0.8391666666666666,0.4917503128411299,0.00497489795088768,0.005894189700484276
3,0.8523333333333334,0.4967784019808834,0.001083575189113617,0.0018208101391792297
4,0.8593333333333333,0.4995287414467904,0.0008987300097942352,0.005383339710533619
5,0.8635,0.5006722756196917,0.0026611387729644775,0.0035189827904105186
6,0.8686666666666667,0.501773210149365,0.0025623440742492676,0.005830095149576664
7,0.8711666666666666,0.5019715647381453,0.0041654035449028015,0.003933835308998823
8,0.8723333333333333,0.5014137756596289,0.005335032008588314,0.003866927232593298
9,0.8741666666666666,0.5024534732021619,0.005739780142903328,0.006477315444499254
10,0.875,0.5010969408131207,0.004614770412445068,0.003875606693327427
11,0.876,0.5010543411698927,0.002753565087914467,0.001634386833757162
12,0.8763333333333333,0.5018530844804175,0.002753565087914467,0.0027464223094284534
13,0.8768333333333334,0.5021366383556538,0.002724881749600172,0.0027115812990814447
14,0.8765,0.5019476024388296,0.0022340845316648483,0.0024387300945818424
15,0.8763333333333333,0.5018530844804175,0.001988685689866543,0.0023023043759167194
16,0.8765,0.5031670172262307,0.0020173685625195503,0.0017187241464853287
17,0.8765,0.5037767246199313,0.0022914502769708633,0.003245928790420294
18,0.8771666666666667,0.506593626028382,0.0028396137058734894,0.0023516197688877583
19,0.8771666666666667,0.5090324556031843,0.001641303300857544,0.0037977872416377068
20,0.8771666666666667,0.5096421629968849,0.0019153840839862823,0.001994694583117962
21,0.8765,0.5104835059506376,0.0030117109417915344,0.0027960846200585365
22,0.8765,0.5123126281317394,0.0030690766870975494,0.004500627983361483
23,0.8766666666666667,0.516065390452355,0.00036969035863876343,0.003498573787510395
24,0.8765,0.5177999946750446,0.000946536660194397,0.001486335415393114
25,0.8765,0.5208485316435475,0.0007871873676776886,0.002049548551440239
26,0.8763333333333333,0.5244122580473388,-0.00010835938155651093,0.004105124156922102
27,0.8763333333333333,0.5292899171969434,0.00514381006360054,0.01089973608031869
28,0.8763333333333333,0.5317287467717458,0.004710378125309944,0.00900945346802473
29,0.8753333333333333,0.532990761202375,0.004060231149196625,0.011906984262168407
30,0.8745,0.5343472935914162,0.005185240879654884,0.010449561290442944
31,0.8738333333333334,0.5376274661199713,0.008907655254006386,0.012148668989539146
32,0.8735,0.5410966745653505,0.007001830264925957,0.007070488296449184
33,0.8735,0.544754918927554,0.007116563618183136,0.011309043504297733
34,0.8735,0.549022870683458,0.009035132825374603,0.011423018760979176
35,0.8731666666666666,0.5549309087036396,0.008225638419389725,0.0075816866010427475
36,0.8711666666666666,0.5574549375648978,0.008455097675323486,0.0062460098415613174
37,0.8708333333333333,0.5645823903724807,0.006664004176855087,0.0068865008652210236
38,0.8701666666666666,0.5678625629010357,0.007326900959014893,0.008259864524006844
39,0.8693333333333333,0.5722676322585799,0.009822320193052292,0.009157313033938408
40,0.869,0.578785377672462,0.007757149636745453,0.005286511033773422
41,0.8685,0.5815503607657286,0.009921114891767502,0.0012868009507656097
42,0.868,0.587363880827498,0.01192573830485344,0.008951133117079735
43,0.8665,0.592610293138795,0.013987727463245392,0.011606261134147644
44,0.8651666666666666,0.5949026864400011,0.014924697577953339,0.006843989714980125
45,0.8636666666666667,0.6025879283261002,0.014258623123168945,0.0022621620446443558
46,0.8631666666666666,0.6090111557815704,0.013477802276611328,0.0012811031192541122
47,0.8628333333333333,0.6179677307702548,0.01633334904909134,0.00243351049721241
48,0.8618333333333333,0.6241074043504886,0.017110981047153473,0.002456817775964737
49,0.8618333333333333,0.632033600468596,0.016084760427474976,0.0018560700118541718
50,0.8625,0.6439961127825554,0.020744159817695618,0.006902262568473816
51,0.8763951357654506,0.5296492465171673,0.010248478502035141,0.01596749573945999
