round,client,loss,samples,weight
1,client_1,6.227193355560303,41899,0.2
1,client_2,6.262783050537109,41899,0.2
1,client_3,6.213935852050781,41899,0.2
1,client_4,6.244342803955078,41899,0.2
1,client_5,6.252357482910156,41899,0.2
2,client_1,6.206286430358887,41899,0.2
2,client_2,6.240962505340576,41899,0.2
2,client_3,6.190610885620117,41899,0.2
2,client_4,6.226655960083008,41899,0.2
2,client_5,6.232382297515869,41899,0.2
3,client_1,6.193697452545166,41899,0.2
3,client_2,6.226476192474365,41899,0.2
3,client_3,6.175617218017578,41899,0.2
3,client_4,6.216994285583496,41899,0.2
3,client_5,6.220089912414551,41899,0.2
4,client_1,6.198882579803467,41899,0.2
4,client_2,6.228855609893799,41899,0.2
4,client_3,6.178342342376709,41899,0.2
4,client_4,6.224669456481934,41899,0.2
4,client_5,6.225165843963623,41899,0.2
5,client_1,6.2123003005981445,41899,0.2
5,client_2,6.238372802734375,41899,0.2
5,client_3,6.189055442810059,41899,0.2
5,client_4,6.240059852600098,41899,0.2
5,client_5,6.2382001876831055,41899,0.2
6,client_1,6.21242094039917,41899,0.2
6,client_2,6.232865810394287,41899,0.2
6,client_3,6.185898780822754,41899,0.2
6,client_4,6.241132736206055,41899,0.2
6,client_5,6.237544059753418,41899,0.2
7,client_1,6.203768253326416,41899,0.2
7,client_2,6.21622896194458,41899,0.2
7,client_3,6.172630786895752,41899,0.2
7,client_4,6.231813430786133,41899,0.2
7,client_5,6.227272987365723,41899,0.2
8,client_1,6.223901271820068,41899,0.2
8,client_2,6.227797031402588,41899,0.2
8,client_3,6.187376976013184,41899,0.2
8,client_4,6.250072002410889,41899,0.2
8,client_5,6.246322154998779,41899,0.2
9,client_1,6.277005195617676,41899,0.2
9,client_2,6.277235984802246,41899,0.2
9,client_3,6.23738431930542,41899,0.2
9,client_4,6.302812576293945,41899,0.2
9,client_5,6.3013739585876465,41899,0.2
10,client_1,6.4497270584106445,41899,0.2
10,client_2,6.4457478523254395,41899,0.2
10,client_3,6.406178951263428,41899,0.2
10,client_4,6.475003242492676,41899,0.2
10,client_5,6.477176666259766,41899,0.2
11,client_1,6.777542591094971,41899,0.2
11,client_2,6.769141674041748,41899,0.2
11,client_3,6.729158401489258,41899,0.2
11,client_4,6.803640842437744,41899,0.2
11,client_5,6.809558391571045,41899,0.2
12,client_1,7.230997562408447,41899,0.2
12,client_2,7.214475631713867,41899,0.2
12,client_3,7.177715301513672,41899,0.2
12,client_4,7.256358623504639,41899,0.2
12,client_5,7.266002655029297,41899,0.2
13,client_1,7.587977409362793,41899,0.2
13,client_2,7.580624103546143,41899,0.2
13,client_3,7.5284318923950195,41899,0.2
13,client_4,7.621204853057861,41899,0.2
13,client_5,7.6288652420043945,41899,0.2
14,client_1,8.344218254089355,41899,0.2
14,client_2,8.311500549316406,41899,0.2
14,client_3,8.30762767791748,41899,0.2
14,client_4,8.352468490600586,41899,0.2
14,client_5,8.354022979736328,41899,0.2
15,client_1,8.909887313842773,41899,0.2
15,client_2,8.955855369567871,41899,0.2
15,client_3,8.904153823852539,41899,0.2
15,client_4,8.91779899597168,41899,0.2
15,client_5,8.929588317871094,41899,0.2
16,client_1,8.848644256591797,41899,0.2
16,client_2,8.895402908325195,41899,0.2
16,client_3,8.842727661132812,41899,0.2
16,client_4,8.856048583984375,41899,0.2
16,client_5,8.870311737060547,41899,0.2
17,client_1,8.784679412841797,41899,0.2
17,client_2,8.833385467529297,41899,0.2
17,client_3,8.778839111328125,41899,0.2
17,client_4,8.792289733886719,41899,0.2
17,client_5,8.809940338134766,41899,0.2
18,client_1,8.717605590820312,41899,0.2
18,client_2,8.769526481628418,41899,0.2
18,client_3,8.712124824523926,41899,0.2
18,client_4,8.726518630981445,41899,0.2
18,client_5,8.748409271240234,41899,0.2
19,client_1,8.643486022949219,41899,0.2
19,client_2,8.699871063232422,41899,0.2
19,client_3,8.638538360595703,41899,0.2
19,client_4,8.655405044555664,41899,0.2
19,client_5,8.68183422088623,41899,0.2
20,client_1,8.574674606323242,41899,0.2
20,client_2,8.63631534576416,41899,0.2
20,client_3,8.569940567016602,41899,0.2
20,client_4,8.592022895812988,41899,0.2
20,client_5,8.621923446655273,41899,0.2
21,client_1,8.499507904052734,41899,0.2
21,client_2,8.565671920776367,41899,0.2
21,client_3,8.492884635925293,41899,0.2
21,client_4,8.525394439697266,41899,0.2
21,client_5,8.555030822753906,41899,0.2
22,client_1,8.398188591003418,41899,0.2
22,client_2,8.464836120605469,41899,0.2
22,client_3,8.382646560668945,41899,0.2
22,client_4,8.436417579650879,41899,0.2
22,client_5,8.457562446594238,41899,0.2
23,client_1,8.187600135803223,41899,0.2
23,client_2,8.240867614746094,41899,0.2
23,client_3,8.144281387329102,41899,0.2
23,client_4,8.238883972167969,41899,0.2
23,client_5,8.241904258728027,41899,0.2
24,client_1,7.944667816162109,41899,0.2
24,client_2,7.937175750732422,41899,0.2
24,client_3,7.888115882873535,41899,0.2
24,client_4,7.971766471862793,41899,0.2
24,client_5,7.990065097808838,41899,0.2
25,client_1,8.458518028259277,41899,0.2
25,client_2,8.460766792297363,41899,0.2
25,client_3,8.391722679138184,41899,0.2
25,client_4,8.491662979125977,41899,0.2
25,client_5,8.511285781860352,41899,0.2
26,client_1,9.870206832885742,41899,0.2
26,client_2,9.842911720275879,41899,0.2
26,client_3,9.848098754882812,41899,0.2
26,client_4,9.884624481201172,41899,0.2
26,client_5,9.87606430053711,41899,0.2
27,client_1,10.426644325256348,41899,0.2
27,client_2,10.477412223815918,41899,0.2
27,client_3,10.420398712158203,41899,0.2
27,client_4,10.436121940612793,41899,0.2
27,client_5,10.44614315032959,41899,0.2
28,client_1,10.368833541870117,41899,0.2
28,client_2,10.419366836547852,41899,0.2
28,client_3,10.362245559692383,41899,0.2
28,client_4,10.377202033996582,41899,0.2
28,client_5,10.388867378234863,41899,0.2
29,client_1,10.310444831848145,41899,0.2
29,client_2,10.361570358276367,41899,0.2
29,client_3,10.303715705871582,41899,0.2
29,client_4,10.317919731140137,41899,0.2
29,client_5,10.332046508789062,41899,0.2
30,client_1,10.2505464553833,41899,0.2
30,client_2,10.303306579589844,41899,0.2
30,client_3,10.243971824645996,41899,0.2
30,client_4,10.257562637329102,41899,0.2
30,client_5,10.27515697479248,41899,0.2
31,client_1,10.188100814819336,41899,0.2
31,client_2,10.243715286254883,41899,0.2
31,client_3,10.182024955749512,41899,0.2
31,client_4,10.195356369018555,41899,0.2
31,client_5,10.217504501342773,41899,0.2
32,client_1,10.121851921081543,41899,0.2
32,client_2,10.181782722473145,41899,0.2
32,client_3,10.116822242736816,41899,0.2
32,client_4,10.130507469177246,41899,0.2
32,client_5,10.158220291137695,41899,0.2
33,client_1,10.050567626953125,41899,0.2
33,client_2,10.116317749023438,41899,0.2
33,client_3,10.04725170135498,41899,0.2
33,client_4,10.062408447265625,41899,0.2
33,client_5,10.096256256103516,41899,0.2
34,client_1,9.973146438598633,41899,0.2
34,client_2,10.04586124420166,41899,0.2
34,client_3,9.971911430358887,41899,0.2
34,client_4,9.990604400634766,41899,0.2
34,client_5,10.029970169067383,41899,0.2
35,client_1,9.888092994689941,41899,0.2
35,client_2,9.968049049377441,41899,0.2
35,client_3,9.888015747070312,41899,0.2
35,client_4,9.914005279541016,41899,0.2
35,client_5,9.956327438354492,41899,0.2
36,client_1,9.791015625,41899,0.2
36,client_2,9.876707077026367,41899,0.2
36,client_3,9.788476943969727,41899,0.2
36,client_4,9.828102111816406,41899,0.2
36,client_5,9.867976188659668,41899,0.2
37,client_1,9.664770126342773,41899,0.2
37,client_2,9.751734733581543,41899,0.2
37,client_3,9.651603698730469,41899,0.2
37,client_4,9.71520709991455,41899,0.2
37,client_5,9.744034767150879,41899,0.2
38,client_1,9.436132431030273,41899,0.2
38,client_2,9.514461517333984,41899,0.2
38,client_3,9.394198417663574,41899,0.2
38,client_4,9.500014305114746,41899,0.2
38,client_5,9.50696086883545,41899,0.2
39,client_1,8.73054313659668,41899,0.2
39,client_2,8.782848358154297,41899,0.2
39,client_3,8.653792381286621,41899,0.2
39,client_4,8.785211563110352,41899,0.2
39,client_5,8.794045448303223,41899,0.2
40,client_1,9.55981731414795,41899,0.2
40,client_2,9.552459716796875,41899,0.2
40,client_3,9.5577392578125,41899,0.2
40,client_4,9.59592056274414,41899,0.2
40,client_5,9.586026191711426,41899,0.2
41,client_1,9.988395690917969,41899,0.2
41,client_2,10.05555248260498,41899,0.2
41,client_3,9.98655891418457,41899,0.2
41,client_4,9.998247146606445,41899,0.2
41,client_5,10.034881591796875,41899,0.2
42,client_1,9.917380332946777,41899,0.2
42,client_2,9.990753173828125,41899,0.2
42,client_3,9.918113708496094,41899,0.2
42,client_4,9.931594848632812,41899,0.2
42,client_5,9.974218368530273,41899,0.2
43,client_1,9.842146873474121,41899,0.2
43,client_2,9.922269821166992,41899,0.2
43,client_3,9.845222473144531,41899,0.2
43,client_4,9.862954139709473,41899,0.2
43,client_5,9.909777641296387,41899,0.2
44,client_1,9.761743545532227,41899,0.2
44,client_2,9.847917556762695,41899,0.2
44,client_3,9.765295028686523,41899,0.2
44,client_4,9.79114055633545,41899,0.2
44,client_5,9.83869743347168,41899,0.2
45,client_1,9.671518325805664,41899,0.2
45,client_2,9.761396408081055,41899,0.2
45,client_3,9.671120643615723,41899,0.2
45,client_4,9.711304664611816,41899,0.2
45,client_5,9.754124641418457,41899,0.2
46,client_1,9.55632495880127,41899,0.2
46,client_2,9.645628929138184,41899,0.2
46,client_3,9.544041633605957,41899,0.2
46,client_4,9.608048439025879,41899,0.2
46,client_5,9.638668060302734,41899,0.2
47,client_1,9.362356185913086,41899,0.2
47,client_2,9.443154335021973,41899,0.2
47,client_3,9.322525978088379,41899,0.2
47,client_4,9.42531967163086,41899,0.2
47,client_5,9.43608570098877,41899,0.2
48,client_1,8.866095542907715,41899,0.2
48,client_2,8.925826072692871,41899,0.2
48,client_3,8.78372859954834,41899,0.2
48,client_4,8.918169021606445,41899,0.2
48,client_5,8.928117752075195,41899,0.2
49,client_1,8.253717422485352,41899,0.2
49,client_2,8.262558937072754,41899,0.2
49,client_3,8.239543914794922,41899,0.2
49,client_4,8.29365062713623,41899,0.2
49,client_5,8.309915542602539,41899,0.2
50,client_1,8.487489700317383,41899,0.2
50,client_2,8.538629531860352,41899,0.2
50,client_3,8.41734790802002,41899,0.2
50,client_4,8.529440879821777,41899,0.2
50,client_5,8.554183959960938,41899,0.2
