round,client,loss,samples,weight
1,client_1,0.4698458705930536,231760,0.20000017259248584
1,client_2,0.46843626227976537,231760,0.20000017259248584
1,client_3,0.4680697131821755,231760,0.20000017259248584
1,client_4,0.46945478934599244,231760,0.20000017259248584
1,client_5,0.46615063448033894,231759,0.19999930963005663
2,client_1,0.4502891699527917,231760,0.20000017259248584
2,client_2,0.4535200455977336,231760,0.20000017259248584
2,client_3,0.4518156967098577,231760,0.20000017259248584
2,client_4,0.45109598342718044,231760,0.20000017259248584
2,client_5,0.45038789439964927,231759,0.19999930963005663
3,client_1,0.4466110635600256,231760,0.20000017259248584
3,client_2,0.447527656398512,231760,0.20000017259248584
3,client_3,0.4476381515284917,231760,0.20000017259248584
3,client_4,0.44605365219463766,231760,0.20000017259248584
3,client_5,0.44659039532855227,231759,0.19999930963005663
4,client_1,0.4448107777874092,231760,0.20000017259248584
4,client_2,0.4452026801040856,231760,0.20000017259248584
4,client_3,0.4463375666930095,231760,0.20000017259248584
4,client_4,0.44458058632782715,231760,0.20000017259248584
4,client_5,0.44449704365464354,231759,0.19999930963005663
5,client_1,0.44455771522585164,231760,0.20000017259248584
5,client_2,0.4444744205981707,231760,0.20000017259248584
5,client_3,0.4450189506296688,231760,0.20000017259248584
5,client_4,0.44360009877475043,231760,0.20000017259248584
5,client_5,0.44352080374709285,231759,0.19999930963005663
6,client_1,0.443166515450001,231760,0.20000017259248584
6,client_2,0.4436146327305209,231760,0.20000017259248584
6,client_3,0.44390678338290973,231760,0.20000017259248584
6,client_4,0.44250721692183215,231760,0.20000017259248584
6,client_5,0.4428881746441669,231759,0.19999930963005663
7,client_1,0.44243800886950396,231760,0.20000017259248584
7,client_2,0.4429602484753091,231760,0.20000017259248584
7,client_3,0.4436255334030522,231760,0.20000017259248584
7,client_4,0.44156891405417864,231760,0.20000017259248584
7,client_5,0.4422585147806849,231759,0.19999930963005663
8,client_1,0.44219842335915843,231760,0.20000017259248584
8,client_2,0.44300313753886883,231760,0.20000017259248584
8,client_3,0.4430028291317325,231760,0.20000017259248584
8,client_4,0.4417570250130437,231760,0.20000017259248584
8,client_5,0.44112977918704394,231759,0.19999930963005663
9,client_1,0.4417886792264019,231760,0.20000017259248584
9,client_2,0.44268159743569163,231760,0.20000017259248584
9,client_3,0.4431292559974171,231760,0.20000017259248584
9,client_4,0.4415518331270992,231760,0.20000017259248584
9,client_5,0.4416194027428598,231759,0.19999930963005663
10,client_1,0.44197348889101284,231760,0.20000017259248584
10,client_2,0.4422399988495665,231760,0.20000017259248584
10,client_3,0.44240621125612517,231760,0.20000017259248584
10,client_4,0.4409310686891083,231760,0.20000017259248584
10,client_5,0.4413188273639458,231759,0.19999930963005663
11,client_1,0.4413632386498264,231760,0.20000017259248584
11,client_2,0.44224451887943284,231760,0.20000017259248584
11,client_3,0.4422211546650386,231760,0.20000017259248584
11,client_4,0.44054664535656746,231760,0.20000017259248584
11,client_5,0.4409040476754513,231759,0.19999930963005663
12,client_1,0.4415285294224451,231760,0.20000017259248584
12,client_2,0.44140472007614023,231760,0.20000017259248584
12,client_3,0.4423680863677962,231760,0.20000017259248584
12,client_4,0.44084463859710293,231760,0.20000017259248584
12,client_5,0.4407147015905196,231759,0.19999930963005663
13,client_1,0.4407706952338585,231760,0.20000017259248584
13,client_2,0.4418839678489194,231760,0.20000017259248584
13,client_3,0.4422566401142234,231760,0.20000017259248584
13,client_4,0.44001168753151604,231760,0.20000017259248584
13,client_5,0.44042754986219024,231759,0.19999930963005663
14,client_1,0.44062989173443656,231760,0.20000017259248584
14,client_2,0.44142070006165696,231760,0.20000017259248584
14,client_3,0.4415754068957581,231760,0.20000017259248584
14,client_4,0.4399847598249645,231760,0.20000017259248584
14,client_5,0.44028837504076207,231759,0.19999930963005663
15,client_1,0.4410193598217756,231760,0.20000017259248584
15,client_2,0.4413208786392001,231760,0.20000017259248584
15,client_3,0.44128054258640403,231760,0.20000017259248584
15,client_4,0.4397540065479963,231760,0.20000017259248584
15,client_5,0.4398046406608204,231759,0.19999930963005663
16,client_1,0.4405364295121124,231760,0.20000017259248584
16,client_2,0.44108453885025245,231760,0.20000017259248584
16,client_3,0.44116974076074106,231760,0.20000017259248584
16,client_4,0.4398043745298665,231760,0.20000017259248584
16,client_5,0.43995828677250626,231759,0.19999930963005663
17,client_1,0.4404188129600407,231760,0.20000017259248584
17,client_2,0.440428181750415,231760,0.20000017259248584
17,client_3,0.441397949287998,231760,0.20000017259248584
17,client_4,0.43981518564732414,231760,0.20000017259248584
17,client_5,0.4394362779166539,231759,0.19999930963005663
18,client_1,0.43985681285981904,231760,0.20000017259248584
18,client_2,0.4404865257783465,231760,0.20000017259248584
18,client_3,0.441266209874477,231760,0.20000017259248584
18,client_4,0.4397811505558871,231760,0.20000017259248584
18,client_5,0.4396893117784598,231759,0.19999930963005663
19,client_1,0.44039040629472737,231760,0.20000017259248584
19,client_2,0.44087360727727776,231760,0.20000017259248584
19,client_3,0.4411611484105517,231760,0.20000017259248584
19,client_4,0.43939834938465333,231760,0.20000017259248584
19,client_5,0.439979887729452,231759,0.19999930963005663
20,client_1,0.44014121987818355,231760,0.20000017259248584
20,client_2,0.4403734695246574,231760,0.20000017259248584
20,client_3,0.44085099863650584,231760,0.20000017259248584
20,client_4,0.43935915694455296,231760,0.20000017259248584
20,client_5,0.4393677437983449,231759,0.19999930963005663
21,client_1,0.4398867408423579,231760,0.20000017259248584
21,client_2,0.4405365204495136,231760,0.20000017259248584
21,client_3,0.4404860693634313,231760,0.20000017259248584
21,client_4,0.43985638682319605,231760,0.20000017259248584
21,client_5,0.4395638171116467,231759,0.19999930963005663
22,client_1,0.4399114463093661,231760,0.20000017259248584
22,client_2,0.439725786858932,231760,0.20000017259248584
22,client_3,0.44030453135531494,231760,0.20000017259248584
22,client_4,0.4392292605520677,231760,0.20000017259248584
22,client_5,0.4395324826767141,231759,0.19999930963005663
23,client_1,0.43955727598734284,231760,0.20000017259248584
23,client_2,0.4402919169093679,231760,0.20000017259248584
23,client_3,0.44047455261715995,231760,0.20000017259248584
23,client_4,0.43902716873299014,231760,0.20000017259248584
23,client_5,0.43935132113890646,231759,0.19999930963005663
24,client_1,0.4392905463374563,231760,0.20000017259248584
24,client_2,0.4398421617682503,231760,0.20000017259248584
24,client_3,0.44076022258916,231760,0.20000017259248584
24,client_4,0.4386929044698497,231760,0.20000017259248584
24,client_5,0.4389732246369963,231759,0.19999930963005663
25,client_1,0.43991695228431316,231760,0.20000017259248584
25,client_2,0.43967946931053303,231760,0.20000017259248584
