round,client,loss,samples,weight
1,client_1,0.26370139368649187,7400,0.3246895704444737
1,client_2,0.6056691606839498,3047,0.133693124478961
1,client_3,0.6254487078298222,5606,0.24597428809617833
1,client_4,0.6399320440907632,3876,0.17006713176253785
1,client_5,0.6358913662640945,2862,0.12557588521784915
2,client_1,0.17761364386513315,7400,0.3246895704444737
2,client_2,0.46426719799637794,3047,0.133693124478961
2,client_3,0.5271582535722039,5606,0.24597428809617833
2,client_4,0.541045868589032,3876,0.17006713176253785
2,client_5,0.49925061412479566,2862,0.12557588521784915
3,client_1,0.1775344809324577,7400,0.3246895704444737
3,client_2,0.43382376184066135,3047,0.133693124478961
3,client_3,0.5126478434963659,5606,0.24597428809617833
3,client_4,0.5283328323594986,3876,0.17006713176253785
3,client_5,0.4651490657225899,2862,0.12557588521784915
4,client_1,0.16571137321920232,7400,0.3246895704444737
4,client_2,0.43143139655391377,3047,0.133693124478961
4,client_3,0.5076933388005603,5606,0.24597428809617833
4,client_4,0.5288635809575358,3876,0.17006713176253785
4,client_5,0.46034907258075214,2862,0.12557588521784915
5,client_1,0.16480889646657582,7400,0.3246895704444737
5,client_2,0.41168539226055145,3047,0.133693124478961
5,client_3,0.49919611689719284,5606,0.24597428809617833
5,client_4,0.5165489892805776,3876,0.17006713176253785
5,client_5,0.4526537008907484,2862,0.12557588521784915
6,client_1,0.16538141565076236,7400,0.3246895704444737
6,client_2,0.4213536170621713,3047,0.133693124478961
6,client_3,0.49135438894683664,5606,0.24597428809617833
6,client_4,0.5029732094657037,3876,0.17006713176253785
6,client_5,0.46982540773308795,2862,0.12557588521784915
7,client_1,0.16070208120448837,7400,0.3246895704444737
7,client_2,0.4158550562957923,3047,0.133693124478961
7,client_3,0.47979867322878406,5606,0.24597428809617833
7,client_4,0.49682947031913266,3876,0.17006713176253785
7,client_5,0.45063207071760425,2862,0.12557588521784915
8,client_1,0.15645323051460858,7400,0.3246895704444737
8,client_2,0.41158228864272434,3047,0.133693124478961
8,client_3,0.48003491827032785,5606,0.24597428809617833
8,client_4,0.49629063760080644,3876,0.17006713176253785
8,client_5,0.44786663806956745,2862,0.12557588521784915
9,client_1,0.15532814981094722,7400,0.3246895704444737
9,client_2,0.4056209959089756,3047,0.133693124478961
9,client_3,0.4632130278782411,5606,0.24597428809617833
9,client_4,0.47465252972418265,3876,0.17006713176253785
9,client_5,0.4508314936057381,2862,0.12557588521784915
10,client_1,0.15171502774645543,7400,0.3246895704444737
10,client_2,0.3917518990735213,3047,0.133693124478961
10,client_3,0.44715929234569723,5606,0.24597428809617833
10,client_4,0.46526344649253354,3876,0.17006713176253785
10,client_5,0.43379681006721826,2862,0.12557588521784915
11,client_1,0.14463126800697426,7400,0.3246895704444737
11,client_2,0.3781447000801563,3047,0.133693124478961
11,client_3,0.4387793473222039,5606,0.24597428809617833
11,client_4,0.45724438467333395,3876,0.17006713176253785
11,client_5,0.4327383313489997,2862,0.12557588521784915
12,client_1,0.14246770045880613,7400,0.3246895704444737
12,client_2,0.3813243160645167,3047,0.133693124478961
12,client_3,0.433606972748583,5606,0.24597428809617833
12,client_4,0.4574949029953249,3876,0.17006713176253785
12,client_5,0.426676702240239,2862,0.12557588521784915
13,client_1,0.1421222417005177,7400,0.3246895704444737
13,client_2,0.3859026717642943,3047,0.133693124478961
13,client_3,0.43921633945270017,5606,0.24597428809617833
13,client_4,0.45482981781805715,3876,0.17006713176253785
13,client_5,0.4269514019074647,2862,0.12557588521784915
14,client_1,0.13987424166808868,7400,0.3246895704444737
14,client_2,0.3816027796516816,3047,0.133693124478961
14,client_3,0.43099766834215686,5606,0.24597428809617833
14,client_4,0.45422189466414914,3876,0.17006713176253785
14,client_5,0.4222016490024069,2862,0.12557588521784915
15,client_1,0.1421119213618081,7400,0.3246895704444737
15,client_2,0.3726639946301778,3047,0.133693124478961
15,client_3,0.4272934394803914,5606,0.24597428809617833
15,client_4,0.45989774504015524,3876,0.17006713176253785
15,client_5,0.43489530423413153,2862,0.12557588521784915
16,client_1,0.13687722214722428,7400,0.3246895704444737
16,client_2,0.37603242446978885,3047,0.133693124478961
16,client_3,0.42824996601451526,5606,0.24597428809617833
16,client_4,0.4565504202919622,3876,0.17006713176253785
16,client_5,0.42422862804454303,2862,0.12557588521784915
17,client_1,0.14125140582949952,7400,0.3246895704444737
17,client_2,0.37115666766961414,3047,0.133693124478961
17,client_3,0.42950366708365356,5606,0.24597428809617833
