round,client,loss,samples,weight
1,client_1,0.4692428033602865,4802,0.17149387521874218
1,client_2,0.3522496224910605,6409,0.22888468268990395
1,client_3,0.3082773662102756,8458,0.30206064069140387
1,client_4,0.35510596903887665,5527,0.1973858076497268
1,client_5,0.5046566033905203,2805,0.1001749937502232
2,client_1,0.3393070054681678,4802,0.17149387521874218
2,client_2,0.2553620808849148,6409,0.22888468268990395
2,client_3,0.22230078168769382,8458,0.30206064069140387
2,client_4,0.22424144704233517,5527,0.1973858076497268
2,client_5,0.3695014931938865,2805,0.1001749937502232
3,client_1,0.3278171192658575,4802,0.17149387521874218
3,client_2,0.2593401083174874,6409,0.22888468268990395
3,client_3,0.2095575123580534,8458,0.30206064069140387
3,client_4,0.21029558743942867,5527,0.1973858076497268
3,client_5,0.35404742847789417,2805,0.1001749937502232
4,client_1,0.3194149842387752,4802,0.17149387521874218
4,client_2,0.2361877854986518,6409,0.22888468268990395
4,client_3,0.20177635439296268,8458,0.30206064069140387
4,client_4,0.20710863918066025,5527,0.1973858076497268
4,client_5,0.34608654271472583,2805,0.1001749937502232
5,client_1,0.31405897007176753,4802,0.17149387521874218
5,client_2,0.23812915910692775,6409,0.22888468268990395
5,client_3,0.20667815241795867,8458,0.30206064069140387
5,client_4,0.2066543952307918,5527,0.1973858076497268
5,client_5,0.3323085443540053,2805,0.1001749937502232
6,client_1,0.31144451859750244,4802,0.17149387521874218
6,client_2,0.2314844004371587,6409,0.22888468268990395
6,client_3,0.20189629383941196,8458,0.30206064069140387
6,client_4,0.19599961760369214,5527,0.1973858076497268
6,client_5,0.3289917985146696,2805,0.1001749937502232
7,client_1,0.31013501278663935,4802,0.17149387521874218
7,client_2,0.2322135624640128,6409,0.22888468268990395
7,client_3,0.1954224115209793,8458,0.30206064069140387
7,client_4,0.20075628347694874,5527,0.1973858076497268
7,client_5,0.33556308258663525,2805,0.1001749937502232
8,client_1,0.31052275119643463,4802,0.17149387521874218
8,client_2,0.23241464209322835,6409,0.22888468268990395
8,client_3,0.19414750909182563,8458,0.30206064069140387
8,client_4,0.1943356323648583,5527,0.1973858076497268
8,client_5,0.32372974536635657,2805,0.1001749937502232
9,client_1,0.3090512380003929,4802,0.17149387521874218
9,client_2,0.23216736082937203,6409,0.22888468268990395
9,client_3,0.19743165952056202,8458,0.30206064069140387
9,client_4,0.1978361779315905,5527,0.1973858076497268
9,client_5,0.3252374211495573,2805,0.1001749937502232
10,client_1,0.3166925954191308,4802,0.17149387521874218
10,client_2,0.22632063435865382,6409,0.22888468268990395
10,client_3,0.1925689909440368,8458,0.30206064069140387
10,client_4,0.1940383550456979,5527,0.1973858076497268
10,client_5,0.32149689305912366,2805,0.1001749937502232
11,client_1,0.30622560726968867,4802,0.17149387521874218
11,client_2,0.23709070317301095,6409,0.22888468268990395
11,client_3,0.1934471067263564,8458,0.30206064069140387
11,client_4,0.19754032384265552,5527,0.1973858076497268
11,client_5,0.32171880115162244,2805,0.1001749937502232
12,client_1,0.305088077328707,4802,0.17149387521874218
12,client_2,0.2272723960671939,6409,0.22888468268990395
12,client_3,0.19085810733820074,8458,0.30206064069140387
12,client_4,0.19715511019934306,5527,0.1973858076497268
12,client_5,0.3216037425127896,2805,0.1001749937502232
13,client_1,0.3042484643427949,4802,0.17149387521874218
13,client_2,0.22664091370853723,6409,0.22888468268990395
13,client_3,0.19161798927321363,8458,0.30206064069140387
13,client_4,0.19340760768814522,5527,0.1973858076497268
13,client_5,0.3209263032132929,2805,0.1001749937502232
14,client_1,0.3090479036695079,4802,0.17149387521874218
14,client_2,0.22484033861581018,6409,0.22888468268990395
14,client_3,0.1932837010097148,8458,0.30206064069140387
14,client_4,0.1945112654092637,5527,0.1973858076497268
14,client_5,0.32167008180509915,2805,0.1001749937502232
15,client_1,0.30499386552133056,4802,0.17149387521874218
15,client_2,0.22725006762672872,6409,0.22888468268990395
15,client_3,0.18920246228130896,8458,0.30206064069140387
15,client_4,0.19034848633137616,5527,0.1973858076497268
15,client_5,0.3201171180064028,2805,0.1001749937502232
16,client_1,0.30232968259798854,4802,0.17149387521874218
16,client_2,0.22526827155082835,6409,0.22888468268990395
16,client_3,0.1895764133712249,8458,0.30206064069140387
16,client_4,0.19122424213723702,5527,0.1973858076497268
16,client_5,0.31918737292289734,2805,0.1001749937502232
17,client_1,0.3038628669945817,4802,0.17149387521874218
17,client_2,0.2355637345828262,6409,0.22888468268990395
17,client_3,0.18787033488946175,8458,0.30206064069140387
17,client_4,0.19346381825479594,5527,0.1973858076497268
17,client_5,0.318122690374201,2805,0.1001749937502232
18,client_1,0.3053540046277799,4802,0.17149387521874218
18,client_2,0.2274267208926818,6409,0.22888468268990395
18,client_3,0.19251224776702142,8458,0.30206064069140387
18,client_4,0.19070174104788087,5527,0.1973858076497268
18,client_5,0.31701329892331903,2805,0.1001749937502232
19,client_1,0.3078273440662183,4802,0.17149387521874218
19,client_2,0.22107312090548814,6409,0.22888468268990395
19,client_3,0.18882078210364528,8458,0.30206064069140387
19,client_4,0.19188696027479388,5527,0.1973858076497268
19,client_5,0.3133000121875243,2805,0.1001749937502232
20,client_1,0.3060447193290058,4802,0.17149387521874218
20,client_2,0.22035756482578375,6409,0.22888468268990395
20,client_3,0.19014365092587115,8458,0.30206064069140387
20,client_4,0.19134436344558542,5527,0.1973858076497268
20,client_5,0.31689003245397046,2805,0.1001749937502232
21,client_1,0.30170640074893046,4802,0.17149387521874218
21,client_2,0.22262318081715526,6409,0.22888468268990395
21,client_3,0.1941261249246882,8458,0.30206064069140387
21,client_4,0.18866836686025967,5527,0.1973858076497268
21,client_5,0.31875786117532035,2805,0.1001749937502232
22,client_1,0.29983917584544734,4802,0.17149387521874218
22,client_2,0.22623836146850212,6409,0.22888468268990395
22,client_3,0.18663604996764838,8458,0.30206064069140387
22,client_4,0.1922671545974233,5527,0.1973858076497268
22,client_5,0.3159096457741477,2805,0.1001749937502232
23,client_1,0.3022011149870722,4802,0.17149387521874218
23,client_2,0.22443066508162254,6409,0.22888468268990395
23,client_3,0.18930727232303193,8458,0.30206064069140387
23,client_4,0.20018165863373064,5527,0.1973858076497268
23,client_5,0.31572372127663006,2805,0.1001749937502232
24,client_1,0.2996140059671904,4802,0.17149387521874218
24,client_2,0.22275892659729601,6409,0.22888468268990395
24,client_3,0.18852139375547863,8458,0.30206064069140387
24,client_4,0.19166296229443766,5527,0.1973858076497268
24,client_5,0.317489355802536,2805,0.1001749937502232
25,client_1,0.3012945824547818,4802,0.17149387521874218
25,client_2,0.22004250159450606,6409,0.22888468268990395
25,client_3,0.1852009126277112,8458,0.30206064069140387
25,client_4,0.1889301281083714,5527,0.1973858076497268
25,client_5,0.3183289955962788,2805,0.1001749937502232
26,client_1,0.3027964383363724,4802,0.17149387521874218
26,client_2,0.2240909259108936,6409,0.22888468268990395
26,client_3,0.18821240683544926,8458,0.30206064069140387
26,client_4,0.187139352444898,5527,0.1973858076497268
26,client_5,0.3176475207914006,2805,0.1001749937502232
27,client_1,0.30258839538222865,4802,0.17149387521874218
27,client_2,0.21913514812203014,6409,0.22888468268990395
27,client_3,0.19249230912372248,8458,0.30206064069140387
27,client_4,0.18694092485715041,5527,0.1973858076497268
27,client_5,0.31575204973871057,2805,0.1001749937502232
28,client_1,0.2979023860473382,4802,0.17149387521874218
28,client_2,0.22224122198189006,6409,0.22888468268990395
28,client_3,0.18618801113829683,8458,0.30206064069140387
28,client_4,0.19342453049665148,5527,0.1973858076497268
28,client_5,0.3175060254606334,2805,0.1001749937502232
29,client_1,0.2983484185839954,4802,0.17149387521874218
29,client_2,0.22259914641286813,6409,0.22888468268990395
29,client_3,0.18276863984430014,8458,0.30206064069140387
29,client_4,0.18984273871914906,5527,0.1973858076497268
29,client_5,0.31505576317960565,2805,0.1001749937502232
30,client_1,0.2982829993492679,4802,0.17149387521874218
30,client_2,0.220065281087277,6409,0.22888468268990395
30,client_3,0.18196084499081125,8458,0.30206064069140387
30,client_4,0.19136208617551762,5527,0.1973858076497268
30,client_5,0.3172339986671101,2805,0.1001749937502232
31,client_1,0.29907048375982986,4802,0.17149387521874218
31,client_2,0.2202250463705437,6409,0.22888468268990395
31,client_3,0.18598392605781555,8458,0.30206064069140387
31,client_4,0.18951028365303169,5527,0.1973858076497268
31,client_5,0.31523987583138724,2805,0.1001749937502232
32,client_1,0.298257762272107,4802,0.17149387521874218
32,client_2,0.22210611987347698,6409,0.22888468268990395
32,client_3,0.1839372365554767,8458,0.30206064069140387
32,client_4,0.18651965853165497,5527,0.1973858076497268
32,client_5,0.3187135268341411,2805,0.1001749937502232
33,client_1,0.2974865656150015,4802,0.17149387521874218
33,client_2,0.21843788641340592,6409,0.22888468268990395
33,client_3,0.18247656185013145,8458,0.30206064069140387
33,client_4,0.19148817353627898,5527,0.1973858076497268
33,client_5,0.31791779127987946,2805,0.1001749937502232
34,client_1,0.29778897723085,4802,0.17149387521874218
34,client_2,0.22027994283274108,6409,0.22888468268990395
34,client_3,0.18853206988146057,8458,0.30206064069140387
34,client_4,0.1858408051458272,5527,0.1973858076497268
34,client_5,0.3196326284246011,2805,0.1001749937502232
35,client_1,0.296877373205988,4802,0.17149387521874218
35,client_2,0.21739021542609907,6409,0.22888468268990395
35,client_3,0.1808979146516145,8458,0.30206064069140387
35,client_4,0.18608347986909476,5527,0.1973858076497268
35,client_5,0.3170401189814914,2805,0.1001749937502232
36,client_1,0.29603384670458344,4802,0.17149387521874218
36,client_2,0.22151634360060973,6409,0.22888468268990395
36,client_3,0.18351516055304612,8458,0.30206064069140387
36,client_4,0.18784861554476348,5527,0.1973858076497268
36,client_5,0.31922008164904336,2805,0.1001749937502232
37,client_1,0.2981537309916396,4802,0.17149387521874218
37,client_2,0.21775532586901797,6409,0.22888468268990395
37,client_3,0.18003533102238356,8458,0.30206064069140387
37,client_4,0.18633121421391313,5527,0.1973858076497268
37,client_5,0.3167795389890671,2805,0.1001749937502232
38,client_1,0.2956836356928474,4802,0.17149387521874218
38,client_2,0.21668257549697278,6409,0.22888468268990395
38,client_3,0.17934909640853083,8458,0.30206064069140387
38,client_4,0.189017172225497,5527,0.1973858076497268
38,client_5,0.3159722299738364,2805,0.1001749937502232
39,client_1,0.295037946418712,4802,0.17149387521874218
39,client_2,0.21776689063100255,6409,0.22888468268990395
39,client_3,0.18081678227702183,8458,0.30206064069140387
39,client_4,0.18503384969451211,5527,0.1973858076497268
39,client_5,0.32304812425916846,2805,0.1001749937502232
40,client_1,0.2984838779819639,4802,0.17149387521874218
40,client_2,0.21761554830214558,6409,0.22888468268990395
40,client_3,0.17964575945663808,8458,0.30206064069140387
40,client_4,0.18698737905784088,5527,0.1973858076497268
40,client_5,0.318011919205839,2805,0.1001749937502232
41,client_1,0.29804342514590215,4802,0.17149387521874218
41,client_2,0.2166396695024827,6409,0.22888468268990395
41,client_3,0.18414824300292712,8458,0.30206064069140387
41,client_4,0.1868549444797364,5527,0.1973858076497268
41,client_5,0.3202514438466592,2805,0.1001749937502232
42,client_1,0.2987083953462149,4802,0.17149387521874218
42,client_2,0.21237190644822868,6409,0.22888468268990395
42,client_3,0.18155780234443608,8458,0.30206064069140387
42,client_4,0.18694342317228968,5527,0.1973858076497268
42,client_5,0.3185585534030741,2805,0.1001749937502232
43,client_1,0.2953494524485187,4802,0.17149387521874218
43,client_2,0.22199467262801,6409,0.22888468268990395
43,client_3,0.1773500732743918,8458,0.30206064069140387
43,client_4,0.18679516051303258,5527,0.1973858076497268
43,client_5,0.31918545202775434,2805,0.1001749937502232
44,client_1,0.2949348943013894,4802,0.17149387521874218
44,client_2,0.22521339926649542,6409,0.22888468268990395
44,client_3,0.1788473690846073,8458,0.30206064069140387
44,client_4,0.1866974454711784,5527,0.1973858076497268
44,client_5,0.31731961328874936,2805,0.1001749937502232
45,client_1,0.2948448987383592,4802,0.17149387521874218
45,client_2,0.21267382756752126,6409,0.22888468268990395
45,client_3,0.17686380040067345,8458,0.30206064069140387
45,client_4,0.1867649992081252,5527,0.1973858076497268
45,client_5,0.31704877655614505,2805,0.1001749937502232
46,client_1,0.2955715742550398,4802,0.17149387521874218
46,client_2,0.21873130342539618,6409,0.22888468268990395
46,client_3,0.17854342698606093,8458,0.30206064069140387
46,client_4,0.18479299325157295,5527,0.1973858076497268
46,client_5,0.32059175047007477,2805,0.1001749937502232
47,client_1,0.29690284007473994,4802,0.17149387521874218
47,client_2,0.21107536437464694,6409,0.22888468268990395
47,client_3,0.17843023064865995,8458,0.30206064069140387
47,client_4,0.18587238849564033,5527,0.1973858076497268
47,client_5,0.3165361529046839,2805,0.1001749937502232
48,client_1,0.2964380908953516,4802,0.17149387521874218
48,client_2,0.2153470936943503,6409,0.22888468268990395
48,client_3,0.1797811297783211,8458,0.30206064069140387
48,client_4,0.18694795058532196,5527,0.1973858076497268
48,client_5,0.31911598484624515,2805,0.1001749937502232
49,client_1,0.2950504606491641,4802,0.17149387521874218
