round,client,loss,samples,weight
1,client_1,0.5815455317497253,5600,0.2
1,client_2,0.5805013179779053,5600,0.2
1,client_3,0.5823125243186951,5600,0.2
1,client_4,0.5786474943161011,5600,0.2
1,client_5,0.5759655833244324,5600,0.2
2,client_1,0.5752385258674622,5600,0.2
2,client_2,0.5739542245864868,5600,0.2
2,client_3,0.5769198536872864,5600,0.2
2,client_4,0.5718404650688171,5600,0.2
2,client_5,0.5691213607788086,5600,0.2
3,client_1,0.5782487392425537,5600,0.2
3,client_2,0.5767144560813904,5600,0.2
3,client_3,0.5808871388435364,5600,0.2
3,client_4,0.5742727518081665,5600,0.2
3,client_5,0.5714754462242126,5600,0.2
4,client_1,0.5893858671188354,5600,0.2
4,client_2,0.5876007676124573,5600,0.2
4,client_3,0.5930062532424927,5600,0.2
4,client_4,0.5847717523574829,5600,0.2
4,client_5,0.5818582773208618,5600,0.2
5,client_1,0.6071457862854004,5600,0.2
5,client_2,0.6051111817359924,5600,0.2
5,client_3,0.6117517352104187,5600,0.2
5,client_4,0.601853609085083,5600,0.2
5,client_5,0.5987973213195801,5600,0.2
6,client_1,0.6298101544380188,5600,0.2
6,client_2,0.6275250911712646,5600,0.2
6,client_3,0.6353827118873596,5600,0.2
6,client_4,0.6238229870796204,5600,0.2
6,client_5,0.6206146478652954,5600,0.2
7,client_1,0.6555523872375488,5600,0.2
7,client_2,0.6530103087425232,5600,0.2
7,client_3,0.6620489358901978,5600,0.2
7,client_4,0.6488767862319946,5600,0.2
7,client_5,0.6455292105674744,5600,0.2
8,client_1,0.6825456023216248,5600,0.2
8,client_2,0.6797323822975159,5600,0.2
8,client_3,0.6899003982543945,5600,0.2
8,client_4,0.6752108335494995,5600,0.2
8,client_5,0.6717603206634521,5600,0.2
9,client_1,0.7090654373168945,5600,0.2
9,client_2,0.7059583067893982,5600,0.2
9,client_3,0.717191219329834,5600,0.2
9,client_4,0.7011216282844543,5600,0.2
9,client_5,0.6976270079612732,5600,0.2
10,client_1,0.7335825562477112,5600,0.2
10,client_2,0.7301517128944397,5600,0.2
10,client_3,0.7423734068870544,5600,0.2
10,client_4,0.7250977158546448,5600,0.2
10,client_5,0.7216370105743408,5600,0.2
11,client_1,0.7548378109931946,5600,0.2
11,client_2,0.7510478496551514,5600,0.2
11,client_3,0.7641725540161133,5600,0.2
11,client_4,0.7458929419517517,5600,0.2
11,client_5,0.7425591349601746,5600,0.2
12,client_1,0.7718948125839233,5600,0.2
12,client_2,0.7677088975906372,5600,0.2
12,client_3,0.7816422581672668,5600,0.2
12,client_4,0.7625802159309387,5600,0.2
12,client_5,0.7594741582870483,5600,0.2
13,client_1,0.7841665148735046,5600,0.2
13,client_2,0.7795497179031372,5600,0.2
13,client_3,0.7941900491714478,5600,0.2
13,client_4,0.7745770812034607,5600,0.2
13,client_5,0.7718014717102051,5600,0.2
14,client_1,0.7914196848869324,5600,0.2
14,client_2,0.7863434553146362,5600,0.2
14,client_3,0.8015825748443604,5600,0.2
14,client_4,0.7816495895385742,5600,0.2
14,client_5,0.7793001532554626,5600,0.2
15,client_1,0.7937529683113098,5600,0.2
15,client_2,0.7881973385810852,5600,0.2
15,client_3,0.8039222955703735,5600,0.2
15,client_4,0.783892810344696,5600,0.2
15,client_5,0.7820512056350708,5600,0.2
16,client_1,0.7915490865707397,5600,0.2
16,client_2,0.7855051755905151,5600,0.2
16,client_3,0.8016005158424377,5600,0.2
16,client_4,0.7816823124885559,5600,0.2
16,client_5,0.7804110050201416,5600,0.2
17,client_1,0.7854188680648804,5600,0.2
17,client_2,0.7788917422294617,5600,0.2
17,client_3,0.7952410578727722,5600,0.2
17,client_4,0.7756171226501465,5600,0.2
17,client_5,0.7749596834182739,5600,0.2
18,client_1,0.7761317491531372,5600,0.2
18,client_2,0.769138514995575,5600,0.2
18,client_3,0.7856281995773315,5600,0.2
18,client_4,0.7664557695388794,5600,0.2
18,client_5,0.7664328217506409,5600,0.2
19,client_1,0.7636553049087524,5600,0.2
19,client_2,0.7562999725341797,5600,0.2
19,client_3,0.7727041840553284,5600,0.2
19,client_4,0.7541983127593994,5600,0.2
19,client_5,0.7547867894172668,5600,0.2
20,client_1,0.750389039516449,5600,0.2
20,client_2,0.7427322864532471,5600,0.2
20,client_3,0.7589460611343384,5600,0.2
20,client_4,0.7411877512931824,5600,0.2
20,client_5,0.7423478364944458,5600,0.2
21,client_1,0.7374508380889893,5600,0.2
21,client_2,0.7295253872871399,5600,0.2
21,client_3,0.7455058693885803,5600,0.2
21,client_4,0.7285110950469971,5600,0.2
21,client_5,0.7301993370056152,5600,0.2
22,client_1,0.7252339124679565,5600,0.2
22,client_2,0.7170752882957458,5600,0.2
22,client_3,0.7327823042869568,5600,0.2
22,client_4,0.7165547609329224,5600,0.2
22,client_5,0.7187224626541138,5600,0.2
23,client_1,0.7140458226203918,5600,0.2
23,client_2,0.7056924700737,5600,0.2
23,client_3,0.7210888862609863,5600,0.2
23,client_4,0.705625057220459,5600,0.2
23,client_5,0.7082170844078064,5600,0.2
24,client_1,0.7041134834289551,5600,0.2
24,client_2,0.6956052780151367,5600,0.2
24,client_3,0.7106574177742004,5600,0.2
24,client_4,0.6959498524665833,5600,0.2
24,client_5,0.6989080309867859,5600,0.2
25,client_1,0.695689857006073,5600,0.2
25,client_2,0.6870838403701782,5600,0.2
25,client_3,0.7017444372177124,5600,0.2
25,client_4,0.6877867579460144,5600,0.2
25,client_5,0.6910461187362671,5600,0.2
26,client_1,0.6890028715133667,5600,0.2
26,client_2,0.6803544163703918,5600,0.2
26,client_3,0.6945875883102417,5600,0.2
26,client_4,0.6813618540763855,5600,0.2
26,client_5,0.6848565340042114,5600,0.2
27,client_1,0.6841599941253662,5600,0.2
27,client_2,0.6755228638648987,5600,0.2
27,client_3,0.6893025636672974,5600,0.2
27,client_4,0.6767807006835938,5600,0.2
27,client_5,0.6804466247558594,5600,0.2
28,client_1,0.6811585426330566,5600,0.2
28,client_2,0.6725811958312988,5600,0.2
28,client_3,0.6858914494514465,5600,0.2
28,client_4,0.6740384101867676,5600,0.2
28,client_5,0.6778146624565125,5600,0.2
29,client_1,0.6798976063728333,5600,0.2
29,client_2,0.6714246869087219,5600,0.2
29,client_3,0.6842583417892456,5600,0.2
29,client_4,0.6730337142944336,5600,0.2
29,client_5,0.6768635511398315,5600,0.2
30,client_1,0.6801974177360535,5600,0.2
30,client_2,0.6718677878379822,5600,0.2
30,client_3,0.6842255592346191,5600,0.2
30,client_4,0.6735852956771851,5600,0.2
30,client_5,0.6774173974990845,5600,0.2
31,client_1,0.6818172931671143,5600,0.2
31,client_2,0.6736642718315125,5600,0.2
31,client_3,0.6855538487434387,5600,0.2
31,client_4,0.6754510402679443,5600,0.2
31,client_5,0.6792400479316711,5600,0.2
32,client_1,0.6844755411148071,5600,0.2
32,client_2,0.6765269041061401,5600,0.2
32,client_3,0.6879621148109436,5600,0.2
32,client_4,0.678348183631897,5600,0.2
32,client_5,0.6820542812347412,5600,0.2
33,client_1,0.687868058681488,5600,0.2
33,client_2,0.6801461577415466,5600,0.2
33,client_3,0.6911458969116211,5600,0.2
33,client_4,0.6819718480110168,5600,0.2
33,client_5,0.6855607628822327,5600,0.2
34,client_1,0.6916878819465637,5600,0.2
34,client_2,0.6842098236083984,5600,0.2
34,client_3,0.694797158241272,5600,0.2
34,client_4,0.6860136389732361,5600,0.2
34,client_5,0.6894570589065552,5600,0.2
35,client_1,0.6956408023834229,5600,0.2
35,client_2,0.6884187459945679,5600,0.2
35,client_3,0.6986201405525208,5600,0.2
35,client_4,0.6901785135269165,5600,0.2
35,client_5,0.6934532523155212,5600,0.2
36,client_1,0.6994600296020508,5600,0.2
36,client_2,0.692501425743103,5600,0.2
36,client_3,0.7023459076881409,5600,0.2
36,client_4,0.694198489189148,5600,0.2
36,client_5,0.6972863674163818,5600,0.2
37,client_1,0.7029166221618652,5600,0.2
37,client_2,0.6962248086929321,5600,0.2
37,client_3,0.7057429552078247,5600,0.2
37,client_4,0.6978435516357422,5600,0.2
37,client_5,0.7007312774658203,5600,0.2
38,client_1,0.7058281302452087,5600,0.2
38,client_2,0.6994024515151978,5600,0.2
38,client_3,0.7086264491081238,5600,0.2
38,client_4,0.700930118560791,5600,0.2
38,client_5,0.7036088109016418,5600,0.2
39,client_1,0.7080626487731934,5600,0.2
39,client_2,0.7018988132476807,5600,0.2
39,client_3,0.7108616828918457,5600,0.2
39,client_4,0.7033253908157349,5600,0.2
39,client_5,0.7057900428771973,5600,0.2
40,client_1,0.7095401287078857,5600,0.2
40,client_2,0.7036310434341431,5600,0.2
40,client_3,0.7123661637306213,5600,0.2
40,client_4,0.7049485445022583,5600,0.2
40,client_5,0.7071980237960815,5600,0.2
41,client_1,0.7102307677268982,5600,0.2
41,client_2,0.7045661211013794,5600,0.2
41,client_3,0.7131075859069824,5600,0.2
41,client_4,0.7057690620422363,5600,0.2
41,client_5,0.7078052759170532,5600,0.2
42,client_1,0.7101504802703857,5600,0.2
42,client_2,0.7047181129455566,5600,0.2
42,client_3,0.7130995988845825,5600,0.2
42,client_4,0.7058023810386658,5600,0.2
42,client_5,0.7076308131217957,5600,0.2
43,client_1,0.7093547582626343,5600,0.2
43,client_2,0.70414137840271,5600,0.2
43,client_3,0.712395429611206,5600,0.2
43,client_4,0.7051045298576355,5600,0.2
43,client_5,0.7067328095436096,5600,0.2
44,client_1,0.7079311013221741,5600,0.2
44,client_2,0.7029223442077637,5600,0.2
44,client_3,0.7110804319381714,5600,0.2
44,client_4,0.7037626504898071,5600,0.2
44,client_5,0.7052004337310791,5600,0.2
45,client_1,0.7059906721115112,5600,0.2
45,client_2,0.7011715769767761,5600,0.2
45,client_3,0.7092635631561279,5600,0.2
45,client_4,0.7018879652023315,5600,0.2
45,client_5,0.7031468749046326,5600,0.2
46,client_1,0.7036594748497009,5600,0.2
46,client_2,0.6990140080451965,5600,0.2
46,client_3,0.7070686221122742,5600,0.2
