round,client,loss,samples,weight
1,client_1,0.7080402970314026,279,0.20014347202295552
1,client_2,0.7270497679710388,279,0.20014347202295552
1,client_3,0.7153695225715637,279,0.20014347202295552
1,client_4,0.7303545475006104,279,0.20014347202295552
1,client_5,0.7283554673194885,278,0.1994261119081779
2,client_1,0.7036377787590027,279,0.20014347202295552
2,client_2,0.725315511226654,279,0.20014347202295552
2,client_3,0.7139865756034851,279,0.20014347202295552
2,client_4,0.726946234703064,279,0.20014347202295552
2,client_5,0.7264483571052551,278,0.1994261119081779
3,client_1,0.7002393007278442,279,0.20014347202295552
3,client_2,0.7236571907997131,279,0.20014347202295552
3,client_3,0.7129119634628296,279,0.20014347202295552
3,client_4,0.7242627143859863,279,0.20014347202295552
3,client_5,0.7247259616851807,278,0.1994261119081779
4,client_1,0.6974467635154724,279,0.20014347202295552
4,client_2,0.7218416929244995,279,0.20014347202295552
4,client_3,0.7118082642555237,279,0.20014347202295552
4,client_4,0.7219333648681641,279,0.20014347202295552
4,client_5,0.7229505777359009,278,0.1994261119081779
5,client_1,0.6949917674064636,279,0.20014347202295552
5,client_2,0.7197795510292053,279,0.20014347202295552
5,client_3,0.7105205059051514,279,0.20014347202295552
5,client_4,0.7197480797767639,279,0.20014347202295552
5,client_5,0.7210099697113037,278,0.1994261119081779
6,client_1,0.6927263140678406,279,0.20014347202295552
6,client_2,0.7174636721611023,279,0.20014347202295552
6,client_3,0.7089701294898987,279,0.20014347202295552
6,client_4,0.7176007628440857,279,0.20014347202295552
6,client_5,0.7188892960548401,278,0.1994261119081779
7,client_1,0.6905656456947327,279,0.20014347202295552
7,client_2,0.7149248123168945,279,0.20014347202295552
7,client_3,0.7071688771247864,279,0.20014347202295552
7,client_4,0.715404748916626,279,0.20014347202295552
7,client_5,0.7165877819061279,278,0.1994261119081779
8,client_1,0.6884485483169556,279,0.20014347202295552
8,client_2,0.7122240662574768,279,0.20014347202295552
8,client_3,0.7051404714584351,279,0.20014347202295552
8,client_4,0.7131426334381104,279,0.20014347202295552
8,client_5,0.7141618728637695,278,0.1994261119081779
9,client_1,0.6863821148872375,279,0.20014347202295552
9,client_2,0.7094181776046753,279,0.20014347202295552
9,client_3,0.7029545903205872,279,0.20014347202295552
9,client_4,0.7108564972877502,279,0.20014347202295552
9,client_5,0.7116833329200745,278,0.1994261119081779
10,client_1,0.6843627691268921,279,0.20014347202295552
10,client_2,0.7065817713737488,279,0.20014347202295552
10,client_3,0.7006716728210449,279,0.20014347202295552
10,client_4,0.7086076736450195,279,0.20014347202295552
10,client_5,0.7091874480247498,278,0.1994261119081779
11,client_1,0.6823755502700806,279,0.20014347202295552
11,client_2,0.7037560343742371,279,0.20014347202295552
11,client_3,0.6983205676078796,279,0.20014347202295552
11,client_4,0.7063723206520081,279,0.20014347202295552
11,client_5,0.7067092657089233,278,0.1994261119081779
12,client_1,0.6804175972938538,279,0.20014347202295552
12,client_2,0.7009840607643127,279,0.20014347202295552
12,client_3,0.6959414482116699,279,0.20014347202295552
12,client_4,0.7041465044021606,279,0.20014347202295552
12,client_5,0.7042648196220398,278,0.1994261119081779
13,client_1,0.6784628033638,279,0.20014347202295552
13,client_2,0.6982308030128479,279,0.20014347202295552
13,client_3,0.6935312151908875,279,0.20014347202295552
13,client_4,0.7019237875938416,279,0.20014347202295552
13,client_5,0.7018764019012451,278,0.1994261119081779
14,client_1,0.6765171885490417,279,0.20014347202295552
14,client_2,0.6954603791236877,279,0.20014347202295552
14,client_3,0.691101610660553,279,0.20014347202295552
14,client_4,0.6996585726737976,279,0.20014347202295552
14,client_5,0.6995093822479248,278,0.1994261119081779
15,client_1,0.6745686531066895,279,0.20014347202295552
15,client_2,0.6927307844161987,279,0.20014347202295552
15,client_3,0.6886817216873169,279,0.20014347202295552
15,client_4,0.6974116563796997,279,0.20014347202295552
15,client_5,0.697178840637207,278,0.1994261119081779
16,client_1,0.6725963950157166,279,0.20014347202295552
16,client_2,0.6900282502174377,279,0.20014347202295552
16,client_3,0.6862446069717407,279,0.20014347202295552
16,client_4,0.6951616406440735,279,0.20014347202295552
16,client_5,0.6948792934417725,278,0.1994261119081779
17,client_1,0.6706104874610901,279,0.20014347202295552
17,client_2,0.6873688697814941,279,0.20014347202295552
17,client_3,0.6837936043739319,279,0.20014347202295552
17,client_4,0.6928858757019043,279,0.20014347202295552
17,client_5,0.6926342248916626,278,0.1994261119081779
18,client_1,0.6685646772384644,279,0.20014347202295552
18,client_2,0.684762179851532,279,0.20014347202295552
18,client_3,0.6813377737998962,279,0.20014347202295552
18,client_4,0.6905959248542786,279,0.20014347202295552
18,client_5,0.6904135942459106,278,0.1994261119081779
19,client_1,0.6665054559707642,279,0.20014347202295552
19,client_2,0.6821531653404236,279,0.20014347202295552
19,client_3,0.6789021492004395,279,0.20014347202295552
19,client_4,0.6882677674293518,279,0.20014347202295552
19,client_5,0.6881990432739258,278,0.1994261119081779
20,client_1,0.6644441485404968,279,0.20014347202295552
20,client_2,0.679551362991333,279,0.20014347202295552
20,client_3,0.6764928698539734,279,0.20014347202295552
20,client_4,0.6859931349754333,279,0.20014347202295552
20,client_5,0.6860259175300598,278,0.1994261119081779
21,client_1,0.6623527407646179,279,0.20014347202295552
21,client_2,0.6769208312034607,279,0.20014347202295552
21,client_3,0.6741151213645935,279,0.20014347202295552
21,client_4,0.6836761236190796,279,0.20014347202295552
21,client_5,0.6838520765304565,278,0.1994261119081779
22,client_1,0.6602888703346252,279,0.20014347202295552
22,client_2,0.6742808818817139,279,0.20014347202295552
22,client_3,0.6717298030853271,279,0.20014347202295552
22,client_4,0.681300938129425,279,0.20014347202295552
22,client_5,0.6816861033439636,278,0.1994261119081779
23,client_1,0.6582767963409424,279,0.20014347202295552
23,client_2,0.671650230884552,279,0.20014347202295552
23,client_3,0.669386088848114,279,0.20014347202295552
23,client_4,0.6789187788963318,279,0.20014347202295552
23,client_5,0.6795459985733032,278,0.1994261119081779
24,client_1,0.6563271284103394,279,0.20014347202295552
24,client_2,0.6690006852149963,279,0.20014347202295552
24,client_3,0.6670852303504944,279,0.20014347202295552
24,client_4,0.6765785813331604,279,0.20014347202295552
24,client_5,0.6774422526359558,278,0.1994261119081779
25,client_1,0.6544332504272461,279,0.20014347202295552
25,client_2,0.6663873195648193,279,0.20014347202295552
25,client_3,0.6648043394088745,279,0.20014347202295552
25,client_4,0.6743012070655823,279,0.20014347202295552
25,client_5,0.6754017472267151,278,0.1994261119081779
26,client_1,0.652525782585144,279,0.20014347202295552
26,client_2,0.6637997031211853,279,0.20014347202295552
26,client_3,0.6625507473945618,279,0.20014347202295552
26,client_4,0.6720448136329651,279,0.20014347202295552
26,client_5,0.673399031162262,278,0.1994261119081779
27,client_1,0.65069580078125,279,0.20014347202295552
27,client_2,0.6612389087677002,279,0.20014347202295552
27,client_3,0.6603622436523438,279,0.20014347202295552
27,client_4,0.669793426990509,279,0.20014347202295552
27,client_5,0.6714674830436707,278,0.1994261119081779
28,client_1,0.6489706039428711,279,0.20014347202295552
28,client_2,0.6586837768554688,279,0.20014347202295552
28,client_3,0.6582359671592712,279,0.20014347202295552
28,client_4,0.6676337122917175,279,0.20014347202295552
28,client_5,0.6695862412452698,278,0.1994261119081779
29,client_1,0.6472707390785217,279,0.20014347202295552
29,client_2,0.6561803817749023,279,0.20014347202295552
29,client_3,0.6561562418937683,279,0.20014347202295552
29,client_4,0.6655400395393372,279,0.20014347202295552
29,client_5,0.6677219867706299,278,0.1994261119081779
30,client_1,0.6456030607223511,279,0.20014347202295552
30,client_2,0.6536803841590881,279,0.20014347202295552
30,client_3,0.6540918350219727,279,0.20014347202295552
30,client_4,0.6634602546691895,279,0.20014347202295552
30,client_5,0.6659008860588074,278,0.1994261119081779
31,client_1,0.6439291834831238,279,0.20014347202295552
31,client_2,0.6511724591255188,279,0.20014347202295552
31,client_3,0.6520466804504395,279,0.20014347202295552
31,client_4,0.6614174246788025,279,0.20014347202295552
31,client_5,0.6641204953193665,278,0.1994261119081779
32,client_1,0.6422792673110962,279,0.20014347202295552
32,client_2,0.6486573815345764,279,0.20014347202295552
32,client_3,0.6500401496887207,279,0.20014347202295552
32,client_4,0.6594272255897522,279,0.20014347202295552
32,client_5,0.6623800992965698,278,0.1994261119081779
33,client_1,0.6406895518302917,279,0.20014347202295552
33,client_2,0.6461814641952515,279,0.20014347202295552
33,client_3,0.6481027603149414,279,0.20014347202295552
33,client_4,0.6574670672416687,279,0.20014347202295552
33,client_5,0.6607019901275635,278,0.1994261119081779
34,client_1,0.6391385793685913,279,0.20014347202295552
34,client_2,0.6437374353408813,279,0.20014347202295552
34,client_3,0.6461901664733887,279,0.20014347202295552
34,client_4,0.6555089950561523,279,0.20014347202295552
34,client_5,0.6590393781661987,278,0.1994261119081779
35,client_1,0.637602686882019,279,0.20014347202295552
35,client_2,0.6413143277168274,279,0.20014347202295552
35,client_3,0.6442990899085999,279,0.20014347202295552
35,client_4,0.6535569429397583,279,0.20014347202295552
35,client_5,0.6573954224586487,278,0.1994261119081779
36,client_1,0.6361170411109924,279,0.20014347202295552
36,client_2,0.6389233469963074,279,0.20014347202295552
36,client_3,0.6424219012260437,279,0.20014347202295552
36,client_4,0.6516519784927368,279,0.20014347202295552
36,client_5,0.6557903289794922,278,0.1994261119081779
37,client_1,0.6346920132637024,279,0.20014347202295552
37,client_2,0.6365744471549988,279,0.20014347202295552
37,client_3,0.6405513882637024,279,0.20014347202295552
37,client_4,0.6497911214828491,279,0.20014347202295552
37,client_5,0.6542599201202393,278,0.1994261119081779
38,client_1,0.6332865357398987,279,0.20014347202295552
38,client_2,0.6342511177062988,279,0.20014347202295552
38,client_3,0.6387056708335876,279,0.20014347202295552
38,client_4,0.6479780673980713,279,0.20014347202295552
38,client_5,0.652774453163147,278,0.1994261119081779
39,client_1,0.6319345831871033,279,0.20014347202295552
39,client_2,0.6320080161094666,279,0.20014347202295552
39,client_3,0.6368951797485352,279,0.20014347202295552
39,client_4,0.6462259888648987,279,0.20014347202295552
39,client_5,0.6513187289237976,278,0.1994261119081779
40,client_1,0.6306321024894714,279,0.20014347202295552
40,client_2,0.6298050284385681,279,0.20014347202295552
40,client_3,0.6351189017295837,279,0.20014347202295552
40,client_4,0.6445072293281555,279,0.20014347202295552
40,client_5,0.6499173045158386,278,0.1994261119081779
41,client_1,0.6293807625770569,279,0.20014347202295552
41,client_2,0.6276517510414124,279,0.20014347202295552
41,client_3,0.6333723068237305,279,0.20014347202295552
41,client_4,0.6427896022796631,279,0.20014347202295552
41,client_5,0.6485493183135986,278,0.1994261119081779
42,client_1,0.6282005310058594,279,0.20014347202295552
42,client_2,0.62555330991745,279,0.20014347202295552
42,client_3,0.6316568851470947,279,0.20014347202295552
42,client_4,0.6411124467849731,279,0.20014347202295552
42,client_5,0.6472004652023315,278,0.1994261119081779
43,client_1,0.6270726323127747,279,0.20014347202295552
43,client_2,0.6234983205795288,279,0.20014347202295552
43,client_3,0.6299653053283691,279,0.20014347202295552
43,client_4,0.6394635438919067,279,0.20014347202295552
43,client_5,0.6458814740180969,278,0.1994261119081779
44,client_1,0.6260159611701965,279,0.20014347202295552
44,client_2,0.6214885711669922,279,0.20014347202295552
44,client_3,0.6283223628997803,279,0.20014347202295552
44,client_4,0.6378353238105774,279,0.20014347202295552
44,client_5,0.6446065306663513,278,0.1994261119081779
45,client_1,0.6250109672546387,279,0.20014347202295552
45,client_2,0.6195096969604492,279,0.20014347202295552
