round,client,loss,samples,weight
1,client_1,0.6235684156417847,4802,0.17149387521874218
1,client_2,0.6153185367584229,6409,0.22888468268990395
1,client_3,0.6029515266418457,8458,0.30206064069140387
1,client_4,0.6059328317642212,5527,0.1973858076497268
1,client_5,0.6347224712371826,2805,0.1001749937502232
2,client_1,0.6134610772132874,4802,0.17149387521874218
2,client_2,0.5947484970092773,6409,0.22888468268990395
2,client_3,0.5822442173957825,8458,0.30206064069140387
2,client_4,0.5867686867713928,5527,0.1973858076497268
2,client_5,0.6322987079620361,2805,0.1001749937502232
3,client_1,0.6125326156616211,4802,0.17149387521874218
3,client_2,0.5804467797279358,6409,0.22888468268990395
3,client_3,0.5672364234924316,8458,0.30206064069140387
3,client_4,0.5730940699577332,5527,0.1973858076497268
3,client_5,0.6378533840179443,2805,0.1001749937502232
4,client_1,0.6206161379814148,4802,0.17149387521874218
4,client_2,0.5722910761833191,6409,0.22888468268990395
4,client_3,0.5577684640884399,8458,0.30206064069140387
4,client_4,0.5647004246711731,5527,0.1973858076497268
4,client_5,0.6509509086608887,2805,0.1001749937502232
5,client_1,0.6370776295661926,4802,0.17149387521874218
5,client_2,0.5698808431625366,6409,0.22888468268990395
5,client_3,0.5534591674804688,8458,0.30206064069140387
5,client_4,0.5611963868141174,5527,0.1973858076497268
5,client_5,0.6708779335021973,2805,0.1001749937502232
6,client_1,0.6608718037605286,4802,0.17149387521874218
6,client_2,0.5725846886634827,6409,0.22888468268990395
6,client_3,0.553749144077301,8458,0.30206064069140387
6,client_4,0.5620412826538086,5527,0.1973858076497268
6,client_5,0.6966863870620728,2805,0.1001749937502232
7,client_1,0.6906175017356873,4802,0.17149387521874218
7,client_2,0.5795860290527344,6409,0.22888468268990395
7,client_3,0.5579357743263245,8458,0.30206064069140387
7,client_4,0.5665791630744934,5527,0.1973858076497268
7,client_5,0.7272391319274902,2805,0.1001749937502232
8,client_1,0.7246857285499573,4802,0.17149387521874218
8,client_2,0.5899388194084167,6409,0.22888468268990395
8,client_3,0.5652167797088623,8458,0.30206064069140387
8,client_4,0.5740741491317749,5527,0.1973858076497268
8,client_5,0.7612676024436951,2805,0.1001749937502232
9,client_1,0.7612946033477783,4802,0.17149387521874218
9,client_2,0.6026214361190796,6409,0.22888468268990395
9,client_3,0.5747354626655579,8458,0.30206064069140387
9,client_4,0.583748996257782,5527,0.1973858076497268
9,client_5,0.7974313497543335,2805,0.1001749937502232
10,client_1,0.7986119389533997,4802,0.17149387521874218
10,client_2,0.6165920495986938,6409,0.22888468268990395
10,client_3,0.5856241583824158,8458,0.30206064069140387
10,client_4,0.5948218703269958,5527,0.1973858076497268
10,client_5,0.8343820571899414,2805,0.1001749937502232
11,client_1,0.8348544836044312,4802,0.17149387521874218
11,client_2,0.6308416128158569,6409,0.22888468268990395
11,client_3,0.5970462560653687,8458,0.30206064069140387
11,client_4,0.6065419912338257,5527,0.1973858076497268
11,client_5,0.8708235621452332,2805,0.1001749937502232
12,client_1,0.8683831095695496,4802,0.17149387521874218
12,client_2,0.6444436311721802,6409,0.22888468268990395
12,client_3,0.608235776424408,8458,0.30206064069140387
12,client_4,0.6182224750518799,5527,0.1973858076497268
12,client_5,0.9055705666542053,2805,0.1001749937502232
13,client_1,0.8977817296981812,4802,0.17149387521874218
13,client_2,0.6565952897071838,6409,0.22888468268990395
13,client_3,0.6185289025306702,8458,0.30206064069140387
13,client_4,0.6292669773101807,5527,0.1973858076497268
13,client_5,0.9375941753387451,2805,0.1001749937502232
14,client_1,0.9219232797622681,4802,0.17149387521874218
14,client_2,0.6666520237922668,6409,0.22888468268990395
14,client_3,0.6273906230926514,8458,0.30206064069140387
14,client_4,0.6391916275024414,5527,0.1973858076497268
14,client_5,0.9660622477531433,2805,0.1001749937502232
15,client_1,0.9400096535682678,4802,0.17149387521874218
15,client_2,0.6741474270820618,6409,0.22888468268990395
15,client_3,0.634431004524231,8458,0.30206064069140387
15,client_4,0.647637665271759,5527,0.1973858076497268
15,client_5,0.9903629422187805,2805,0.1001749937502232
16,client_1,0.9515911936759949,4802,0.17149387521874218
16,client_2,0.6788040399551392,6409,0.22888468268990395
16,client_3,0.6394133567810059,8458,0.30206064069140387
16,client_4,0.6543776392936707,5527,0.1973858076497268
16,client_5,1.0101114511489868,2805,0.1001749937502232
17,client_1,0.9565656781196594,4802,0.17149387521874218
17,client_2,0.680532693862915,6409,0.22888468268990395
17,client_3,0.6422492861747742,8458,0.30206064069140387
17,client_4,0.6593111753463745,5527,0.1973858076497268
17,client_5,1.0251497030258179,2805,0.1001749937502232
18,client_1,0.955149233341217,4802,0.17149387521874218
18,client_2,0.6794183850288391,6409,0.22888468268990395
18,client_3,0.6429900527000427,8458,0.30206064069140387
18,client_4,0.662456750869751,5527,0.1973858076497268
18,client_5,1.035527229309082,2805,0.1001749937502232
19,client_1,0.9478428959846497,4802,0.17149387521874218
19,client_2,0.6756998896598816,6409,0.22888468268990395
19,client_3,0.641806423664093,8458,0.30206064069140387
19,client_4,0.6639363765716553,5527,0.1973858076497268
19,client_5,1.0414776802062988,2805,0.1001749937502232
20,client_1,0.9353713989257812,4802,0.17149387521874218
20,client_2,0.6697413325309753,6409,0.22888468268990395
20,client_3,0.638968288898468,8458,0.30206064069140387
20,client_4,0.6639543175697327,5527,0.1973858076497268
20,client_5,1.0433839559555054,2805,0.1001749937502232
21,client_1,0.9186252951622009,4802,0.17149387521874218
