round,client,loss,samples,weight
1,client_1,5.3319268226623535,7400,0.3246895704444737
1,client_2,4.347970485687256,3047,0.133693124478961
1,client_3,3.7314727306365967,5606,0.24597428809617833
1,client_4,3.372323513031006,3876,0.17006713176253785
1,client_5,3.93259334564209,2862,0.12557588521784915
2,client_1,1.2609050273895264,7400,0.3246895704444737
2,client_2,1.0282964706420898,3047,0.133693124478961
2,client_3,0.9025473594665527,5606,0.24597428809617833
2,client_4,0.821230947971344,3876,0.17006713176253785
2,client_5,0.9036369323730469,2862,0.12557588521784915
3,client_1,0.06676790118217468,7400,0.3246895704444737
3,client_2,0.08025778830051422,3047,0.133693124478961
3,client_3,0.08976242691278458,5606,0.24597428809617833
3,client_4,0.0958220362663269,3876,0.17006713176253785
3,client_5,0.08388174325227737,2862,0.12557588521784915
4,client_1,0.25737619400024414,7400,0.3246895704444737
4,client_2,0.6615461707115173,3047,0.133693124478961
4,client_3,0.9563246965408325,5606,0.24597428809617833
4,client_4,1.018679141998291,3876,0.17006713176253785
4,client_5,0.7040840983390808,2862,0.12557588521784915
5,client_1,0.39036205410957336,7400,0.3246895704444737
5,client_2,0.9797356128692627,3047,0.133693124478961
5,client_3,1.4096918106079102,5606,0.24597428809617833
5,client_4,1.492555022239685,3876,0.17006713176253785
5,client_5,1.034040927886963,2862,0.12557588521784915
6,client_1,0.44928327202796936,7400,0.3246895704444737
6,client_2,0.7480493187904358,3047,0.133693124478961
6,client_3,0.9652189612388611,5606,0.24597428809617833
6,client_4,0.9883358478546143,3876,0.17006713176253785
6,client_5,0.7511734962463379,2862,0.12557588521784915
7,client_1,0.6066974997520447,7400,0.3246895704444737
7,client_2,0.7105644345283508,3047,0.133693124478961
7,client_3,0.7857516407966614,5606,0.24597428809617833
7,client_4,0.7668696641921997,3876,0.17006713176253785
7,client_5,0.6721104383468628,2862,0.12557588521784915
8,client_1,0.5408522486686707,7400,0.3246895704444737
8,client_2,0.7030309438705444,3047,0.133693124478961
8,client_3,0.8208471536636353,5606,0.24597428809617833
8,client_4,0.8164617419242859,3876,0.17006713176253785
8,client_5,0.6794840693473816,2862,0.12557588521784915
9,client_1,0.5602516531944275,7400,0.3246895704444737
9,client_2,0.7028226256370544,3047,0.133693124478961
9,client_3,0.806433916091919,5606,0.24597428809617833
9,client_4,0.7983240485191345,3876,0.17006713176253785
9,client_5,0.675401508808136,2862,0.12557588521784915
10,client_1,0.5508300065994263,7400,0.3246895704444737
10,client_2,0.7017212510108948,3047,0.133693124478961
