round,client,loss,samples,weight
1,client_1,0.8795565366744995,65,0.11343804537521815
1,client_2,0.8552019596099854,298,0.5200698080279232
1,client_3,0.9870488047599792,210,0.36649214659685864
2,client_1,0.6791620254516602,65,0.11343804537521815
2,client_2,0.7064388394355774,298,0.5200698080279232
2,client_3,0.6987495422363281,210,0.36649214659685864
3,client_1,0.6197991967201233,65,0.11343804537521815
3,client_2,0.6458634734153748,298,0.5200698080279232
3,client_3,0.5793353319168091,210,0.36649214659685864
4,client_1,0.6296072006225586,65,0.11343804537521815
4,client_2,0.6377946138381958,298,0.5200698080279232
4,client_3,0.5524340867996216,210,0.36649214659685864
5,client_1,0.6631927490234375,65,0.11343804537521815
5,client_2,0.6514642238616943,298,0.5200698080279232
5,client_3,0.5659939646720886,210,0.36649214659685864
6,client_1,0.6972697377204895,65,0.11343804537521815
6,client_2,0.6689445972442627,298,0.5200698080279232
6,client_3,0.5939235091209412,210,0.36649214659685864
7,client_1,0.7203779816627502,65,0.11343804537521815
7,client_2,0.680780827999115,298,0.5200698080279232
7,client_3,0.6229033470153809,210,0.36649214659685864
8,client_1,0.7293906211853027,65,0.11343804537521815
8,client_2,0.6835280060768127,298,0.5200698080279232
8,client_3,0.6469844579696655,210,0.36649214659685864
9,client_1,0.7270139455795288,65,0.11343804537521815
9,client_2,0.6782146692276001,298,0.5200698080279232
9,client_3,0.6647510528564453,210,0.36649214659685864
10,client_1,0.7179738879203796,65,0.11343804537521815
10,client_2,0.6677049994468689,298,0.5200698080279232
10,client_3,0.6770345568656921,210,0.36649214659685864
11,client_1,0.7063970565795898,65,0.11343804537521815
11,client_2,0.6549715399742126,298,0.5200698080279232
11,client_3,0.6852728128433228,210,0.36649214659685864
12,client_1,0.6948181390762329,65,0.11343804537521815
12,client_2,0.6421056985855103,298,0.5200698080279232
12,client_3,0.6905691027641296,210,0.36649214659685864
13,client_1,0.6844477653503418,65,0.11343804537521815
13,client_2,0.63043612241745,298,0.5200698080279232
13,client_3,0.693904459476471,210,0.36649214659685864
14,client_1,0.6759348511695862,65,0.11343804537521815
14,client_2,0.6206462383270264,298,0.5200698080279232
14,client_3,0.6960574388504028,210,0.36649214659685864
15,client_1,0.6689849495887756,65,0.11343804537521815
15,client_2,0.6126379370689392,298,0.5200698080279232
