round,accuracy,balanced_accuracy,statistical_parity,equalized_odds
1,0.7611054247697032,0.5033009424501498,0.00312307191779837,0.004933488322421908
2,0.7750255885363357,0.5399021195706626,0.030338441021740437,0.03755875653587282
3,0.775639713408393,0.5446854929961973,0.037806641310453415,0.04483205149881542
4,0.7770726714431935,0.5488396777671661,0.041550444439053535,0.0482765247579664
5,0.7856704196519959,0.6826655538284911,0.22899319231510162,0.27414708584547043
6,0.7719549641760491,0.5282475372480603,0.018156518694013357,0.023939796956256032
7,0.7789150460593655,0.5500516357526227,0.039668839424848557,0.04934794572182
8,0.7940634595701126,0.6134451502837094,0.11115030385553837,0.13534804666414857
9,0.7885363357215968,0.7046960039856275,0.23830455541610718,0.291119821369648
10,0.7959058341862846,0.6184525773754974,0.11460315436124802,0.14176530623808503
11,0.795496417604913,0.6000817853331483,0.08767874725162983,0.1059448563028127
12,0.7965199590583418,0.6016309728111451,0.08798910863697529,0.10703473282046616
13,0.7969293756397134,0.6030681334560152,0.08802793174982071,0.10840061074122787
14,0.7903787103377686,0.714082818507798,0.23739305138587952,0.2724665179848671
15,0.7967246673490276,0.6011817164854781,0.08552558813244104,0.10729226982221007
16,0.8042988741044013,0.6686434710991452,0.16311771795153618,0.18899204023182392
17,0.7688843398157625,0.7437371829812971,0.27009907364845276,0.31339091062545776
18,0.8047082906857728,0.6391329605693123,0.12197450175881386,0.14781221468001604
19,0.8038894575230296,0.6654545554821222,0.15570774301886559,0.17594085447490215
20,0.8067553735926305,0.6565373344645553,0.14115916192531586,0.1635834127664566
21,0.8061412487205731,0.6482504510947147,0.1280655451118946,0.15113545209169388
22,0.7969293756397134,0.5902219303268932,0.06709752418100834,0.0850514704361558
23,0.8065506653019447,0.6520232850357889,0.1330702342092991,0.15335213392972946
24,0.8055271238485159,0.638211812752721,0.11580598540604115,0.1370971528813243
25,0.8004094165813715,0.6062332649146206,0.08552558813244104,0.10989374993368983
26,0.8016376663254862,0.6131723793074605,0.09214033372700214,0.11614000052213669
27,0.806345957011259,0.6907191915867963,0.18220552057027817,0.20026835426688194
28,0.809007164790174,0.680791431084769,0.1697518564760685,0.18818343617022038
29,0.800818833162743,0.6091302213696183,0.0859330091625452,0.10821701865643263
30,0.8030706243602866,0.6079838708936134,0.08240252174437046,0.102536641061306
31,0.8067553735926305,0.6299690507202349,0.10108290240168571,0.11944750742986798
32,0.8110542476970317,0.6792184594483546,0.16044088080525398,0.17861137725412846
33,0.8051177072671443,0.6478691002648199,0.12659135460853577,0.1431926004588604
34,0.8065506653019447,0.6339218169902078,0.10552508011460304,0.12211135122925043
35,0.8096212896622313,0.6677652956267481,0.1457371972501278,0.15962129551917315
36,0.8088024564994882,0.6829924423825889,0.1677345708012581,0.18726295791566372
37,0.8096212896622313,0.6663054998166207,0.14628029242157936,0.16322723496705294
38,0.8083930399181167,0.6336739791655368,0.10236319340765476,0.11812440352514386
39,0.807164790174002,0.6457122103043546,0.12150903791189194,0.13804402947425842
40,0.8102354145342886,0.6827672397231754,0.16672584414482117,0.1850192602723837
41,0.8069600818833162,0.6479132216021745,0.12587357312440872,0.14357932284474373
42,0.8083930399181167,0.6897301382744329,0.17595937475562096,0.19329189509153366
43,0.810849539406346,0.6679893492930016,0.14536860957741737,0.16101851407438517
44,0.804503582395087,0.7187031498038898,0.21333955228328705,0.23226586170494556
45,0.809007164790174,0.6586025347708311,0.1371632181107998,0.1564507558941841
46,0.8122824974411463,0.6791505539525824,0.15853985399007797,0.1761982450261712
47,0.8083930399181167,0.6450603864845313,0.12018993496894836,0.137801100499928
48,0.8114636642784033,0.6999249247869077,0.1832142509520054,0.1995992474257946
49,0.8131013306038894,0.6834846710524501,0.1617211550474167,0.17757734097540379
50,0.8131013306038894,0.6866962218347307,0.16763752698898315,0.18509339354932308
51,0.8165813715455476,0.6931105469018047,0.16271020844578743,0.16928474139422178
