round,accuracy,balanced_accuracy,statistical_parity,equalized_odds
1,0.8848333333333334,0.5,0.0,0.0
2,0.8851666666666667,0.5014471780028944,-0.000487329438328743,0.0024570024106651545
3,0.8853333333333333,0.5021707670043415,4.0096696466207504e-05,0.0006964390631765127
4,0.8845,0.5029586871432314,-0.001381794922053814,0.0011110905325040221
5,0.8838333333333334,0.5032113776703896,-0.001301601529121399,0.002124978636857122
6,0.885,0.5126823658266455,-0.0010209246538579464,0.004434548201970756
7,0.8855,0.5198884072837022,0.0005181720480322838,0.005187883391045034
8,0.8861666666666667,0.5271886284356166,0.001529843546450138,0.010110051138326526
9,0.8865,0.5374475367307624,0.004244081676006317,0.010598400607705116
10,0.8876666666666667,0.5450302969672502,0.0036734752357006073,0.006147643085569143
11,0.8878333333333334,0.5463832952752868,0.003713572397828102,0.0033804653212428093
12,0.8888333333333334,0.5538718758169169,0.002899300307035446,0.0032608886249363422
13,0.8883333333333333,0.5535893367323435,0.003710489720106125,0.002775785978883505
14,0.8898333333333334,0.5607310470519575,0.003343449905514717,0.006228852551430464
15,0.8896666666666667,0.5606368673570997,0.0038708746433258057,0.0033750287257134914
16,0.89,0.5664899105061197,0.006912056356668472,0.005009920801967382
17,0.8901666666666667,0.5684723181207457,0.006464824080467224,0.004583974834531546
18,0.89,0.5696369570390667,0.008330866694450378,0.007619994226843119
19,0.8908333333333334,0.5726254927397132,0.009913142770528793,0.01153793977573514
20,0.8908333333333334,0.5745137206594814,0.008451152592897415,0.011692657135426998
21,0.8903333333333333,0.5748605908814974,0.008003920316696167,0.013994193635880947
22,0.8905,0.5755841798829446,0.00776025652885437,0.012765689752995968
23,0.891,0.5790137655004649,0.008367877453565598,0.01586087327450514
24,0.8918333333333334,0.5851493477340584,0.009055688977241516,0.013421693816781044
25,0.8913333333333333,0.5823491714231275,0.009502921253442764,0.015211395919322968
26,0.8913333333333333,0.5817197621165381,0.009219158440828323,0.013315586373209953
27,0.8911666666666667,0.5803667638085015,0.009950153529644012,0.019071829039603472
28,0.8925,0.588043703739847,0.010394304990768433,0.020909371320158243
29,0.8915,0.591884490716826,0.01014755293726921,0.014830010011792183
30,0.8926666666666667,0.5875084741281155,0.011125296354293823,0.0218673855997622
31,0.8921666666666667,0.5878553443501315,0.01144915446639061,0.020289024338126183
32,0.8925,0.5867848851266683,0.011368963867425919,0.023095882032066584
33,0.8916666666666667,0.5863139866523793,0.013234999030828476,0.021990432403981686
34,0.8916666666666667,0.5850551680392005,0.011896390467882156,0.02207871899008751
35,0.8916666666666667,0.5894610331853263,0.01234053447842598,0.01906779408454895
36,0.8913333333333333,0.5842373993428955,0.011896390467882156,0.02000798052176833
37,0.892,0.5915376204948101,0.012908060103654861,0.02149566449224949
38,0.8915,0.5881080348772897,0.0115293487906456,0.018845907412469387
39,0.8916666666666667,0.5875728052655581,0.012260343879461288,0.019803921692073345
40,0.8918333333333334,0.5901846221867735,0.012867961078882217,0.020828358829021454
41,0.8918333333333334,0.5901846221867735,0.012867961078882217,0.020828358829021454
42,0.8916666666666667,0.5850551680392005,0.011896390467882156,0.015209752134978771
43,0.8923333333333333,0.5917259798845256,0.01416647806763649,0.02421424351632595
44,0.8925,0.5905613409662046,0.013842623680830002,0.02028737962245941
45,0.892,0.5940552577211675,0.01635637879371643,0.031177126802504063
46,0.8925,0.5918201595793834,0.014410141855478287,0.02407899871468544
47,0.893,0.5914732893573673,0.014857377856969833,0.025211934931576252
48,0.8923333333333333,0.5917259798845256,0.014937568455934525,0.030637784861028194
49,0.8928333333333334,0.5976732027284035,0.016680236905813217,0.03101275209337473
50,0.8923333333333333,0.5885789333515786,0.014289852231740952,0.024147813208401203
51,0.8882411725516323,0.5974064047069141,0.0004592686891555786,0.022905081510543823
