round,client,loss,samples,weight
1,Client_1,0.6938902735710144,434,0.3111111111111111
1,Client_2,0.6468638181686401,590,0.4229390681003584
1,Client_3,0.631822407245636,371,0.26594982078853047
2,Client_1,0.6618707180023193,434,0.3111111111111111
2,Client_2,0.6129417419433594,590,0.4229390681003584
2,Client_3,0.606639564037323,371,0.26594982078853047
3,Client_1,0.6314009428024292,434,0.3111111111111111
3,Client_2,0.5826399922370911,590,0.4229390681003584
3,Client_3,0.5959848165512085,371,0.26594982078853047
4,Client_1,0.6070811748504639,434,0.3111111111111111
4,Client_2,0.5590363144874573,590,0.4229390681003584
4,Client_3,0.580900251865387,371,0.26594982078853047
5,Client_1,0.5880626440048218,434,0.3111111111111111
5,Client_2,0.5396614670753479,590,0.4229390681003584
5,Client_3,0.5589606761932373,371,0.26594982078853047
6,Client_1,0.5717762112617493,434,0.3111111111111111
6,Client_2,0.5241249203681946,590,0.4229390681003584
6,Client_3,0.539472222328186,371,0.26594982078853047
7,Client_1,0.5486332178115845,434,0.3111111111111111
7,Client_2,0.5094968676567078,590,0.4229390681003584
7,Client_3,0.5514373183250427,371,0.26594982078853047
8,Client_1,0.5344958901405334,434,0.3111111111111111
8,Client_2,0.49424830079078674,590,0.4229390681003584
8,Client_3,0.5285108089447021,371,0.26594982078853047
9,Client_1,0.525403618812561,434,0.3111111111111111
9,Client_2,0.4851512312889099,590,0.4229390681003584
9,Client_3,0.5063546895980835,371,0.26594982078853047
10,Client_1,0.5084047913551331,434,0.3111111111111111
10,Client_2,0.4734494984149933,590,0.4229390681003584
10,Client_3,0.509824275970459,371,0.26594982078853047
11,Client_1,0.49779316782951355,434,0.3111111111111111
11,Client_2,0.4644848704338074,590,0.4229390681003584
11,Client_3,0.49749040603637695,371,0.26594982078853047
12,Client_1,0.4893491566181183,434,0.3111111111111111
12,Client_2,0.45785874128341675,590,0.4229390681003584
12,Client_3,0.48526880145072937,371,0.26594982078853047
13,Client_1,0.47919750213623047,434,0.3111111111111111
13,Client_2,0.45081642270088196,590,0.4229390681003584
13,Client_3,0.4805196523666382,371,0.26594982078853047
14,Client_1,0.4695446491241455,434,0.3111111111111111
14,Client_2,0.44437819719314575,590,0.4229390681003584
14,Client_3,0.4766595661640167,371,0.26594982078853047
15,Client_1,0.47143110632896423,434,0.3111111111111111
15,Client_2,0.4489089250564575,590,0.4229390681003584
15,Client_3,0.46341240406036377,371,0.26594982078853047
16,Client_1,0.4553358256816864,434,0.3111111111111111
16,Client_2,0.43475237488746643,590,0.4229390681003584
16,Client_3,0.4647397994995117,371,0.26594982078853047
17,Client_1,0.44623950123786926,434,0.3111111111111111
17,Client_2,0.43275150656700134,590,0.4229390681003584
17,Client_3,0.4721445143222809,371,0.26594982078853047
18,Client_1,0.44242796301841736,434,0.3111111111111111
18,Client_2,0.42662134766578674,590,0.4229390681003584
18,Client_3,0.4558674693107605,371,0.26594982078853047
19,Client_1,0.4392603039741516,434,0.3111111111111111
