round,client,loss,samples,weight
1,Client_1,0.3606626093387604,7400,0.3246895704444737
1,Client_2,0.5258094072341919,3047,0.133693124478961
1,Client_3,0.6302348375320435,5606,0.24597428809617833
1,Client_4,0.6710083484649658,3876,0.17006713176253785
1,Client_5,0.5693309903144836,2862,0.12557588521784915
2,Client_1,0.30013689398765564,7400,0.3246895704444737
2,Client_2,0.5029402375221252,3047,0.133693124478961
2,Client_3,0.6231459975242615,5606,0.24597428809617833
2,Client_4,0.6671029925346375,3876,0.17006713176253785
2,Client_5,0.5519033074378967,2862,0.12557588521784915
3,Client_1,0.2843473553657532,7400,0.3246895704444737
3,Client_2,0.4912632703781128,3047,0.133693124478961
3,Client_3,0.6078856587409973,5606,0.24597428809617833
3,Client_4,0.6479865908622742,3876,0.17006713176253785
3,Client_5,0.5375256538391113,2862,0.12557588521784915
4,Client_1,0.2637593150138855,7400,0.3246895704444737
4,Client_2,0.4818122982978821,3047,0.133693124478961
4,Client_3,0.6026970148086548,5606,0.24597428809617833
4,Client_4,0.6435069441795349,3876,0.17006713176253785
4,Client_5,0.5311950445175171,2862,0.12557588521784915
5,Client_1,0.22797244787216187,7400,0.3246895704444737
5,Client_2,0.4829416871070862,3047,0.133693124478961
5,Client_3,0.6306452751159668,5606,0.24597428809617833
5,Client_4,0.6846113204956055,3876,0.17006713176253785
5,Client_5,0.5493937730789185,2862,0.12557588521784915
6,Client_1,0.30755919218063354,7400,0.3246895704444737
6,Client_2,0.4838198125362396,3047,0.133693124478961
6,Client_3,0.5606209635734558,5606,0.24597428809617833
6,Client_4,0.5777682662010193,3876,0.17006713176253785
6,Client_5,0.5067287087440491,2862,0.12557588521784915
7,Client_1,0.21839411556720734,7400,0.3246895704444737
7,Client_2,0.4703752398490906,3047,0.133693124478961
7,Client_3,0.6139126420021057,5606,0.24597428809617833
7,Client_4,0.66542649269104,3876,0.17006713176253785
7,Client_5,0.537124514579773,2862,0.12557588521784915
8,Client_1,0.24762342870235443,7400,0.3246895704444737
8,Client_2,0.45785441994667053,3047,0.133693124478961
8,Client_3,0.5646138191223145,5606,0.24597428809617833
8,Client_4,0.5973886251449585,3876,0.17006713176253785
8,Client_5,0.5023977756500244,2862,0.12557588521784915
9,Client_1,0.22310955822467804,7400,0.3246895704444737
9,Client_2,0.45509737730026245,3047,0.133693124478961
9,Client_3,0.5806095004081726,5606,0.24597428809617833
9,Client_4,0.623435914516449,3876,0.17006713176253785
9,Client_5,0.5134162306785583,2862,0.12557588521784915
10,Client_1,0.20127782225608826,7400,0.3246895704444737
10,Client_2,0.4661170244216919,3047,0.133693124478961
10,Client_3,0.6193190217018127,5606,0.24597428809617833
10,Client_4,0.6769533753395081,3876,0.17006713176253785
10,Client_5,0.5434306859970093,2862,0.12557588521784915
11,Client_1,0.39190077781677246,7400,0.3246895704444737
11,Client_2,0.5335791707038879,3047,0.133693124478961
11,Client_3,0.5657563805580139,5606,0.24597428809617833
11,Client_4,0.5553314089775085,3876,0.17006713176253785
11,Client_5,0.5144421458244324,2862,0.12557588521784915
12,Client_1,0.3024342358112335,7400,0.3246895704444737
12,Client_2,0.47290265560150146,3047,0.133693124478961
12,Client_3,0.5370339155197144,5606,0.24597428809617833
12,Client_4,0.545979917049408,3876,0.17006713176253785
12,Client_5,0.4850916266441345,2862,0.12557588521784915
13,Client_1,0.22749066352844238,7400,0.3246895704444737
13,Client_2,0.4414960443973541,3047,0.133693124478961
13,Client_3,0.5508118271827698,5606,0.24597428809617833
13,Client_4,0.5868502855300903,3876,0.17006713176253785
13,Client_5,0.49260464310646057,2862,0.12557588521784915
14,Client_1,0.2319113165140152,7400,0.3246895704444737
14,Client_2,0.4395739734172821,3047,0.133693124478961
14,Client_3,0.5432594418525696,5606,0.24597428809617833
14,Client_4,0.5769528150558472,3876,0.17006713176253785
14,Client_5,0.4871247410774231,2862,0.12557588521784915
15,Client_1,0.19462664425373077,7400,0.3246895704444737
15,Client_2,0.4510996639728546,3047,0.133693124478961
15,Client_3,0.5980226993560791,5606,0.24597428809617833
15,Client_4,0.6562677025794983,3876,0.17006713176253785
15,Client_5,0.5317898988723755,2862,0.12557588521784915
16,Client_1,0.20589220523834229,7400,0.3246895704444737
16,Client_2,0.43840405344963074,3047,0.133693124478961
16,Client_3,0.5647451877593994,5606,0.24597428809617833
16,Client_4,0.6127977967262268,3876,0.17006713176253785
16,Client_5,0.5057262778282166,2862,0.12557588521784915
17,Client_1,0.21240969002246857,7400,0.3246895704444737
17,Client_2,0.4339729845523834,3047,0.133693124478961
17,Client_3,0.5502673387527466,5606,0.24597428809617833
