round,client,loss,samples,weight
1,Client_1,0.49021756649017334,226720,0.1956510107887656
1,Client_2,0.47533074021339417,296085,0.25551045134699923
1,Client_3,0.4804551303386688,154344,0.13319318811389042
1,Client_4,0.47926437854766846,314212,0.27115338480045703
1,Client_5,0.4813788831233978,167437,0.14449196494988772
2,Client_1,0.4925653338432312,226720,0.1956510107887656
2,Client_2,0.47634705901145935,296085,0.25551045134699923
2,Client_3,0.47228673100471497,154344,0.13319318811389042
2,Client_4,0.4683663845062256,314212,0.27115338480045703
2,Client_5,0.47415339946746826,167437,0.14449196494988772
3,Client_1,0.474887877702713,226720,0.1956510107887656
3,Client_2,0.45970436930656433,296085,0.25551045134699923
3,Client_3,0.4636783301830292,154344,0.13319318811389042
3,Client_4,0.4610968232154846,314212,0.27115338480045703
3,Client_5,0.46507853269577026,167437,0.14449196494988772
4,Client_1,0.47202807664871216,226720,0.1956510107887656
4,Client_2,0.4568658471107483,296085,0.25551045134699923
4,Client_3,0.4613535702228546,154344,0.13319318811389042
4,Client_4,0.45917102694511414,314212,0.27115338480045703
4,Client_5,0.4627326428890228,167437,0.14449196494988772
5,Client_1,0.46895474195480347,226720,0.1956510107887656
5,Client_2,0.4544777572154999,296085,0.25551045134699923
5,Client_3,0.4659069776535034,154344,0.13319318811389042
5,Client_4,0.4657324254512787,314212,0.27115338480045703
5,Client_5,0.46735769510269165,167437,0.14449196494988772
6,Client_1,0.4676401615142822,226720,0.1956510107887656
6,Client_2,0.4526882767677307,296085,0.25551045134699923
6,Client_3,0.4558768570423126,154344,0.13319318811389042
6,Client_4,0.45342156291007996,314212,0.27115338480045703
6,Client_5,0.45822978019714355,167437,0.14449196494988772
7,Client_1,0.4658447206020355,226720,0.1956510107887656
7,Client_2,0.45079880952835083,296085,0.25551045134699923
7,Client_3,0.4521578848361969,154344,0.13319318811389042
7,Client_4,0.4491518437862396,314212,0.27115338480045703
7,Client_5,0.4542245864868164,167437,0.14449196494988772
8,Client_1,0.46453380584716797,226720,0.1956510107887656
8,Client_2,0.44947993755340576,296085,0.25551045134699923
8,Client_3,0.45417630672454834,154344,0.13319318811389042
8,Client_4,0.4520072638988495,314212,0.27115338480045703
8,Client_5,0.45662015676498413,167437,0.14449196494988772
9,Client_1,0.4650176167488098,226720,0.1956510107887656
9,Client_2,0.4496177136898041,296085,0.25551045134699923
9,Client_3,0.44832584261894226,154344,0.13319318811389042
9,Client_4,0.4443050026893616,314212,0.27115338480045703
9,Client_5,0.4500158131122589,167437,0.14449196494988772
10,Client_1,0.46242642402648926,226720,0.1956510107887656
10,Client_2,0.44733306765556335,296085,0.25551045134699923
10,Client_3,0.44766366481781006,154344,0.13319318811389042
10,Client_4,0.44384297728538513,314212,0.27115338480045703
10,Client_5,0.44907769560813904,167437,0.14449196494988772
11,Client_1,0.46228834986686707,226720,0.1956510107887656
11,Client_2,0.4472457766532898,296085,0.25551045134699923
11,Client_3,0.447441428899765,154344,0.13319318811389042
11,Client_4,0.4432271122932434,314212,0.27115338480045703
11,Client_5,0.4483874440193176,167437,0.14449196494988772
12,Client_1,0.4573848247528076,226720,0.1956510107887656
12,Client_2,0.4429877698421478,296085,0.25551045134699923
12,Client_3,0.44737499952316284,154344,0.13319318811389042
12,Client_4,0.4449579417705536,314212,0.27115338480045703
12,Client_5,0.4488992989063263,167437,0.14449196494988772
13,Client_1,0.45824572443962097,226720,0.1956510107887656
13,Client_2,0.4431716799736023,296085,0.25551045134699923
13,Client_3,0.44921165704727173,154344,0.13319318811389042
13,Client_4,0.44793373346328735,314212,0.27115338480045703
13,Client_5,0.45164385437965393,167437,0.14449196494988772
14,Client_1,0.4597354531288147,226720,0.1956510107887656
14,Client_2,0.44491827487945557,296085,0.25551045134699923
14,Client_3,0.4442591965198517,154344,0.13319318811389042
14,Client_4,0.4395659863948822,314212,0.27115338480045703
14,Client_5,0.4450107216835022,167437,0.14449196494988772
15,Client_1,0.45623648166656494,226720,0.1956510107887656
15,Client_2,0.44155529141426086,296085,0.25551045134699923
15,Client_3,0.44709062576293945,154344,0.13319318811389042
15,Client_4,0.44488173723220825,314212,0.27115338480045703
15,Client_5,0.4491443932056427,167437,0.14449196494988772
16,Client_1,0.4571763873100281,226720,0.1956510107887656
16,Client_2,0.44213607907295227,296085,0.25551045134699923
16,Client_3,0.4488487243652344,154344,0.13319318811389042
16,Client_4,0.4476131498813629,314212,0.27115338480045703
16,Client_5,0.4515533745288849,167437,0.14449196494988772
17,Client_1,0.45481568574905396,226720,0.1956510107887656
17,Client_2,0.4400697350502014,296085,0.25551045134699923
17,Client_3,0.4450445771217346,154344,0.13319318811389042
17,Client_4,0.44284138083457947,314212,0.27115338480045703
17,Client_5,0.44658252596855164,167437,0.14449196494988772
18,Client_1,0.45481517910957336,226720,0.1956510107887656
18,Client_2,0.43993937969207764,296085,0.25551045134699923
18,Client_3,0.4434088170528412,154344,0.13319318811389042
18,Client_4,0.4410816729068756,314212,0.27115338480045703
18,Client_5,0.4450015127658844,167437,0.14449196494988772
19,Client_1,0.45438218116760254,226720,0.1956510107887656
19,Client_2,0.4400058388710022,296085,0.25551045134699923
19,Client_3,0.4431474506855011,154344,0.13319318811389042
19,Client_4,0.44006821513175964,314212,0.27115338480045703
19,Client_5,0.4443928599357605,167437,0.14449196494988772
20,Client_1,0.4551921486854553,226720,0.1956510107887656
20,Client_2,0.4403255581855774,296085,0.25551045134699923
20,Client_3,0.44477948546409607,154344,0.13319318811389042
20,Client_4,0.4430636167526245,314212,0.27115338480045703
20,Client_5,0.4473484754562378,167437,0.14449196494988772
21,Client_1,0.4564346373081207,226720,0.1956510107887656
21,Client_2,0.44149985909461975,296085,0.25551045134699923
21,Client_3,0.44163504242897034,154344,0.13319318811389042
21,Client_4,0.4388371706008911,314212,0.27115338480045703
21,Client_5,0.44360557198524475,167437,0.14449196494988772
22,Client_1,0.45349743962287903,226720,0.1956510107887656
22,Client_2,0.4386292099952698,296085,0.25551045134699923
22,Client_3,0.44349244236946106,154344,0.13319318811389042
22,Client_4,0.44132524728775024,314212,0.27115338480045703
22,Client_5,0.4455106556415558,167437,0.14449196494988772
23,Client_1,0.4554862976074219,226720,0.1956510107887656
23,Client_2,0.44053763151168823,296085,0.25551045134699923
23,Client_3,0.4420603811740875,154344,0.13319318811389042
23,Client_4,0.43900883197784424,314212,0.27115338480045703
23,Client_5,0.4438461363315582,167437,0.14449196494988772
24,Client_1,0.4568057060241699,226720,0.1956510107887656
24,Client_2,0.4419347941875458,296085,0.25551045134699923
24,Client_3,0.442752480506897,154344,0.13319318811389042
24,Client_4,0.4396139979362488,314212,0.27115338480045703
24,Client_5,0.44461798667907715,167437,0.14449196494988772
25,Client_1,0.4530930817127228,226720,0.1956510107887656
25,Client_2,0.43849387764930725,296085,0.25551045134699923
25,Client_3,0.4421859681606293,154344,0.13319318811389042
25,Client_4,0.4396229684352875,314212,0.27115338480045703
25,Client_5,0.44420769810676575,167437,0.14449196494988772
26,Client_1,0.4595334827899933,226720,0.1956510107887656
26,Client_2,0.44451621174812317,296085,0.25551045134699923
26,Client_3,0.4410970211029053,154344,0.13319318811389042
26,Client_4,0.43576011061668396,314212,0.27115338480045703
26,Client_5,0.44183844327926636,167437,0.14449196494988772
27,Client_1,0.4544164538383484,226720,0.1956510107887656
27,Client_2,0.44016459584236145,296085,0.25551045134699923
27,Client_3,0.44096192717552185,154344,0.13319318811389042
27,Client_4,0.4364083707332611,314212,0.27115338480045703
27,Client_5,0.44165101647377014,167437,0.14449196494988772
28,Client_1,0.4532589614391327,226720,0.1956510107887656
28,Client_2,0.43876224756240845,296085,0.25551045134699923
28,Client_3,0.44313451647758484,154344,0.13319318811389042
28,Client_4,0.4408057928085327,314212,0.27115338480045703
28,Client_5,0.44538992643356323,167437,0.14449196494988772
29,Client_1,0.45583364367485046,226720,0.1956510107887656
29,Client_2,0.4411090910434723,296085,0.25551045134699923
29,Client_3,0.4407346546649933,154344,0.13319318811389042
29,Client_4,0.4369537830352783,314212,0.27115338480045703
29,Client_5,0.4422156810760498,167437,0.14449196494988772
30,Client_1,0.45245060324668884,226720,0.1956510107887656
30,Client_2,0.437730073928833,296085,0.25551045134699923
30,Client_3,0.4440877437591553,154344,0.13319318811389042
30,Client_4,0.442408949136734,314212,0.27115338480045703
30,Client_5,0.44632524251937866,167437,0.14449196494988772
31,Client_1,0.45268896222114563,226720,0.1956510107887656
31,Client_2,0.4380238354206085,296085,0.25551045134699923
31,Client_3,0.4405005872249603,154344,0.13319318811389042
31,Client_4,0.43757081031799316,314212,0.27115338480045703
