round,accuracy,balanced_accuracy,statistical_parity,equalized_odds
1,0.7535831504339247,0.758987245872702,-0.2538541257381439,0.1826099082827568
2,0.7681332178885689,0.7376112082414015,-0.20036013424396515,0.14562353119254112
3,0.7710367879507883,0.7584103283526318,-0.2423708736896515,0.1772017814218998
4,0.7738437065823651,0.7491170843857562,-0.23187574744224548,0.1743840090930462
5,0.7707911322312385,0.731400234982037,-0.22121518850326538,0.1751641035079956
6,0.7765902180697903,0.7549814700542024,-0.24291753768920898,0.1832076758146286
7,0.7687976964742363,0.7690712536215676,-0.20457491278648376,0.12838517874479294
8,0.7728852465618267,0.7311555533092068,-0.21572113037109375,0.1705091167241335
9,0.7789340152628718,0.7620804459826106,-0.23481912910938263,0.16950087621808052
10,0.7798280409963152,0.7602812412149774,-0.21790139377117157,0.152525894343853
11,0.7797434709945029,0.7527504470717405,-0.22317318618297577,0.1644698604941368
12,0.780001208142883,0.7651152552545817,-0.21584445238113403,0.14694103598594666
13,0.7814550067454644,0.762892189321498,-0.2193332463502884,0.15330608934164047
14,0.7817852324668264,0.7610181393187652,-0.21800485253334045,0.15285369381308556
15,0.7796347381350301,0.7687411699056876,-0.20221450924873352,0.12885743379592896
16,0.7818496667539214,0.7534245368486581,-0.21444465219974518,0.15517833083868027
17,0.7744799951674285,0.7730646592419209,-0.20860236883163452,0.13152113556861877
18,0.7814952781748988,0.7677841347318588,-0.1897278130054474,0.11658474057912827
19,0.7830094839216318,0.7596011861075593,-0.19457559287548065,0.1284068562090397
20,0.7782896723919216,0.7729752601503597,-0.2084728479385376,0.13256735354661942
21,0.7837142339367336,0.7646060696482238,-0.19176748394966125,0.12205763161182404
22,0.7831504339246521,0.7562205136702171,-0.228648379445076,0.16986336559057236
23,0.7782534281054306,0.7727030895765448,-0.1991439163684845,0.12258516252040863
24,0.7817369067515051,0.7501184644097572,-0.20509527623653412,0.14712271094322205
25,0.782828262489177,0.7538184245946014,-0.2310444563627243,0.1744661033153534
26,0.7842659525199847,0.7656667273967491,-0.21551521122455597,0.14754826575517654
27,0.7801784024323943,0.74398509770235,-0.23160772025585175,0.1823224164545536
28,0.7844270382377222,0.7619171808665173,-0.22471895813941956,0.16105740517377853
29,0.7842699796629281,0.7662052508836374,-0.21566858887672424,0.14775950089097023
30,0.7840968125163603,0.7584513171792375,-0.22346410155296326,0.16249309852719307
31,0.7842337353764371,0.7691516281221541,-0.22014877200126648,0.1501929722726345
32,0.7841733282322856,0.7572933646770601,-0.20885594189167023,0.14718854427337646
33,0.7851599782534281,0.7617594291135477,-0.21591879427433014,0.1520875245332718
34,0.7848901596762177,0.7613411924888762,-0.21089915931224823,0.14638382568955421
35,0.7849264039627086,0.7662011762329837,-0.2138245850801468,0.14582005515694618
36,0.7851438696816544,0.7638104618953705,-0.22342702746391296,0.15857761725783348
37,0.7852566296840706,0.7660304127013815,-0.209432452917099,0.14104151353240013
38,0.7843464953788535,0.7569555816134128,-0.22614246606826782,0.16712523996829987
39,0.7856029639772064,0.7670647692262741,-0.21487979590892792,0.14660368114709854
40,0.7856311539778105,0.7658838425664523,-0.2192229926586151,0.15233848243951797
41,0.784048486801039,0.754636871578063,-0.20741498470306396,0.14767708256840706
42,0.7850955439663331,0.7706537230707,-0.2186022400856018,0.14798273518681526
43,0.7857318325513964,0.7617721102410832,-0.2070634961128235,0.14201964437961578
44,0.7857519682661136,0.7624141477291113,-0.22132614254951477,0.15747255831956863
45,0.784874051104444,0.7619212051365407,-0.20410297811031342,0.13855522498488426
46,0.7860338682721543,0.7667595578824108,-0.22331646084785461,0.15655460953712463
47,0.7855506111189416,0.7632648152262408,-0.2258935123682022,0.16213348880410194
48,0.7854217425447516,0.7587491986101411,-0.20930396020412445,0.14703461527824402
49,0.7852807925417312,0.765202422876575,-0.22773052752017975,0.16229453682899475
50,0.7863318768499687,0.7677598799478983,-0.2075715959072113,0.1386452056467533
51,0.7872661740128466,0.7686705301612368,-0.2091149091720581,0.13736600801348686
