round,client,loss,samples,weight
1,Client_1,0.5257347226142883,4559,0.2000351015751832
1,Client_2,0.5257749557495117,4558,0.1999912246062042
1,Client_3,0.5254228115081787,4558,0.1999912246062042
1,Client_4,0.5239976644515991,4558,0.1999912246062042
1,Client_5,0.531288206577301,4558,0.1999912246062042
2,Client_1,0.5998532176017761,4559,0.2000351015751832
2,Client_2,0.6094276905059814,4558,0.1999912246062042
2,Client_3,0.6082926988601685,4558,0.1999912246062042
2,Client_4,0.6108399629592896,4558,0.1999912246062042
2,Client_5,0.6346375942230225,4558,0.1999912246062042
3,Client_1,0.4734037518501282,4559,0.2000351015751832
3,Client_2,0.4733366072177887,4558,0.1999912246062042
3,Client_3,0.4734373092651367,4558,0.1999912246062042
3,Client_4,0.47223952412605286,4558,0.1999912246062042
3,Client_5,0.4743964970111847,4558,0.1999912246062042
4,Client_1,0.4396611750125885,4559,0.2000351015751832
4,Client_2,0.4424102008342743,4558,0.1999912246062042
4,Client_3,0.4428483545780182,4558,0.1999912246062042
4,Client_4,0.4414157569408417,4558,0.1999912246062042
4,Client_5,0.44505298137664795,4558,0.1999912246062042
5,Client_1,0.4244252145290375,4559,0.2000351015751832
5,Client_2,0.4272424578666687,4558,0.1999912246062042
5,Client_3,0.4281410574913025,4558,0.1999912246062042
5,Client_4,0.427594929933548,4558,0.1999912246062042
5,Client_5,0.4326383173465729,4558,0.1999912246062042
6,Client_1,0.43529635667800903,4559,0.2000351015751832
6,Client_2,0.4366302490234375,4558,0.1999912246062042
6,Client_3,0.4371955692768097,4558,0.1999912246062042
6,Client_4,0.43650296330451965,4558,0.1999912246062042
6,Client_5,0.43566423654556274,4558,0.1999912246062042
7,Client_1,0.4129352271556854,4559,0.2000351015751832
7,Client_2,0.4161290228366852,4558,0.1999912246062042
7,Client_3,0.41692543029785156,4558,0.1999912246062042
7,Client_4,0.4175422787666321,4558,0.1999912246062042
7,Client_5,0.42184019088745117,4558,0.1999912246062042
8,Client_1,0.42180439829826355,4559,0.2000351015751832
8,Client_2,0.42323005199432373,4558,0.1999912246062042
8,Client_3,0.4234668016433716,4558,0.1999912246062042
8,Client_4,0.42415720224380493,4558,0.1999912246062042
8,Client_5,0.42289629578590393,4558,0.1999912246062042
9,Client_1,0.42558518052101135,4559,0.2000351015751832
9,Client_2,0.4287385940551758,4558,0.1999912246062042
9,Client_3,0.42926594614982605,4558,0.1999912246062042
9,Client_4,0.4322827458381653,4558,0.1999912246062042
9,Client_5,0.4388866126537323,4558,0.1999912246062042
10,Client_1,0.4174482226371765,4559,0.2000351015751832
10,Client_2,0.41881120204925537,4558,0.1999912246062042
10,Client_3,0.4185924530029297,4558,0.1999912246062042
10,Client_4,0.42048078775405884,4558,0.1999912246062042
10,Client_5,0.4186284840106964,4558,0.1999912246062042
11,Client_1,0.40409815311431885,4559,0.2000351015751832
11,Client_2,0.40717440843582153,4558,0.1999912246062042
11,Client_3,0.40710362792015076,4558,0.1999912246062042
11,Client_4,0.41026604175567627,4558,0.1999912246062042
11,Client_5,0.41374069452285767,4558,0.1999912246062042
12,Client_1,0.43603867292404175,4559,0.2000351015751832
12,Client_2,0.43981119990348816,4558,0.1999912246062042
12,Client_3,0.439518541097641,4558,0.1999912246062042
12,Client_4,0.4447851777076721,4558,0.1999912246062042
12,Client_5,0.452095627784729,4558,0.1999912246062042
13,Client_1,0.4028598964214325,4559,0.2000351015751832
13,Client_2,0.40493839979171753,4558,0.1999912246062042
13,Client_3,0.40385550260543823,4558,0.1999912246062042
13,Client_4,0.4089048206806183,4558,0.1999912246062042
13,Client_5,0.4110144376754761,4558,0.1999912246062042
14,Client_1,0.42819973826408386,4559,0.2000351015751832
14,Client_2,0.42808547616004944,4558,0.1999912246062042
14,Client_3,0.4268444776535034,4558,0.1999912246062042
14,Client_4,0.43088552355766296,4558,0.1999912246062042
14,Client_5,0.42574846744537354,4558,0.1999912246062042
15,Client_1,0.41110607981681824,4559,0.2000351015751832
15,Client_2,0.41207823157310486,4558,0.1999912246062042
15,Client_3,0.411080002784729,4558,0.1999912246062042
15,Client_4,0.41513898968696594,4558,0.1999912246062042
15,Client_5,0.4120083153247833,4558,0.1999912246062042
16,Client_1,0.40561750531196594,4559,0.2000351015751832
16,Client_2,0.40677762031555176,4558,0.1999912246062042
16,Client_3,0.4058246612548828,4558,0.1999912246062042
16,Client_4,0.4100477695465088,4558,0.1999912246062042
16,Client_5,0.4077054262161255,4558,0.1999912246062042
17,Client_1,0.39804473519325256,4559,0.2000351015751832
17,Client_2,0.4008554518222809,4558,0.1999912246062042
17,Client_3,0.39985594153404236,4558,0.1999912246062042
17,Client_4,0.40547874569892883,4558,0.1999912246062042
17,Client_5,0.407502144575119,4558,0.1999912246062042
