round,client,loss,samples,weight
1,Client_1,0.6340590119361877,293,0.21018651362984217
1,Client_2,0.6982463002204895,189,0.13558106169296988
1,Client_3,0.6380465030670166,405,0.29053084648493543
1,Client_4,0.6341686844825745,323,0.23170731707317074
1,Client_5,0.6001808047294617,184,0.13199426111908177
2,Client_1,0.6158671975135803,293,0.21018651362984217
2,Client_2,0.6825811862945557,189,0.13558106169296988
2,Client_3,0.6147327423095703,405,0.29053084648493543
2,Client_4,0.6134695410728455,323,0.23170731707317074
2,Client_5,0.5760846138000488,184,0.13199426111908177
3,Client_1,0.5996506214141846,293,0.21018651362984217
3,Client_2,0.6788570284843445,189,0.13558106169296988
3,Client_3,0.5984238982200623,405,0.29053084648493543
3,Client_4,0.594828724861145,323,0.23170731707317074
3,Client_5,0.5453619360923767,184,0.13199426111908177
4,Client_1,0.5841026902198792,293,0.21018651362984217
4,Client_2,0.6351960301399231,189,0.13558106169296988
4,Client_3,0.5727543830871582,405,0.29053084648493543
4,Client_4,0.581550121307373,323,0.23170731707317074
4,Client_5,0.5559185743331909,184,0.13199426111908177
5,Client_1,0.5699096322059631,293,0.21018651362984217
5,Client_2,0.6582399010658264,189,0.13558106169296988
5,Client_3,0.5664121508598328,405,0.29053084648493543
5,Client_4,0.5642768144607544,323,0.23170731707317074
5,Client_5,0.5074259042739868,184,0.13199426111908177
6,Client_1,0.5571059584617615,293,0.21018651362984217
6,Client_2,0.5988694429397583,189,0.13558106169296988
6,Client_3,0.5392836332321167,405,0.29053084648493543
6,Client_4,0.5543580055236816,323,0.23170731707317074
6,Client_5,0.5364499092102051,184,0.13199426111908177
7,Client_1,0.5447019934654236,293,0.21018651362984217
7,Client_2,0.6037845611572266,189,0.13558106169296988
7,Client_3,0.5289992690086365,405,0.29053084648493543
7,Client_4,0.5402863621711731,323,0.23170731707317074
7,Client_5,0.5053865909576416,184,0.13199426111908177
8,Client_1,0.5337372422218323,293,0.21018651362984217
8,Client_2,0.5817209482192993,189,0.13558106169296988
8,Client_3,0.5145953893661499,405,0.29053084648493543
8,Client_4,0.5304902791976929,323,0.23170731707317074
8,Client_5,0.5041837096214294,184,0.13199426111908177
9,Client_1,0.5236034989356995,293,0.21018651362984217
9,Client_2,0.5718568563461304,189,0.13558106169296988
9,Client_3,0.5038985013961792,405,0.29053084648493543
9,Client_4,0.5207580924034119,323,0.23170731707317074
9,Client_5,0.4925282895565033,184,0.13199426111908177
10,Client_1,0.5152704119682312,293,0.21018651362984217
10,Client_2,0.5370625853538513,189,0.13558106169296988
10,Client_3,0.4907660186290741,405,0.29053084648493543
10,Client_4,0.514390230178833,323,0.23170731707317074
10,Client_5,0.5085200667381287,184,0.13199426111908177
11,Client_1,0.5053340792655945,293,0.21018651362984217
11,Client_2,0.5404689311981201,189,0.13558106169296988
11,Client_3,0.4817183017730713,405,0.29053084648493543
11,Client_4,0.5044182538986206,323,0.23170731707317074
11,Client_5,0.48221471905708313,184,0.13199426111908177
12,Client_1,0.4975176453590393,293,0.21018651362984217
12,Client_2,0.5304946899414062,189,0.13558106169296988
12,Client_3,0.47350960969924927,405,0.29053084648493543
12,Client_4,0.4973461925983429,323,0.23170731707317074
12,Client_5,0.4749925434589386,184,0.13199426111908177
13,Client_1,0.4959511458873749,293,0.21018651362984217
13,Client_2,0.4827408790588379,189,0.13558106169296988
13,Client_3,0.4692584276199341,405,0.29053084648493543
13,Client_4,0.4960249960422516,323,0.23170731707317074
13,Client_5,0.5205711126327515,184,0.13199426111908177
14,Client_1,0.4849723279476166,293,0.21018651362984217
14,Client_2,0.5052206516265869,189,0.13558106169296988
14,Client_3,0.45912039279937744,405,0.29053084648493543
14,Client_4,0.4854089915752411,323,0.23170731707317074
14,Client_5,0.4720613658428192,184,0.13199426111908177
15,Client_1,0.4807237982749939,293,0.21018651362984217
15,Client_2,0.4826800227165222,189,0.13558106169296988
15,Client_3,0.4541245698928833,405,0.29053084648493543
15,Client_4,0.4814245104789734,323,0.23170731707317074
15,Client_5,0.4854567348957062,184,0.13199426111908177
16,Client_1,0.4729578197002411,293,0.21018651362984217
16,Client_2,0.5037156343460083,189,0.13558106169296988
