round,client,loss,samples,weight
1,Client_1,0.07833102345466614,80319,0.38338790823778746
1,Client_2,0.2336810678243637,33145,0.15821153423899034
1,Client_3,0.3945798873901367,32288,0.15412080306255907
1,Client_4,0.4590025842189789,23232,0.11089366008267382
1,Client_5,0.20748288929462433,40514,0.1933860943779893
2,Client_1,0.030756855383515358,80319,0.38338790823778746
2,Client_2,0.2466048300266266,33145,0.15821153423899034
2,Client_3,0.4606391191482544,32288,0.15412080306255907
2,Client_4,0.5466445684432983,23232,0.11089366008267382
2,Client_5,0.22426405549049377,40514,0.1933860943779893
3,Client_1,0.022514130920171738,80319,0.38338790823778746
3,Client_2,0.24691316485404968,33145,0.15821153423899034
3,Client_3,0.46465224027633667,32288,0.15412080306255907
3,Client_4,0.5503508448600769,23232,0.11089366008267382
3,Client_5,0.22502724826335907,40514,0.1933860943779893
4,Client_1,0.027117494493722916,80319,0.38338790823778746
4,Client_2,0.22232617437839508,33145,0.15821153423899034
4,Client_3,0.39837634563446045,32288,0.15412080306255907
4,Client_4,0.4637931287288666,23232,0.11089366008267382
4,Client_5,0.19746729731559753,40514,0.1933860943779893
5,Client_1,0.022150691598653793,80319,0.38338790823778746
5,Client_2,0.22104933857917786,33145,0.15821153423899034
5,Client_3,0.3988041579723358,32288,0.15412080306255907
5,Client_4,0.4646592140197754,23232,0.11089366008267382
5,Client_5,0.19686879217624664,40514,0.1933860943779893
6,Client_1,0.03911527991294861,80319,0.38338790823778746
6,Client_2,0.21413668990135193,33145,0.15821153423899034
6,Client_3,0.3303789794445038,32288,0.15412080306255907
6,Client_4,0.36591964960098267,23232,0.11089366008267382
6,Client_5,0.1732134222984314,40514,0.1933860943779893
7,Client_1,0.016462814062833786,80319,0.38338790823778746
7,Client_2,0.22551453113555908,33145,0.15821153423899034
7,Client_3,0.4151863753795624,32288,0.15412080306255907
7,Client_4,0.4862309396266937,23232,0.11089366008267382
7,Client_5,0.20364134013652802,40514,0.1933860943779893
8,Client_1,0.024706201627850533,80319,0.38338790823778746
8,Client_2,0.20179378986358643,33145,0.15821153423899034
8,Client_3,0.33082592487335205,32288,0.15412080306255907
8,Client_4,0.37311455607414246,23232,0.11089366008267382
8,Client_5,0.17030863463878632,40514,0.1933860943779893
9,Client_1,0.014894322492182255,80319,0.38338790823778746
9,Client_2,0.21805255115032196,33145,0.15821153423899034
9,Client_3,0.3998003602027893,32288,0.15412080306255907
9,Client_4,0.4660242795944214,23232,0.11089366008267382
9,Client_5,0.19837750494480133,40514,0.1933860943779893
10,Client_1,0.015557720325887203,80319,0.38338790823778746
10,Client_2,0.20908233523368835,33145,0.15821153423899034
10,Client_3,0.37527239322662354,32288,0.15412080306255907
10,Client_4,0.4351789951324463,23232,0.11089366008267382
10,Client_5,0.18833118677139282,40514,0.1933860943779893
11,Client_1,0.017924176529049873,80319,0.38338790823778746
11,Client_2,0.19839659333229065,33145,0.15821153423899034
11,Client_3,0.3430968225002289,32288,0.15412080306255907
11,Client_4,0.3931550979614258,23232,0.11089366008267382
11,Client_5,0.17522788047790527,40514,0.1933860943779893
12,Client_1,0.01566738821566105,80319,0.38338790823778746
12,Client_2,0.2025919109582901,33145,0.15821153423899034
12,Client_3,0.3589511513710022,32288,0.15412080306255907
