round,client,loss,samples,weight
1,Client_1,0.48678404092788696,3621,0.12931219198628668
1,Client_2,0.3337874412536621,11611,0.4146489536461681
1,Client_3,0.3399120271205902,12770,0.45603885436754515
2,Client_1,0.41862115263938904,3621,0.12931219198628668
2,Client_2,0.3145844042301178,11611,0.4146489536461681
2,Client_3,0.3142023980617523,12770,0.45603885436754515
3,Client_1,0.4176604747772217,3621,0.12931219198628668
3,Client_2,0.29145845770835876,11611,0.4146489536461681
3,Client_3,0.2912479341030121,12770,0.45603885436754515
4,Client_1,0.3979518711566925,3621,0.12931219198628668
4,Client_2,0.28233304619789124,11611,0.4146489536461681
4,Client_3,0.28134581446647644,12770,0.45603885436754515
5,Client_1,0.39433786273002625,3621,0.12931219198628668
5,Client_2,0.2733258903026581,11611,0.4146489536461681
5,Client_3,0.273298978805542,12770,0.45603885436754515
6,Client_1,0.4001052677631378,3621,0.12931219198628668
6,Client_2,0.266053706407547,11611,0.4146489536461681
6,Client_3,0.2674698233604431,12770,0.45603885436754515
7,Client_1,0.39131516218185425,3621,0.12931219198628668
7,Client_2,0.2641744613647461,11611,0.4146489536461681
7,Client_3,0.2648122012615204,12770,0.45603885436754515
8,Client_1,0.3854252099990845,3621,0.12931219198628668
8,Client_2,0.26372483372688293,11611,0.4146489536461681
8,Client_3,0.2634698152542114,12770,0.45603885436754515
9,Client_1,0.3881016671657562,3621,0.12931219198628668
9,Client_2,0.2592788338661194,11611,0.4146489536461681
9,Client_3,0.2596089541912079,12770,0.45603885436754515
10,Client_1,0.38563695549964905,3621,0.12931219198628668
10,Client_2,0.2582610547542572,11611,0.4146489536461681
10,Client_3,0.25778278708457947,12770,0.45603885436754515
11,Client_1,0.38841715455055237,3621,0.12931219198628668
11,Client_2,0.2554088532924652,11611,0.4146489536461681
11,Client_3,0.25518423318862915,12770,0.45603885436754515
12,Client_1,0.37939536571502686,3621,0.12931219198628668
12,Client_2,0.25611212849617004,11611,0.4146489536461681
12,Client_3,0.2549898028373718,12770,0.45603885436754515
13,Client_1,0.3799905478954315,3621,0.12931219198628668
13,Client_2,0.2533458173274994,11611,0.4146489536461681
13,Client_3,0.25223028659820557,12770,0.45603885436754515
14,Client_1,0.3767002820968628,3621,0.12931219198628668
14,Client_2,0.2520134449005127,11611,0.4146489536461681
14,Client_3,0.2508147060871124,12770,0.45603885436754515
15,Client_1,0.3753693997859955,3621,0.12931219198628668
15,Client_2,0.2507402300834656,11611,0.4146489536461681
15,Client_3,0.24905581772327423,12770,0.45603885436754515
16,Client_1,0.36626777052879333,3621,0.12931219198628668
16,Client_2,0.2538808286190033,11611,0.4146489536461681
16,Client_3,0.25142326951026917,12770,0.45603885436754515
17,Client_1,0.37638652324676514,3621,0.12931219198628668
17,Client_2,0.24754947423934937,11611,0.4146489536461681
17,Client_3,0.24598270654678345,12770,0.45603885436754515
18,Client_1,0.3723534643650055,3621,0.12931219198628668
18,Client_2,0.24658644199371338,11611,0.4146489536461681
18,Client_3,0.2451184093952179,12770,0.45603885436754515
19,Client_1,0.36535924673080444,3621,0.12931219198628668
19,Client_2,0.24764110147953033,11611,0.4146489536461681
19,Client_3,0.24568812549114227,12770,0.45603885436754515
20,Client_1,0.36808067560195923,3621,0.12931219198628668
20,Client_2,0.24531958997249603,11611,0.4146489536461681
20,Client_3,0.24355994164943695,12770,0.45603885436754515
21,Client_1,0.36457571387290955,3621,0.12931219198628668
21,Client_2,0.245284304022789,11611,0.4146489536461681
21,Client_3,0.24312353134155273,12770,0.45603885436754515
22,Client_1,0.3682422637939453,3621,0.12931219198628668
22,Client_2,0.24300478398799896,11611,0.4146489536461681
22,Client_3,0.24112771451473236,12770,0.45603885436754515
23,Client_1,0.36395207047462463,3621,0.12931219198628668
23,Client_2,0.24316656589508057,11611,0.4146489536461681
23,Client_3,0.24106450378894806,12770,0.45603885436754515
24,Client_1,0.3668327331542969,3621,0.12931219198628668
24,Client_2,0.24168185889720917,11611,0.4146489536461681
24,Client_3,0.23977763950824738,12770,0.45603885436754515
25,Client_1,0.3626098036766052,3621,0.12931219198628668
25,Client_2,0.24203941226005554,11611,0.4146489536461681
25,Client_3,0.23956121504306793,12770,0.45603885436754515
26,Client_1,0.36078962683677673,3621,0.12931219198628668
26,Client_2,0.24143289029598236,11611,0.4146489536461681
26,Client_3,0.2389865517616272,12770,0.45603885436754515
27,Client_1,0.35589736700057983,3621,0.12931219198628668
27,Client_2,0.24155263602733612,11611,0.4146489536461681
27,Client_3,0.23894882202148438,12770,0.45603885436754515
28,Client_1,0.3569876551628113,3621,0.12931219198628668
28,Client_2,0.24046607315540314,11611,0.4146489536461681
28,Client_3,0.2379671186208725,12770,0.45603885436754515
29,Client_1,0.3545446991920471,3621,0.12931219198628668
29,Client_2,0.24031083285808563,11611,0.4146489536461681
29,Client_3,0.2376800924539566,12770,0.45603885436754515
30,Client_1,0.3573926091194153,3621,0.12931219198628668
30,Client_2,0.2388802021741867,11611,0.4146489536461681
30,Client_3,0.23621155321598053,12770,0.45603885436754515
31,Client_1,0.3581055998802185,3621,0.12931219198628668
31,Client_2,0.23755696415901184,11611,0.4146489536461681
31,Client_3,0.23509900271892548,12770,0.45603885436754515
32,Client_1,0.35216620564460754,3621,0.12931219198628668
32,Client_2,0.23913097381591797,11611,0.4146489536461681
32,Client_3,0.23609016835689545,12770,0.45603885436754515
33,Client_1,0.3587803244590759,3621,0.12931219198628668
33,Client_2,0.23663319647312164,11611,0.4146489536461681
33,Client_3,0.2338162064552307,12770,0.45603885436754515
34,Client_1,0.3526442348957062,3621,0.12931219198628668
34,Client_2,0.23744416236877441,11611,0.4146489536461681
34,Client_3,0.23440669476985931,12770,0.45603885436754515
35,Client_1,0.35285279154777527,3621,0.12931219198628668
35,Client_2,0.23646976053714752,11611,0.4146489536461681
35,Client_3,0.23347464203834534,12770,0.45603885436754515
36,Client_1,0.3571307361125946,3621,0.12931219198628668
36,Client_2,0.23530200123786926,11611,0.4146489536461681
36,Client_3,0.23257111012935638,12770,0.45603885436754515
37,Client_1,0.35183271765708923,3621,0.12931219198628668
37,Client_2,0.23580050468444824,11611,0.4146489536461681
37,Client_3,0.23292820155620575,12770,0.45603885436754515
38,Client_1,0.3492506742477417,3621,0.12931219198628668
38,Client_2,0.2360420525074005,11611,0.4146489536461681
38,Client_3,0.23295435309410095,12770,0.45603885436754515
39,Client_1,0.35393673181533813,3621,0.12931219198628668
39,Client_2,0.2344164252281189,11611,0.4146489536461681
39,Client_3,0.23146952688694,12770,0.45603885436754515
40,Client_1,0.34613037109375,3621,0.12931219198628668
40,Client_2,0.2363424301147461,11611,0.4146489536461681
40,Client_3,0.23279058933258057,12770,0.45603885436754515
41,Client_1,0.3496875762939453,3621,0.12931219198628668
41,Client_2,0.23458467423915863,11611,0.4146489536461681
41,Client_3,0.23148511350154877,12770,0.45603885436754515
42,Client_1,0.3475643992424011,3621,0.12931219198628668
42,Client_2,0.2350856214761734,11611,0.4146489536461681
42,Client_3,0.23146209120750427,12770,0.45603885436754515
43,Client_1,0.35283881425857544,3621,0.12931219198628668
43,Client_2,0.23306231200695038,11611,0.4146489536461681
43,Client_3,0.22998127341270447,12770,0.45603885436754515
44,Client_1,0.34789422154426575,3621,0.12931219198628668
44,Client_2,0.23430229723453522,11611,0.4146489536461681
44,Client_3,0.23073364794254303,12770,0.45603885436754515
45,Client_1,0.34874415397644043,3621,0.12931219198628668
45,Client_2,0.23415815830230713,11611,0.4146489536461681
45,Client_3,0.23064911365509033,12770,0.45603885436754515
46,Client_1,0.34985455870628357,3621,0.12931219198628668
46,Client_2,0.23285822570323944,11611,0.4146489536461681
46,Client_3,0.22941717505455017,12770,0.45603885436754515
47,Client_1,0.34859800338745117,3621,0.12931219198628668
47,Client_2,0.23305393755435944,11611,0.4146489536461681
47,Client_3,0.22957515716552734,12770,0.45603885436754515
48,Client_1,0.3427400290966034,3621,0.12931219198628668
48,Client_2,0.23450326919555664,11611,0.4146489536461681
48,Client_3,0.23078912496566772,12770,0.45603885436754515
49,Client_1,0.35007011890411377,3621,0.12931219198628668
49,Client_2,0.23159630596637726,11611,0.4146489536461681
49,Client_3,0.22807326912879944,12770,0.45603885436754515
50,Client_1,0.3462480902671814,3621,0.12931219198628668
50,Client_2,0.23204801976680756,11611,0.4146489536461681
50,Client_3,0.2285252958536148,12770,0.45603885436754515
