round,client,loss,samples,weight
1,Client_1,0.6524774432182312,293,0.21018651362984217
1,Client_2,0.6888837814331055,189,0.13558106169296988
1,Client_3,0.6867355704307556,405,0.29053084648493543
1,Client_4,0.6686322689056396,323,0.23170731707317074
1,Client_5,0.623222291469574,184,0.13199426111908177
2,Client_1,0.6334541440010071,293,0.21018651362984217
2,Client_2,0.6862004995346069,189,0.13558106169296988
2,Client_3,0.668036162853241,405,0.29053084648493543
2,Client_4,0.6467965841293335,323,0.23170731707317074
2,Client_5,0.5903592705726624,184,0.13199426111908177
3,Client_1,0.6150463819503784,293,0.21018651362984217
3,Client_2,0.6862158179283142,189,0.13558106169296988
3,Client_3,0.6526693105697632,405,0.29053084648493543
3,Client_4,0.6268097162246704,323,0.23170731707317074
3,Client_5,0.5593042373657227,184,0.13199426111908177
4,Client_1,0.5985708236694336,293,0.21018651362984217
4,Client_2,0.6449251770973206,189,0.13558106169296988
4,Client_3,0.6288899779319763,405,0.29053084648493543
4,Client_4,0.6125386953353882,323,0.23170731707317074
4,Client_5,0.5683810710906982,184,0.13199426111908177
5,Client_1,0.5822295546531677,293,0.21018651362984217
5,Client_2,0.6432584524154663,189,0.13558106169296988
5,Client_3,0.615371823310852,405,0.29053084648493543
5,Client_4,0.5953310132026672,323,0.23170731707317074
5,Client_5,0.5413220524787903,184,0.13199426111908177
6,Client_1,0.567594051361084,293,0.21018651362984217
6,Client_2,0.6147418022155762,189,0.13558106169296988
6,Client_3,0.5963016152381897,405,0.29053084648493543
6,Client_4,0.5816169381141663,323,0.23170731707317074
6,Client_5,0.5407813191413879,184,0.13199426111908177
7,Client_1,0.5558881759643555,293,0.21018651362984217
7,Client_2,0.5743786692619324,189,0.13558106169296988
7,Client_3,0.5767689347267151,405,0.29053084648493543
7,Client_4,0.5706227421760559,323,0.23170731707317074
7,Client_5,0.5561373233795166,184,0.13199426111908177
8,Client_1,0.5399109721183777,293,0.21018651362984217
8,Client_2,0.5773798227310181,189,0.13558106169296988
8,Client_3,0.5652875900268555,405,0.29053084648493543
8,Client_4,0.5544900894165039,323,0.23170731707317074
8,Client_5,0.5216644406318665,184,0.13199426111908177
9,Client_1,0.5272858142852783,293,0.21018651362984217
9,Client_2,0.5641545653343201,189,0.13558106169296988
9,Client_3,0.5533149242401123,405,0.29053084648493543
9,Client_4,0.5428913831710815,323,0.23170731707317074
9,Client_5,0.5109805464744568,184,0.13199426111908177
