round,client,loss,samples,weight
1,Client_1,0.37737002968788147,5600,0.2
1,Client_2,0.36425432562828064,5600,0.2
1,Client_3,0.37267717719078064,5600,0.2
1,Client_4,0.3716219961643219,5600,0.2
1,Client_5,0.3717527389526367,5600,0.2
2,Client_1,0.358374685049057,5600,0.2
2,Client_2,0.3495529592037201,5600,0.2
2,Client_3,0.35655930638313293,5600,0.2
2,Client_4,0.35578083992004395,5600,0.2
2,Client_5,0.3559635579586029,5600,0.2
3,Client_1,0.3468066453933716,5600,0.2
3,Client_2,0.3356771469116211,5600,0.2
3,Client_3,0.34476861357688904,5600,0.2
3,Client_4,0.34295251965522766,5600,0.2
3,Client_5,0.343418151140213,5600,0.2
4,Client_1,0.3339017629623413,5600,0.2
4,Client_2,0.32465171813964844,5600,0.2
4,Client_3,0.3336261212825775,5600,0.2
4,Client_4,0.33160969614982605,5600,0.2
4,Client_5,0.3322548568248749,5600,0.2
5,Client_1,0.32352393865585327,5600,0.2
5,Client_2,0.31422653794288635,5600,0.2
5,Client_3,0.32421576976776123,5600,0.2
5,Client_4,0.32155805826187134,5600,0.2
5,Client_5,0.32254916429519653,5600,0.2
6,Client_1,0.3149065673351288,5600,0.2
6,Client_2,0.30634066462516785,5600,0.2
6,Client_3,0.3167891204357147,5600,0.2
6,Client_4,0.3138657510280609,5600,0.2
6,Client_5,0.31508129835128784,5600,0.2
7,Client_1,0.30703315138816833,5600,0.2
7,Client_2,0.2976619005203247,5600,0.2
7,Client_3,0.3095100522041321,5600,0.2
7,Client_4,0.30596113204956055,5600,0.2
7,Client_5,0.30752718448638916,5600,0.2
8,Client_1,0.3011442720890045,5600,0.2
8,Client_2,0.2925525903701782,5600,0.2
8,Client_3,0.3046307861804962,5600,0.2
8,Client_4,0.3009226322174072,5600,0.2
8,Client_5,0.30264872312545776,5600,0.2
9,Client_1,0.2957659959793091,5600,0.2
9,Client_2,0.2863069176673889,5600,0.2
9,Client_3,0.299784392118454,5600,0.2
9,Client_4,0.2955590784549713,5600,0.2
9,Client_5,0.29750874638557434,5600,0.2
10,Client_1,0.2918426990509033,5600,0.2
10,Client_2,0.2825295031070709,5600,0.2
10,Client_3,0.29659801721572876,5600,0.2
10,Client_4,0.2921256422996521,5600,0.2
10,Client_5,0.2941367030143738,5600,0.2
11,Client_1,0.28899243474006653,5600,0.2
11,Client_2,0.280374675989151,5600,0.2
11,Client_3,0.2945985496044159,5600,0.2
11,Client_4,0.2900336980819702,5600,0.2
11,Client_5,0.29195141792297363,5600,0.2
12,Client_1,0.2858452796936035,5600,0.2
12,Client_2,0.27538740634918213,5600,0.2
12,Client_3,0.29151615500450134,5600,0.2
12,Client_4,0.2864311933517456,5600,0.2
12,Client_5,0.28856411576271057,5600,0.2
13,Client_1,0.283576101064682,5600,0.2
13,Client_2,0.27361205220222473,5600,0.2
13,Client_3,0.2898387610912323,5600,0.2
13,Client_4,0.2847420275211334,5600,0.2
13,Client_5,0.28671398758888245,5600,0.2
14,Client_1,0.2817719578742981,5600,0.2
14,Client_2,0.27190524339675903,5600,0.2
14,Client_3,0.2885245978832245,5600,0.2
14,Client_4,0.28324148058891296,5600,0.2
14,Client_5,0.2851434051990509,5600,0.2
15,Client_1,0.2802930474281311,5600,0.2
15,Client_2,0.2706899046897888,5600,0.2
15,Client_3,0.28742313385009766,5600,0.2
15,Client_4,0.2820832431316376,5600,0.2
15,Client_5,0.2838762104511261,5600,0.2
16,Client_1,0.2787998914718628,5600,0.2
16,Client_2,0.2689092457294464,5600,0.2
16,Client_3,0.28621959686279297,5600,0.2
16,Client_4,0.28077447414398193,5600,0.2
16,Client_5,0.2824701964855194,5600,0.2
17,Client_1,0.27801987528800964,5600,0.2
17,Client_2,0.26911482214927673,5600,0.2
17,Client_3,0.2859330177307129,5600,0.2
17,Client_4,0.2806248664855957,5600,0.2
17,Client_5,0.2819894254207611,5600,0.2
18,Client_1,0.27639952301979065,5600,0.2
18,Client_2,0.26589247584342957,5600,0.2
18,Client_3,0.28405067324638367,5600,0.2
18,Client_4,0.2785079777240753,5600,0.2
18,Client_5,0.28009480237960815,5600,0.2
19,Client_1,0.2754024267196655,5600,0.2
19,Client_2,0.26560768485069275,5600,0.2
19,Client_3,0.28340020775794983,5600,0.2
19,Client_4,0.27791348099708557,5600,0.2
19,Client_5,0.27927085757255554,5600,0.2
20,Client_1,0.2743690013885498,5600,0.2
20,Client_2,0.2640715539455414,5600,0.2
20,Client_3,0.28240489959716797,5600,0.2
20,Client_4,0.2768687605857849,5600,0.2
20,Client_5,0.27820590138435364,5600,0.2
21,Client_1,0.27375465631484985,5600,0.2
21,Client_2,0.2646512985229492,5600,0.2
21,Client_3,0.28231123089790344,5600,0.2
21,Client_4,0.27685031294822693,5600,0.2
21,Client_5,0.27783775329589844,5600,0.2
22,Client_1,0.2727324664592743,5600,0.2
22,Client_2,0.2632461488246918,5600,0.2
22,Client_3,0.28125280141830444,5600,0.2
22,Client_4,0.2757432162761688,5600,0.2
22,Client_5,0.2767476737499237,5600,0.2
23,Client_1,0.2719549536705017,5600,0.2
23,Client_2,0.26237109303474426,5600,0.2
23,Client_3,0.28047680854797363,5600,0.2
23,Client_4,0.27494022250175476,5600,0.2
23,Client_5,0.27593544125556946,5600,0.2
24,Client_1,0.2712509036064148,5600,0.2
24,Client_2,0.26191675662994385,5600,0.2
24,Client_3,0.279924601316452,5600,0.2
24,Client_4,0.27438658475875854,5600,0.2
24,Client_5,0.2752546966075897,5600,0.2
25,Client_1,0.2704663574695587,5600,0.2
25,Client_2,0.2611040472984314,5600,0.2
25,Client_3,0.27915194630622864,5600,0.2
25,Client_4,0.27367496490478516,5600,0.2
25,Client_5,0.27446919679641724,5600,0.2
26,Client_1,0.2699893116950989,5600,0.2
26,Client_2,0.26133623719215393,5600,0.2
26,Client_3,0.27898165583610535,5600,0.2
26,Client_4,0.2735876142978668,5600,0.2
26,Client_5,0.27414098381996155,5600,0.2
27,Client_1,0.2691839635372162,5600,0.2
27,Client_2,0.2602575123310089,5600,0.2
27,Client_3,0.2781124711036682,5600,0.2
27,Client_4,0.272713840007782,5600,0.2
27,Client_5,0.2732897698879242,5600,0.2
28,Client_1,0.2684365510940552,5600,0.2
28,Client_2,0.259105920791626,5600,0.2
28,Client_3,0.2772318422794342,5600,0.2
28,Client_4,0.27177855372428894,5600,0.2
28,Client_5,0.27246320247650146,5600,0.2
29,Client_1,0.26808226108551025,5600,0.2
29,Client_2,0.25942036509513855,5600,0.2
29,Client_3,0.2770788073539734,5600,0.2
29,Client_4,0.2717026472091675,5600,0.2
29,Client_5,0.2722049057483673,5600,0.2
30,Client_1,0.26740792393684387,5600,0.2
30,Client_2,0.258640319108963,5600,0.2
30,Client_3,0.276363730430603,5600,0.2
30,Client_4,0.27096810936927795,5600,0.2
30,Client_5,0.2715056538581848,5600,0.2
31,Client_1,0.2665617763996124,5600,0.2
31,Client_2,0.25750723481178284,5600,0.2
31,Client_3,0.27544429898262024,5600,0.2
31,Client_4,0.2701473832130432,5600,0.2
31,Client_5,0.2706594467163086,5600,0.2
32,Client_1,0.2661765217781067,5600,0.2
32,Client_2,0.2576536238193512,5600,0.2
32,Client_3,0.2752329409122467,5600,0.2
32,Client_4,0.2699250876903534,5600,0.2
32,Client_5,0.2703177034854889,5600,0.2
33,Client_1,0.26557159423828125,5600,0.2
33,Client_2,0.2566955089569092,5600,0.2
33,Client_3,0.27452552318573,5600,0.2
33,Client_4,0.26920974254608154,5600,0.2
33,Client_5,0.26967138051986694,5600,0.2
34,Client_1,0.265103280544281,5600,0.2
34,Client_2,0.2562081515789032,5600,0.2
34,Client_3,0.27408209443092346,5600,0.2
34,Client_4,0.2687026262283325,5600,0.2
34,Client_5,0.2691953778266907,5600,0.2
35,Client_1,0.26465746760368347,5600,0.2
35,Client_2,0.25615382194519043,5600,0.2
35,Client_3,0.27368393540382385,5600,0.2
35,Client_4,0.26830726861953735,5600,0.2
35,Client_5,0.26875266432762146,5600,0.2
36,Client_1,0.2641412615776062,5600,0.2
36,Client_2,0.25535571575164795,5600,0.2
36,Client_3,0.2729877829551697,5600,0.2
36,Client_4,0.26766282320022583,5600,0.2
36,Client_5,0.26818591356277466,5600,0.2
37,Client_1,0.26386335492134094,5600,0.2
37,Client_2,0.2558799386024475,5600,0.2
37,Client_3,0.27291199564933777,5600,0.2
37,Client_4,0.2676607072353363,5600,0.2
37,Client_5,0.2679866552352905,5600,0.2
38,Client_1,0.2632286250591278,5600,0.2
38,Client_2,0.2545264959335327,5600,0.2
38,Client_3,0.27200621366500854,5600,0.2
38,Client_4,0.26675257086753845,5600,0.2
38,Client_5,0.26727890968322754,5600,0.2
39,Client_1,0.26280635595321655,5600,0.2
39,Client_2,0.2548515796661377,5600,0.2
39,Client_3,0.27186721563339233,5600,0.2
39,Client_4,0.26664796471595764,5600,0.2
39,Client_5,0.26697322726249695,5600,0.2
40,Client_1,0.2622738480567932,5600,0.2
40,Client_2,0.2536708116531372,5600,0.2
40,Client_3,0.27099478244781494,5600,0.2
40,Client_4,0.26584675908088684,5600,0.2
40,Client_5,0.26635631918907166,5600,0.2
41,Client_1,0.2622281312942505,5600,0.2
41,Client_2,0.25493907928466797,5600,0.2
41,Client_3,0.2713435888290405,5600,0.2
41,Client_4,0.2662005126476288,5600,0.2
41,Client_5,0.26642119884490967,5600,0.2
42,Client_1,0.2616947591304779,5600,0.2
42,Client_2,0.25400516390800476,5600,0.2
42,Client_3,0.27067267894744873,5600,0.2
42,Client_4,0.2654474675655365,5600,0.2
42,Client_5,0.2658311724662781,5600,0.2
43,Client_1,0.2620207667350769,5600,0.2
43,Client_2,0.25549769401550293,5600,0.2
43,Client_3,0.27135494351387024,5600,0.2
43,Client_4,0.266194611787796,5600,0.2
43,Client_5,0.26624754071235657,5600,0.2
44,Client_1,0.26096516847610474,5600,0.2
44,Client_2,0.2532980740070343,5600,0.2
44,Client_3,0.2699272036552429,5600,0.2
44,Client_4,0.26467928290367126,5600,0.2
44,Client_5,0.2651020884513855,5600,0.2
45,Client_1,0.2607406973838806,5600,0.2
45,Client_2,0.25385281443595886,5600,0.2
45,Client_3,0.27000704407691956,5600,0.2
45,Client_4,0.26476389169692993,5600,0.2
45,Client_5,0.26498204469680786,5600,0.2
46,Client_1,0.2601930499076843,5600,0.2
46,Client_2,0.2526053786277771,5600,0.2
46,Client_3,0.26911622285842896,5600,0.2
46,Client_4,0.26388484239578247,5600,0.2
46,Client_5,0.2643411159515381,5600,0.2
47,Client_1,0.2600891590118408,5600,0.2
47,Client_2,0.2533700168132782,5600,0.2
47,Client_3,0.26933518052101135,5600,0.2
47,Client_4,0.2640847861766815,5600,0.2
47,Client_5,0.2643267810344696,5600,0.2
48,Client_1,0.25954118371009827,5600,0.2
48,Client_2,0.25232821702957153,5600,0.2
48,Client_3,0.2685282528400421,5600,0.2
48,Client_4,0.26334327459335327,5600,0.2
48,Client_5,0.2637360990047455,5600,0.2
49,Client_1,0.2596183121204376,5600,0.2
49,Client_2,0.25346308946609497,5600,0.2
49,Client_3,0.2690437138080597,5600,0.2
49,Client_4,0.26385635137557983,5600,0.2
49,Client_5,0.2639290392398834,5600,0.2
50,Client_1,0.2591356039047241,5600,0.2
50,Client_2,0.25260457396507263,5600,0.2
50,Client_3,0.2682996988296509,5600,0.2
50,Client_4,0.26320335268974304,5600,0.2
50,Client_5,0.2633921205997467,5600,0.2
