round,accuracy,balanced_accuracy,statistical_parity,equalized_odds
1,0.4866666666666667,0.5117088184129533,0.10567295551300049,0.12256956100463867
2,0.49333333333333335,0.517998126589054,0.11946606636047363,0.1317438781261444
3,0.51,0.5341228422320353,0.15350383520126343,0.15891805291175842
4,0.5333333333333333,0.5557339756456577,0.16218018531799316,0.15115556120872498
5,0.55,0.5710558008831794,0.1704115867614746,0.14474228024482727
6,0.5666666666666667,0.5875819617288907,0.17730814218521118,0.1347895860671997
7,0.59,0.6083902047370534,0.2002224326133728,0.14532843232154846
8,0.62,0.6342834203131273,0.23826473951339722,0.16858094930648804
9,0.64,0.6531513448414292,0.266295850276947,0.18151670694351196
10,0.65,0.6625853071055801,0.26028919219970703,0.16610386967658997
11,0.67,0.6814532316338819,0.2883203625679016,0.1790396273136139
12,0.6766666666666666,0.6873410946072528,0.2892102599143982,0.17345204949378967
13,0.69,0.6991168205539944,0.2909899652004242,0.16227686405181885
14,0.6966666666666667,0.705406128730095,0.30478307604789734,0.17145118117332458
15,0.6866666666666666,0.6959721664659441,0.2840934097766876,0.15768970549106598
16,0.7033333333333334,0.7112939917034657,0.3190211057662964,0.18045073747634888
17,0.7066666666666667,0.7144386457915162,0.3125694990158081,0.17045073211193085
18,0.71,0.7179847450822963,0.3190211057662964,0.17521263659000397
19,0.71,0.7179847450822963,0.3190211057662964,0.17521263659000397
20,0.73,0.7356483340024087,0.37508341670036316,0.22492578625679016
21,0.72,0.7274187073464472,0.3397107720375061,0.18897411227226257
22,0.73,0.7356483340024087,0.3617352545261383,0.21033862233161926
23,0.7166666666666667,0.7242740532583969,0.33281421661376953,0.1843869537115097
24,0.73,0.7348454435969489,0.37597331404685974,0.2286398559808731
25,0.73,0.7368526696105981,0.3604004383087158,0.20273557305335999
26,0.73,0.7352468887996788,0.3888765275478363,0.24340179562568665
27,0.73,0.7348454435969489,0.37597331404685974,0.2286398559808731
28,0.72,0.7286230429546368,0.33837592601776123,0.1813710778951645
29,0.75,0.7529104777197912,0.37819796800613403,0.21205182373523712
30,0.7333333333333333,0.7399973236986485,0.36729696393013,0.20732273161411285
31,0.7533333333333333,0.7564565770105713,0.37130141258239746,0.1981629580259323
32,0.74,0.7458851866720193,0.3948831856250763,0.23497308790683746
33,0.7566666666666667,0.7604041215040813,0.3906562924385071,0.21768677234649658
34,0.7433333333333333,0.7498327311655293,0.3741935193538666,0.2026081383228302
35,0.7533333333333333,0.757259467416031,0.3837597370147705,0.2130996286869049
36,0.7366666666666667,0.7435434229894287,0.3737485706806183,0.20802100002765656
37,0.76,0.7631473303894019,0.3846495747566223,0.2075120210647583
38,0.7433333333333333,0.7498327311655293,0.3741935193538666,0.2026081383228302
39,0.7566666666666667,0.7600026763013514,0.3911011815071106,0.21751202642917633
40,0.74,0.7470895222802088,0.3668520450592041,0.19819574058055878
41,0.75,0.7529104777197912,0.3648498058319092,0.1934010535478592
42,0.7433333333333333,0.7490298407600695,0.3617352545261383,0.19579878449440002
43,0.76,0.7647531112003212,0.3962180018424988,0.21873456239700317
44,0.75,0.7553191489361701,0.37552836537361145,0.20497308671474457
45,0.7633333333333333,0.7670948748829118,0.37730807065963745,0.19379787147045135
46,0.7433333333333333,0.7490298407600695,0.37508341670036316,0.21038593351840973
47,0.7666666666666667,0.7698380837682323,0.3846495747566223,0.19821028411388397
48,0.7466666666666667,0.7521744948481199,0.38197997212409973,0.2149730920791626
49,0.7633333333333333,0.7670948748829118,0.37730807065963745,0.19379787147045135
50,0.7533333333333333,0.75966813863241,0.3677419126033783,0.18737004697322845
51,0.8066666666666666,0.8099861921517972,0.3538588583469391,0.13667425513267517
