round,client,loss,samples,weight
1,client_1,5.4283952713012695,434,0.3111111111111111
1,client_2,4.858290958404541,590,0.4229390681003584
1,client_3,4.901884873708089,371,0.26594982078853047
2,client_1,5.144029021263123,434,0.3111111111111111
2,client_2,4.589326477050781,590,0.4229390681003584
2,client_3,4.663897355397542,371,0.26594982078853047
3,client_1,4.886431694030762,434,0.3111111111111111
3,client_2,4.294662189483643,590,0.4229390681003584
3,client_3,4.462007204691569,371,0.26594982078853047
4,client_1,4.571410775184631,434,0.3111111111111111
4,client_2,4.121496772766113,590,0.4229390681003584
4,client_3,4.301698366800944,371,0.26594982078853047
5,client_1,4.368845701217651,434,0.3111111111111111
5,client_2,3.8811015129089355,590,0.4229390681003584
5,client_3,4.187259356180827,371,0.26594982078853047
6,client_1,4.1992470026016235,434,0.3111111111111111
6,client_2,3.6509920597076415,590,0.4229390681003584
6,client_3,3.988151470820109,371,0.26594982078853047
7,client_1,4.000707447528839,434,0.3111111111111111
7,client_2,3.6087443828582764,590,0.4229390681003584
7,client_3,3.847118377685547,371,0.26594982078853047
8,client_1,3.8182515501976013,434,0.3111111111111111
8,client_2,3.511980485916138,590,0.4229390681003584
8,client_3,3.800785223642985,371,0.26594982078853047
9,client_1,3.6735841631889343,434,0.3111111111111111
9,client_2,3.355246925354004,590,0.4229390681003584
9,client_3,3.623372236887614,371,0.26594982078853047
10,client_1,3.56243360042572,434,0.3111111111111111
10,client_2,3.2631115436553957,590,0.4229390681003584
10,client_3,3.525688091913859,371,0.26594982078853047
11,client_1,3.441835403442383,434,0.3111111111111111
11,client_2,3.142027568817139,590,0.4229390681003584
11,client_3,3.502291202545166,371,0.26594982078853047
12,client_1,3.412123680114746,434,0.3111111111111111
12,client_2,3.1016916275024413,590,0.4229390681003584
12,client_3,3.4391414324442544,371,0.26594982078853047
13,client_1,3.1954349279403687,434,0.3111111111111111
13,client_2,3.124810266494751,590,0.4229390681003584
13,client_3,3.39778463045756,371,0.26594982078853047
14,client_1,3.129212737083435,434,0.3111111111111111
14,client_2,2.998748779296875,590,0.4229390681003584
14,client_3,3.337419271469116,371,0.26594982078853047
15,client_1,3.0535160899162292,434,0.3111111111111111
15,client_2,2.997139644622803,590,0.4229390681003584
15,client_3,3.2981563409169516,371,0.26594982078853047
16,client_1,3.025946319103241,434,0.3111111111111111
16,client_2,2.935452032089233,590,0.4229390681003584
16,client_3,3.3013181686401367,371,0.26594982078853047
17,client_1,3.0046879053115845,434,0.3111111111111111
17,client_2,3.015776014328003,590,0.4229390681003584
17,client_3,3.2978291511535645,371,0.26594982078853047
18,client_1,2.9204630255699158,434,0.3111111111111111
18,client_2,2.96993727684021,590,0.4229390681003584
18,client_3,3.239110549290975,371,0.26594982078853047
19,client_1,2.8785816431045532,434,0.3111111111111111
19,client_2,3.0372096061706544,590,0.4229390681003584
19,client_3,3.2404092152913413,371,0.26594982078853047
20,client_1,2.876671314239502,434,0.3111111111111111
20,client_2,2.9072544097900392,590,0.4229390681003584
20,client_3,3.2206690311431885,371,0.26594982078853047
21,client_1,2.918436050415039,434,0.3111111111111111
21,client_2,2.846957206726074,590,0.4229390681003584
21,client_3,3.266233205795288,371,0.26594982078853047
22,client_1,2.7105703949928284,434,0.3111111111111111
22,client_2,2.9053290367126463,590,0.4229390681003584
22,client_3,3.2381226221720376,371,0.26594982078853047
23,client_1,2.903894305229187,434,0.3111111111111111
23,client_2,2.8927090644836424,590,0.4229390681003584
23,client_3,3.1836071809132895,371,0.26594982078853047
24,client_1,2.7734827399253845,434,0.3111111111111111
24,client_2,2.997242069244385,590,0.4229390681003584
24,client_3,3.220402956008911,371,0.26594982078853047
25,client_1,2.6766812205314636,434,0.3111111111111111
25,client_2,2.860010528564453,590,0.4229390681003584
25,client_3,3.2595139344533286,371,0.26594982078853047
26,client_1,2.731472611427307,434,0.3111111111111111
26,client_2,2.879765176773071,590,0.4229390681003584
26,client_3,3.1777051289876304,371,0.26594982078853047
27,client_1,2.761015236377716,434,0.3111111111111111
27,client_2,2.8771502494812013,590,0.4229390681003584
27,client_3,3.16630482673645,371,0.26594982078853047
28,client_1,2.7208479046821594,434,0.3111111111111111
28,client_2,2.882350492477417,590,0.4229390681003584
28,client_3,3.266664187113444,371,0.26594982078853047
29,client_1,2.532549738883972,434,0.3111111111111111
29,client_2,2.8698422431945803,590,0.4229390681003584
29,client_3,3.2242300510406494,371,0.26594982078853047
30,client_1,2.5828424096107483,434,0.3111111111111111
30,client_2,2.9486562252044677,590,0.4229390681003584
30,client_3,3.153344472249349,371,0.26594982078853047
31,client_1,2.6055896878242493,434,0.3111111111111111
31,client_2,2.889365243911743,590,0.4229390681003584
31,client_3,3.1702725887298584,371,0.26594982078853047
32,client_1,2.716822624206543,434,0.3111111111111111
32,client_2,2.8023736476898193,590,0.4229390681003584
32,client_3,3.163233757019043,371,0.26594982078853047
33,client_1,2.7016730904579163,434,0.3111111111111111
33,client_2,2.870191240310669,590,0.4229390681003584
33,client_3,3.2229907512664795,371,0.26594982078853047
34,client_1,2.6879254579544067,434,0.3111111111111111
34,client_2,2.8035972118377686,590,0.4229390681003584
34,client_3,3.2580114205678306,371,0.26594982078853047
35,client_1,2.567628800868988,434,0.3111111111111111
35,client_2,2.768751382827759,590,0.4229390681003584
35,client_3,3.1624577045440674,371,0.26594982078853047
36,client_1,2.692277193069458,434,0.3111111111111111
36,client_2,2.8079981327056887,590,0.4229390681003584
36,client_3,3.203805764516195,371,0.26594982078853047
37,client_1,2.650711476802826,434,0.3111111111111111
37,client_2,2.85822172164917,590,0.4229390681003584
37,client_3,3.250783125559489,371,0.26594982078853047
38,client_1,2.514821708202362,434,0.3111111111111111
38,client_2,3.0405893325805664,590,0.4229390681003584
38,client_3,3.238380193710327,371,0.26594982078853047
39,client_1,2.548766016960144,434,0.3111111111111111
39,client_2,2.8067978382110597,590,0.4229390681003584
39,client_3,3.158541679382324,371,0.26594982078853047
40,client_1,2.5108898282051086,434,0.3111111111111111
40,client_2,3.085640525817871,590,0.4229390681003584
40,client_3,3.196016709009806,371,0.26594982078853047
41,client_1,2.4774522185325623,434,0.3111111111111111
41,client_2,2.9001883983612062,590,0.4229390681003584
41,client_3,3.15986434618632,371,0.26594982078853047
42,client_1,2.573369264602661,434,0.3111111111111111
42,client_2,2.719113802909851,590,0.4229390681003584
42,client_3,3.256065527598063,371,0.26594982078853047
43,client_1,2.531783878803253,434,0.3111111111111111
43,client_2,2.747606372833252,590,0.4229390681003584
43,client_3,3.150834242502848,371,0.26594982078853047
44,client_1,2.4373178482055664,434,0.3111111111111111
44,client_2,2.9516991138458253,590,0.4229390681003584
44,client_3,3.157421588897705,371,0.26594982078853047
45,client_1,2.385371744632721,434,0.3111111111111111
45,client_2,2.761812353134155,590,0.4229390681003584
45,client_3,3.1129541397094727,371,0.26594982078853047
46,client_1,2.4905728101730347,434,0.3111111111111111
46,client_2,2.7154744148254393,590,0.4229390681003584
46,client_3,3.1217238903045654,371,0.26594982078853047
47,client_1,2.457027018070221,434,0.3111111111111111
47,client_2,2.786280059814453,590,0.4229390681003584
47,client_3,3.1518285274505615,371,0.26594982078853047
48,client_1,2.4376903772354126,434,0.3111111111111111
48,client_2,2.745633602142334,590,0.4229390681003584
48,client_3,3.1257071495056152,371,0.26594982078853047
49,client_1,2.470509350299835,434,0.3111111111111111
