round,accuracy,balanced_accuracy,statistical_parity,equalized_odds
1,0.5217391304347826,0.5362455197132616,0.06760627031326294,0.04167574644088745
2,0.5652173913043478,0.5776881720430107,0.1549440622329712,0.10138845443725586
3,0.5986622073578596,0.6104390681003584,0.19521254301071167,0.13078805804252625
4,0.6722408026755853,0.6809139784946237,0.27606266736984253,0.13253715634346008
5,0.68561872909699,0.6930779569892473,0.28966444730758667,0.1327393501996994
6,0.6822742474916388,0.6905913978494623,0.2961968779563904,0.14499309659004211
7,0.745819397993311,0.7501568100358422,0.39727070927619934,0.2045467346906662
8,0.7290969899665551,0.7345206093189964,0.336868017911911,0.14626969397068024
9,0.7391304347826086,0.7441980286738351,0.35700222849845886,0.16175679862499237
10,0.7491638795986622,0.7541218637992831,0.3770917057991028,0.17535829544067383
11,0.7558528428093646,0.760573476702509,0.363758385181427,0.15210247039794922
12,0.7692307692307693,0.7724910394265233,0.35064876079559326,0.12084856629371643
13,0.7525083612040134,0.7575940860215054,0.35700222849845886,0.14575254917144775
14,0.7792642140468228,0.782168458781362,0.3440268635749817,0.10205703973770142
15,0.7692307692307693,0.7724910394265233,0.35064876079559326,0.12084856629371643
16,0.7759197324414716,0.7796818996415771,0.3639374077320099,0.13040296733379364
17,0.7792642140468228,0.782168458781362,0.3574049174785614,0.11814923584461212
18,0.7725752508361204,0.7762096774193548,0.3706488013267517,0.14182226359844208
19,0.782608695652174,0.7856406810035843,0.3774496614933014,0.1389143466949463
20,0.7692307692307693,0.7732302867383513,0.35051459074020386,0.1193801611661911
21,0.7926421404682275,0.7955645161290323,0.3574049174785614,0.1021450012922287
22,0.7859531772575251,0.7891129032258064,0.34398210048675537,0.0932164192199707
23,0.7926421404682275,0.7953181003584229,0.3440715968608856,0.08584417402744293
24,0.7926421404682275,0.7953181003584229,0.3440715968608856,0.08584417402744293
25,0.7926421404682275,0.7948252688172043,0.3709172308444977,0.1217997819185257
26,0.7859531772575251,0.7888664874551972,0.3306487798690796,0.07691559195518494
27,0.8193979933110368,0.8208781362007169,0.39780762791633606,0.12553831934928894
28,0.8193979933110368,0.8211245519713262,0.41114094853401184,0.13974490761756897
29,0.822742474916388,0.8241039426523298,0.39114096760749817,0.11181618273258209
30,0.8127090301003345,0.8146729390681003,0.3843400478363037,0.11472413688898087
31,0.7959866220735786,0.7987903225806452,0.3641163408756256,0.10870350897312164
32,0.8093645484949833,0.8114471326164875,0.3910067081451416,0.12635204941034317
33,0.7926421404682275,0.7960573476702508,0.35731542110443115,0.10256218910217285
34,0.8093645484949833,0.8104614695340502,0.4179418683052063,0.1660788655281067
35,0.8127090301003345,0.8149193548387097,0.3842953145503998,0.112838514149189
36,0.7859531772575251,0.7893593189964158,0.35731542110443115,0.10951720178127289
37,0.8127090301003345,0.813687275985663,0.4112752079963684,0.15445095300674438
38,0.8060200668896321,0.8084677419354839,0.38425055146217346,0.1200021430850029
39,0.8160535117056856,0.8181451612903226,0.3776286542415619,0.10121060162782669
40,0.8093645484949833,0.8109543010752688,0.40447428822517395,0.14621543139219284
41,0.802675585284281,0.8052419354838709,0.37753915786743164,0.1155378520488739
42,0.8060200668896321,0.8074820788530466,0.41118568181991577,0.15972893685102463
43,0.7993311036789298,0.802016129032258,0.38420581817626953,0.127165749669075
44,0.8060200668896321,0.8079749103942653,0.3843400478363037,0.12377335876226425
45,0.8060200668896321,0.8077284946236558,0.39776286482810974,0.14175114780664444
46,0.802675585284281,0.8049955197132617,0.37758389115333557,0.11742347478866577
47,0.8093645484949833,0.8119399641577061,0.37753915786743164,0.10648863762617111
48,0.7959866220735786,0.7990367383512544,0.3640715777873993,0.10472367703914642
49,0.8127090301003345,0.8141801075268817,0.39780762791633606,0.13458753377199173
50,0.8093645484949833,0.8109543010752688,0.39109620451927185,0.13012325018644333
51,0.7906976744186046,0.7915893630179345,0.39094123244285583,0.17642223834991455
