round,accuracy,balanced_accuracy,statistical_parity,equalized_odds
1,0.882,0.5020181580979259,0.0013130426523275673,0.005136425534146838
2,0.8888333333333334,0.5595476450384728,0.008722808212041855,0.017235279083251953
3,0.8901666666666667,0.5981056471152054,0.022324908524751663,0.024624698795378208
4,0.8888333333333334,0.6327125322825421,0.02402038872241974,0.02703544031828642
5,0.8878333333333334,0.6473881093745839,0.027105405926704407,0.026509644463658333
6,0.8848333333333334,0.651783860060172,0.030018314719200134,0.032252853736281395
7,0.8843333333333333,0.6539391357597379,0.03343796730041504,0.03485690429806709
8,0.8843333333333333,0.6594265023030432,0.04049397259950638,0.05129378102719784
9,0.8843333333333333,0.6643041614526478,0.04345151036977768,0.05176950804889202
10,0.8845,0.6674472163795628,0.04506731778383255,0.059557145461440086
11,0.8841666666666667,0.698353257541468,0.05014101415872574,0.054295334964990616
12,0.8825,0.6833848079022338,0.05362121760845184,0.06635645963251591
13,0.883,0.6928139726829788,0.049290090799331665,0.05752726085484028
14,0.8851666666666667,0.6958718283234377,0.05177275836467743,0.05811915919184685
15,0.886,0.6871988072099896,0.05118316411972046,0.05915858969092369
16,0.8856666666666667,0.6882291860805665,0.040532223880290985,0.041076185181736946
17,0.8871666666666667,0.7043225325487898,0.049592845141887665,0.058581506833434105
18,0.8871666666666667,0.685421603344072,0.050274863839149475,0.06287260353565216
19,0.8898333333333334,0.6887630128597673,0.039725907146930695,0.04611142538487911
20,0.8885,0.7166631166963977,0.05140943080186844,0.06610217317938805
21,0.8911666666666667,0.7017133044010756,0.0441112220287323,0.04916849359869957
22,0.8886666666666667,0.7179770494422109,0.05449763685464859,0.06818937323987484
23,0.8843333333333333,0.7307622673660108,0.05190979689359665,0.05716477334499359
24,0.8831666666666667,0.7447336191059399,0.060594357550144196,0.06340936943888664
25,0.8836666666666667,0.7267259511701589,0.0500485897064209,0.06009205803275108
26,0.8838333333333334,0.741453446577385,0.053047552704811096,0.05077657848596573
27,0.8858333333333334,0.7377100029287256,0.04768064618110657,0.04638705775141716
28,0.888,0.7145504406400596,0.04067244380712509,0.04356245510280132
29,0.8881666666666667,0.7195226177480764,0.04387538135051727,0.049058739095926285
30,0.8888333333333334,0.7351433744242392,0.04864950478076935,0.044568952172994614
31,0.8888333333333334,0.7333142522431375,0.04553261399269104,0.043529996648430824
32,0.8903333333333333,0.7109960329082243,0.02891242504119873,0.01591223105788231
33,0.8893333333333333,0.7287201469687692,0.03719224035739899,0.02525823749601841
34,0.892,0.721086823397854,0.0423615500330925,0.034458937123417854
35,0.8931666666666667,0.7321134747996485,0.04567921906709671,0.042557092383503914
36,0.8913333333333333,0.7389999733752229,0.03889409452676773,0.024761587381362915
37,0.892,0.7314518490907638,0.04166679084300995,0.03538564406335354
38,0.8918333333333334,0.7209923054394419,0.029878094792366028,0.01012217253446579
39,0.8921666666666667,0.7413016853483853,0.03482431173324585,0.011829111725091934
40,0.8923333333333333,0.7328602997949891,0.032762326300144196,0.013408975675702095
41,0.8886666666666667,0.7435847599776353,0.033884137868881226,0.016124088317155838
42,0.8875,0.74231342687505,0.04183569550514221,0.03894892707467079
43,0.8906666666666667,0.7252083388801619,0.036471977829933167,0.020077964290976524
44,0.8896666666666667,0.7368353790037008,0.03206755220890045,0.020558319985866547
45,0.889,0.7413349663196571,0.03633812814950943,0.029146920889616013
46,0.8863333333333333,0.743480923347267,0.04017528146505356,0.03481437265872955
47,0.8925,0.7286868659974972,0.03720817714929581,0.02836519293487072
48,0.8891666666666667,0.7414294842780692,0.041937679052352905,0.037276286631822586
49,0.8885,0.7434902420192231,0.03746314346790314,0.027976512908935547
50,0.8938333333333334,0.7379789131766021,0.03688947856426239,0.03267465718090534
51,0.89471930701316,0.7266319703947567,0.038076192140579224,0.012053627520799637
