round,client,loss,samples,weight
1,client_1,7.347780108451843,434,0.3111111111111111
1,client_2,5.934619426727295,590,0.4229390681003584
1,client_3,5.427500565846761,371,0.26594982078853047
2,client_1,6.022589564323425,434,0.3111111111111111
2,client_2,4.905032539367676,590,0.4229390681003584
2,client_3,4.974111080169678,371,0.26594982078853047
3,client_1,5.603559494018555,434,0.3111111111111111
3,client_2,4.508724403381348,590,0.4229390681003584
3,client_3,4.846787452697754,371,0.26594982078853047
4,client_1,5.240471363067627,434,0.3111111111111111
4,client_2,4.3544820785522464,590,0.4229390681003584
4,client_3,4.790855407714844,371,0.26594982078853047
5,client_1,4.978164911270142,434,0.3111111111111111
5,client_2,4.016824007034302,590,0.4229390681003584
5,client_3,4.515249252319336,371,0.26594982078853047
6,client_1,4.653448104858398,434,0.3111111111111111
6,client_2,3.8729421138763427,590,0.4229390681003584
6,client_3,4.34866189956665,371,0.26594982078853047
7,client_1,4.402957201004028,434,0.3111111111111111
7,client_2,3.7484860897064207,590,0.4229390681003584
7,client_3,4.135716279347737,371,0.26594982078853047
8,client_1,4.153689205646515,434,0.3111111111111111
8,client_2,3.6426437377929686,590,0.4229390681003584
8,client_3,4.054198106129964,371,0.26594982078853047
9,client_1,3.957326114177704,434,0.3111111111111111
9,client_2,3.4115742206573487,590,0.4229390681003584
9,client_3,3.928471326828003,371,0.26594982078853047
10,client_1,3.827488899230957,434,0.3111111111111111
10,client_2,3.3329827308654787,590,0.4229390681003584
10,client_3,3.8377071221669516,371,0.26594982078853047
11,client_1,3.6460869312286377,434,0.3111111111111111
11,client_2,3.211391878128052,590,0.4229390681003584
11,client_3,3.745389382044474,371,0.26594982078853047
12,client_1,3.564138114452362,434,0.3111111111111111
12,client_2,3.184674882888794,590,0.4229390681003584
12,client_3,3.583326498667399,371,0.26594982078853047
13,client_1,3.569072425365448,434,0.3111111111111111
13,client_2,3.131112289428711,590,0.4229390681003584
13,client_3,3.5661493937174478,371,0.26594982078853047
14,client_1,3.4169516563415527,434,0.3111111111111111
14,client_2,3.058540201187134,590,0.4229390681003584
14,client_3,3.513211488723755,371,0.26594982078853047
15,client_1,3.3168495297431946,434,0.3111111111111111
15,client_2,3.0341697692871095,590,0.4229390681003584
15,client_3,3.4962212244669595,371,0.26594982078853047
16,client_1,3.1329134702682495,434,0.3111111111111111
16,client_2,2.961312103271484,590,0.4229390681003584
16,client_3,3.456462780634562,371,0.26594982078853047
17,client_1,3.1974775791168213,434,0.3111111111111111
17,client_2,3.045363187789917,590,0.4229390681003584
17,client_3,3.4638074239095054,371,0.26594982078853047
18,client_1,3.084632158279419,434,0.3111111111111111
18,client_2,2.9937289714813233,590,0.4229390681003584
18,client_3,3.3700579007466636,371,0.26594982078853047
19,client_1,2.9966702461242676,434,0.3111111111111111
19,client_2,2.957299757003784,590,0.4229390681003584
19,client_3,3.387519598007202,371,0.26594982078853047
20,client_1,3.005836606025696,434,0.3111111111111111
20,client_2,2.9470884799957275,590,0.4229390681003584
20,client_3,3.519871393839518,371,0.26594982078853047
21,client_1,3.0429288744926453,434,0.3111111111111111
21,client_2,2.9751788139343263,590,0.4229390681003584
21,client_3,3.2860825061798096,371,0.26594982078853047
22,client_1,2.9862963557243347,434,0.3111111111111111
22,client_2,3.068325662612915,590,0.4229390681003584
22,client_3,3.3177639643351235,371,0.26594982078853047
23,client_1,2.9286599159240723,434,0.3111111111111111
23,client_2,2.9688870906829834,590,0.4229390681003584
23,client_3,3.288304408391317,371,0.26594982078853047
24,client_1,2.856712281703949,434,0.3111111111111111
24,client_2,2.946125793457031,590,0.4229390681003584
24,client_3,3.3321473598480225,371,0.26594982078853047
25,client_1,2.880954384803772,434,0.3111111111111111
25,client_2,2.90506649017334,590,0.4229390681003584
25,client_3,3.285673141479492,371,0.26594982078853047
26,client_1,2.7633995413780212,434,0.3111111111111111
26,client_2,3.0412220001220702,590,0.4229390681003584
26,client_3,3.2634429136912027,371,0.26594982078853047
27,client_1,2.7478848099708557,434,0.3111111111111111
27,client_2,2.935665655136108,590,0.4229390681003584
27,client_3,3.284994125366211,371,0.26594982078853047
28,client_1,2.8089919090270996,434,0.3111111111111111
28,client_2,2.879513692855835,590,0.4229390681003584
28,client_3,3.2507615884145102,371,0.26594982078853047
29,client_1,2.6724019646644592,434,0.3111111111111111
29,client_2,2.854681921005249,590,0.4229390681003584
29,client_3,3.168564716974894,371,0.26594982078853047
30,client_1,2.7184550762176514,434,0.3111111111111111
30,client_2,3.0592105865478514,590,0.4229390681003584
30,client_3,3.1653647422790527,371,0.26594982078853047
31,client_1,2.625954031944275,434,0.3111111111111111
31,client_2,2.8621687412261965,590,0.4229390681003584
31,client_3,3.358267068862915,371,0.26594982078853047
32,client_1,2.7292120456695557,434,0.3111111111111111
32,client_2,2.781351852416992,590,0.4229390681003584
32,client_3,3.146078030268351,371,0.26594982078853047
33,client_1,2.6759982109069824,434,0.3111111111111111
33,client_2,2.761290454864502,590,0.4229390681003584
33,client_3,3.1864070892333984,371,0.26594982078853047
34,client_1,2.643027365207672,434,0.3111111111111111
34,client_2,2.8548962116241454,590,0.4229390681003584
34,client_3,3.175384283065796,371,0.26594982078853047
35,client_1,2.720130831003189,434,0.3111111111111111
35,client_2,2.8129482746124266,590,0.4229390681003584
35,client_3,3.217102607091268,371,0.26594982078853047
36,client_1,2.593845844268799,434,0.3111111111111111
36,client_2,2.8033010959625244,590,0.4229390681003584
36,client_3,3.1319003899892173,371,0.26594982078853047
37,client_1,2.6844988465309143,434,0.3111111111111111
37,client_2,2.75479941368103,590,0.4229390681003584
37,client_3,3.093048413594564,371,0.26594982078853047
38,client_1,2.7126434445381165,434,0.3111111111111111
38,client_2,2.8112232208251955,590,0.4229390681003584
38,client_3,3.13038436571757,371,0.26594982078853047
39,client_1,2.521980881690979,434,0.3111111111111111
39,client_2,2.8138458251953127,590,0.4229390681003584
39,client_3,3.2182865937550864,371,0.26594982078853047
40,client_1,2.54269015789032,434,0.3111111111111111
40,client_2,2.7960205554962156,590,0.4229390681003584
40,client_3,3.118768850962321,371,0.26594982078853047
41,client_1,2.4894461631774902,434,0.3111111111111111
41,client_2,2.8747915267944335,590,0.4229390681003584
41,client_3,3.115946610768636,371,0.26594982078853047
42,client_1,2.558191478252411,434,0.3111111111111111
42,client_2,2.850270986557007,590,0.4229390681003584
42,client_3,3.091342051823934,371,0.26594982078853047
43,client_1,2.6610506176948547,434,0.3111111111111111
43,client_2,2.832136631011963,590,0.4229390681003584
43,client_3,3.0735517342885337,371,0.26594982078853047
44,client_1,2.4952718019485474,434,0.3111111111111111
44,client_2,2.8660107135772703,590,0.4229390681003584
44,client_3,3.069190343221029,371,0.26594982078853047
45,client_1,2.5811113119125366,434,0.3111111111111111
45,client_2,2.8064874172210694,590,0.4229390681003584
45,client_3,3.048680543899536,371,0.26594982078853047
46,client_1,2.51693856716156,434,0.3111111111111111
46,client_2,2.859823226928711,590,0.4229390681003584
46,client_3,3.034945805867513,371,0.26594982078853047
47,client_1,2.4856833815574646,434,0.3111111111111111
47,client_2,2.8441860675811768,590,0.4229390681003584
47,client_3,3.08026123046875,371,0.26594982078853047
48,client_1,2.4365805983543396,434,0.3111111111111111
48,client_2,2.7968877792358398,590,0.4229390681003584
48,client_3,3.046006123224894,371,0.26594982078853047
49,client_1,2.406927168369293,434,0.3111111111111111
49,client_2,2.8577856540679933,590,0.4229390681003584
49,client_3,3.0626551310221353,371,0.26594982078853047
50,client_1,2.4860010147094727,434,0.3111111111111111
50,client_2,2.848434829711914,590,0.4229390681003584
50,client_3,3.0911481380462646,371,0.26594982078853047
