round,accuracy,balanced_accuracy,statistical_parity,equalized_odds
1,0.7574206755373593,0.5,0.0,0.0
2,0.7574206755373593,0.5,0.0,0.0
3,0.7582395087001024,0.5019745695062151,0.001840490847826004,0.0027188392414245754
4,0.7578300921187308,0.5011306876496749,0.001226993859745562,0.0017198383866343647
5,0.757625383828045,0.5021427756870795,0.0021434639347717166,0.0036878884420730174
6,0.7582395087001024,0.5042690158512944,0.0012156679295003414,0.00034096313174813986
7,0.7578300921187308,0.5031383282016193,0.0009108069352805614,0.002280690474435687
8,0.7584442169907881,0.5046909567795644,0.0024445494636893272,0.004057355807162821
9,0.7637666325486182,0.5182426730527997,0.0039537521079182625,0.008255876367911696
10,0.7715455475946776,0.5345632341201961,0.012535158544778824,0.004524508491158485
